post_id,text,post_text,shared_text,original_text,time,timestamp,image,image_lowquality,images,images_description,images_lowquality,images_lowquality_description,video,video_duration_seconds,video_height,video_id,video_quality,video_size_MB,video_thumbnail,video_watches,video_width,likes,comments,shares,post_url,link,links,user_id,username,user_url,is_live,factcheck,shared_post_id,shared_time,shared_user_id,shared_username,shared_post_url,available,comments_full,reactors,w3_fb_url,reactions,reaction_count,with,page_id,sharers,image_id,image_ids,was_live,header
10159995093164641,"""This episode is very unusual for mid-May and could be one of the most intense episodes in the last 20 years,"" a spokesperson for the country's national weather service said.

CNN.COM
Spain experiences record-breaking heatwave for May","""This episode is very unusual for mid-May and could be one of the most intense episodes in the last 20 years,"" a spokesperson for the country's national weather service said.","CNN.COM
Spain experiences record-breaking heatwave for May",,2022-05-22 23:00:28,1653242428,https://cdn.cnn.com/cnnnext/dam/assets/220522105045-03-spain-heatwave-may-2022-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220522105045-03-spain-heatwave-may-2022-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQH3wEgPI6gePfzR,['https://cdn.cnn.com/cnnnext/dam/assets/220522105045-03-spain-heatwave-may-2022-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220522105045-03-spain-heatwave-may-2022-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQH3wEgPI6gePfzR'],[None],,,,,,,,,,31,4,2,https://facebook.com/cnninternational/posts/10159995093164641,https://cnn.it/3LCrBSA,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159995014264641,"There are fears the crisis could kill more Afghans than 20 years of war.

EDITION.CNN.COM
Afghanistan's new poor line up for aid to survive as food crisis bites",There are fears the crisis could kill more Afghans than 20 years of war.,"EDITION.CNN.COM
Afghanistan's new poor line up for aid to survive as food crisis bites",,2022-05-22 22:01:18,1653238878,https://cdn.cnn.com/cnnnext/dam/assets/220519103657-01-afghanistan-hunger-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220519103657-01-afghanistan-hunger-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQEzbG7mN0kXicig,['https://cdn.cnn.com/cnnnext/dam/assets/220519103657-01-afghanistan-hunger-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220519103657-01-afghanistan-hunger-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQEzbG7mN0kXicig'],[None],,,,,,,,,,178,76,10,https://facebook.com/cnninternational/posts/10159995014264641,https://cnn.it/3wI9pBJ,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994945784641,"Veteran body language expert Janine Driver says Johnny Depp is hugging his attorney in the courtroom ""to get Amber's goat,"" that Heard's crying is ""bad, bad acting,"" and that the ""case is nuttier than a Snickers bar."" https://cnn.it/3LwNLWl","Veteran body language expert Janine Driver says Johnny Depp is hugging his attorney in the courtroom ""to get Amber's goat,"" that Heard's crying is ""bad, bad acting,"" and that the ""case is nuttier than a Snickers bar."" https://cnn.it/3LwNLWl",,,2022-05-22 21:03:46,1653235426,,https://scontent.fkhi17-1.fna.fbcdn.net/v/t15.5256-10/281539214_185878657111245_3482679017369822518_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=100&ccb=1-7&_nc_sid=ccf8b3&_nc_ohc=FwSE8En2wWAAX-LaG8k&_nc_ht=scontent.fkhi17-1.fna&oh=00_AT-yZIeLWzGbHXoP2T9GcYjX-9oErIgeqxxUdCoJeBvMRw&oe=62901A8F,[],[],['https://scontent.fkhi17-1.fna.fbcdn.net/v/t15.5256-10/281539214_185878657111245_3482679017369822518_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=100&ccb=1-7&_nc_sid=ccf8b3&_nc_ohc=FwSE8En2wWAAX-LaG8k&_nc_ht=scontent.fkhi17-1.fna&oh=00_AT-yZIeLWzGbHXoP2T9GcYjX-9oErIgeqxxUdCoJeBvMRw&oe=62901A8F'],[None],https://video.fkhi17-1.fna.fbcdn.net/v/t39.25447-2/282566512_575379490566381_167979943369252183_n.mp4?_nc_cat=100&vs=eccc3d4fbf67ca0d&_nc_vs=HBksFQAYJEdIQ2YxeER0Y0NYNlRRc0NBRmNkNmxYZXlGUUNibWRqQUFBRhUAAsgBABUAGCRHR1A2NGhBRW5kQU9YbWtJQUVRRU1jVzlmT29sYnJGcUFBQUYVAgLIAQBLBogScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AEWRpc2FibGVfcG9zdF9wdnFzABUAJQAcAAAmqNKRvPW74wMVkE4oAkMzGAt2dHNfcHJldmlldxwXQG52uFHrhR8YIGRhc2hfdjRfNXNlY2dvcF9ocTFfZnJhZ18yX3ZpZGVvEgAYGHZpZGVvcy52dHMuY2FsbGJhY2sucHJvZDgSVklERU9fVklFV19SRVFVRVNUGw%2BIFW9lbV90YXJnZXRfZW5jb2RlX3RhZwZvZXBfc2QTb2VtX3JlcXVlc3RfdGltZV9tcwEwDG9lbV9jZmdfcnVsZQpzZF91bm11dGVkE29lbV9yb2lfcmVhY2hfY291bnQIMjA0NDkxMDURb2VtX2lzX2V4cGVyaW1lbnQADG9lbV9yb2lfbm90ZQtwcm9ncmVzc2l2ZRFvZW1fcm9pX3VzZXJfdGllcgAeb2VtX3JvaV9wcmVkaWN0ZWRfd2F0Y2hfdGltZV9zATAWb2VtX3JvaV9yZWNpcGVfYmVuZWZpdAUwLjAwMCVvZW1fcm9pX3N0YXRpY19iZW5lZml0X2Nvc3RfZXZhbHVhdG9yC3Byb2dyZXNzaXZlDG9lbV92aWRlb19pZA83Mzc5Mzk5MDcyMzY5OTESb2VtX3ZpZGVvX2Fzc2V0X2lkDzcyNDExNTUzMjM2NDA4NxVvZW1fdmlkZW9fcmVzb3VyY2VfaWQQMTA2MzE1NzYxMTI0Njc0MBxvZW1fc291cmNlX3ZpZGVvX2VuY29kaW5nX2lkDzUxNDc5ODU1NzAzODAzNQ52dHNfcmVxdWVzdF9pZA9hZjhkOTNhNWI2YzE0ZDQlAhwcHBXw5hcbAVUAAhsBVQACHBUCAAAAFoC6twMAJb4BGweIAXMENjAzNAJjZAoyMDIyLTA1LTIyA3JjYggyMDQ0OTEwMANhcHAKU29jaWFsRmxvdwJjdBlDT05UQUlORURfUE9TVF9BVFRBQ0hNRU5UE29yaWdpbmFsX2R1cmF0aW9uX3MKMjQzLjczMzMzMwJ0cxRwcm9ncmVzc2l2ZV9vcmRlcmluZwA%3D&ccb=1-7&_nc_sid=a92414&_nc_ohc=1lYodoVKUp4AX-jlzIU&_nc_rml=0&_nc_ht=video.fkhi17-1.fna&oh=00_AT_1F8tKd9niBSAdf2efRJQUkrVYwDR994QgT2SXnsZNng&oe=62904944&_nc_rid=680810212408293,,,737939907236991,,,https://scontent.fkhi17-1.fna.fbcdn.net/v/t15.5256-10/281539214_185878657111245_3482679017369822518_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=100&ccb=1-7&_nc_sid=ccf8b3&_nc_ohc=FwSE8En2wWAAX-LaG8k&_nc_ht=scontent.fkhi17-1.fna&oh=00_AT-yZIeLWzGbHXoP2T9GcYjX-9oErIgeqxxUdCoJeBvMRw&oe=62901A8F,,,159,55,0,https://facebook.com/cnninternational/posts/10159994945784641,https://cnn.it/3LwNLWl,"[{'link': 'https://lm.facebook.com/l.php?u=https%3A%2F%2Fcnn.it%2F3LwNLWl&h=AT1CYZYle_rGpiM8y2yELlb2kcXien1LFhJsT3pOQM45AZkV-EXlHQltY2r5Yzc1KZx86JjsMMNkoNqy3ImM_WPDBL1z2vABklXLjbmYYOddewy2dbe87KJJmJJzqH1-_TR1T9j5d1LmEKK_wjVS_slCk060Upqag0qoOv8Vf0yH3PAyb-iso319cV2T', 'text': 'https://cnn.it/3LwNLWl'}]",18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994861629641,"Trevor Reed, an American citizen recently freed after more than two years imprisoned in Russia, said in an exclusive interview with CNN that he does not believe the United States' participation in prisoner swaps to bring Americans home should be controversial.

EDITION.CNN.COM
Exclusive: Trevor Reed pushes back against critics of US participation in prisoner swaps","Trevor Reed, an American citizen recently freed after more than two years imprisoned in Russia, said in an exclusive interview with CNN that he does not believe the United States' participation in prisoner swaps to bring Americans home should be controversial.","EDITION.CNN.COM
Exclusive: Trevor Reed pushes back against critics of US participation in prisoner swaps",,2022-05-22 20:01:23,1653231683,https://cdn.cnn.com/cnnnext/dam/assets/220520145929-trevor-reed-detainment-still-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520145929-trevor-reed-detainment-still-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQHh3oPtRiS9PHJF,['https://cdn.cnn.com/cnnnext/dam/assets/220520145929-trevor-reed-detainment-still-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520145929-trevor-reed-detainment-still-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQHh3oPtRiS9PHJF'],[None],,,,,,,,,,59,7,8,https://facebook.com/cnninternational/posts/10159994861629641,https://cnn.it/3wyMKJi,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994796624641,"""Japanese Prime Minister Fumio Kishida is a man on a mission,"" write Emiko Jozuka and Blake Essig.

EDITION.CNN.COM
Japan steps out of US' shadow as China threat grows | Analysis","""Japanese Prime Minister Fumio Kishida is a man on a mission,"" write Emiko Jozuka and Blake Essig.","EDITION.CNN.COM
Japan steps out of US' shadow as China threat grows | Analysis",,2022-05-22 19:02:11,1653228131,https://cdn.cnn.com/cnnnext/dam/assets/220412173238-06-nansei-islands-japan-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220412173238-06-nansei-islands-japan-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024e&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQFuE7h044iehyh_,['https://cdn.cnn.com/cnnnext/dam/assets/220412173238-06-nansei-islands-japan-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220412173238-06-nansei-islands-japan-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024e&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQFuE7h044iehyh_'],[None],,,,,,,,,,78,12,3,https://facebook.com/cnninternational/posts/10159994796624641,https://cnn.it/3yQ3vB4,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994730749641,"The logic behind inviting some of the wealthiest people on Earth to solve these problems from a resort town looks even shakier these days.

EDITION.CNN.COM
Davos is back and the world has changed. Have the global elite noticed?",The logic behind inviting some of the wealthiest people on Earth to solve these problems from a resort town looks even shakier these days.,"EDITION.CNN.COM
Davos is back and the world has changed. Have the global elite noticed?",,2022-05-22 18:00:24,1653224424,https://cdn.cnn.com/cnnnext/dam/assets/220520103408-davos-switzerland-town-file-restricted-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520103408-davos-switzerland-town-file-restricted-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQFMid-Zme7A-WkC,['https://cdn.cnn.com/cnnnext/dam/assets/220520103408-davos-switzerland-town-file-restricted-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520103408-davos-switzerland-town-file-restricted-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQFMid-Zme7A-WkC'],[None],,,,,,,,,,79,13,12,https://facebook.com/cnninternational/posts/10159994730749641,https://cnn.it/3yOeL13,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994700199641,"An 11-page memo released publicly by the Miami-Dade Fire Rescue Department last week said the ""voice in the rubble"" belonged to Theresa Velasquez, a Live Nation music executive who was 36 when she perished, along with her parents.

EDITION.CNN.COM
The woman whose voice was heard in rubble of the Surfside condo collapse has been identified. This is how it happened","An 11-page memo released publicly by the Miami-Dade Fire Rescue Department last week said the ""voice in the rubble"" belonged to Theresa Velasquez, a Live Nation music executive who was 36 when she perished, along with her parents.","EDITION.CNN.COM
The woman whose voice was heard in rubble of the Surfside condo collapse has been identified. This is how it happened",,2022-05-22 17:31:19,1653222679,https://cdn.cnn.com/cnnnext/dam/assets/220520114316-02b-velasquez-missing-building-collapse-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520114316-02b-velasquez-missing-building-collapse-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024e&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQG7lRW1qPGllpn-,['https://cdn.cnn.com/cnnnext/dam/assets/220520114316-02b-velasquez-missing-building-collapse-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520114316-02b-velasquez-missing-building-collapse-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024e&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQG7lRW1qPGllpn-'],[None],,,,,,,,,,195,19,15,https://facebook.com/cnninternational/posts/10159994700199641,https://cnn.it/39Mphvj,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994651064641,"""Carbon capture and sequestration,"" or CCS, is hardly the term that rolls off the tongue at dinner parties -- even in the age of increasing unnatural disasters.

EDITION.CNN.COM
Meet the guy who wants to help save the planet with thousands of buoys, seaweed and giant antacids","""Carbon capture and sequestration,"" or CCS, is hardly the term that rolls off the tongue at dinner parties -- even in the age of increasing unnatural disasters.","EDITION.CNN.COM
Meet the guy who wants to help save the planet with thousands of buoys, seaweed and giant antacids",,2022-05-22 16:45:10,1653219910,https://cdn.cnn.com/cnnnext/dam/assets/220520164653-01-seaweed-carbon-capture-xprize-finalist-climate-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520164653-01-seaweed-carbon-capture-xprize-finalist-climate-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024e&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQHDzsKTCUAmv2R6,['https://cdn.cnn.com/cnnnext/dam/assets/220520164653-01-seaweed-carbon-capture-xprize-finalist-climate-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520164653-01-seaweed-carbon-capture-xprize-finalist-climate-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024e&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQHDzsKTCUAmv2R6'],[None],,,,,,,,,,117,10,7,https://facebook.com/cnninternational/posts/10159994651064641,https://cnn.it/3sOb6fC,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994608909641,"New York's highest court is set to determine whether Happy, a 47-year-old Asian elephant living at the Bronx Zoo, is being unlawfully imprisoned.

EDITION.CNN.COM
Court to decide whether Happy the elephant deserves basic human rights","New York's highest court is set to determine whether Happy, a 47-year-old Asian elephant living at the Bronx Zoo, is being unlawfully imprisoned.","EDITION.CNN.COM
Court to decide whether Happy the elephant deserves basic human rights",,2022-05-22 16:00:26,1653217226,https://cdn.cnn.com/cnnnext/dam/assets/220520111053-happy-bronx-zoo-file-100218-super-tease.jpg,https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520111053-happy-bronx-zoo-file-100218-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQFreyzhwNNi2e2m,['https://cdn.cnn.com/cnnnext/dam/assets/220520111053-happy-bronx-zoo-file-100218-super-tease.jpg'],[],['https://external.fkhi17-1.fna.fbcdn.net/safe_image.php?w=476&h=249&url=https%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F220520111053-happy-bronx-zoo-file-100218-super-tease.jpg&cfs=1&jq=75&ext=jpg&utld=cnn.com&_nc_oe=7024d&_nc_sid=505865&_nc_o2e=1&ccb=3-6&_nc_hash=AQFreyzhwNNi2e2m'],[None],,,,,,,,,,200,60,13,https://facebook.com/cnninternational/posts/10159994608909641,https://cnn.it/3LBAyM9,[],18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
10159994578839641,Cameras recently caught Italy's Mount Etna -- Europe's tallest active volcano -- erupt lava into the night sky. https://cnn.it/38CNX9p,Cameras recently caught Italy's Mount Etna -- Europe's tallest active volcano -- erupt lava into the night sky. https://cnn.it/38CNX9p,,,2022-05-22 15:31:01,1653215461,,https://scontent.fkhi17-1.fna.fbcdn.net/v/t15.5256-10/281803375_417394823562448_7418200378470279781_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=109&ccb=1-7&_nc_sid=ccf8b3&_nc_ohc=JGlOdaNxFhsAX8YpDe2&_nc_ht=scontent.fkhi17-1.fna&oh=00_AT_l-4fngSkq91o_oR235IQMWdchFp6dAefx3C4oa2VJMA&oe=628ED079,[],[],['https://scontent.fkhi17-1.fna.fbcdn.net/v/t15.5256-10/281803375_417394823562448_7418200378470279781_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=109&ccb=1-7&_nc_sid=ccf8b3&_nc_ohc=JGlOdaNxFhsAX8YpDe2&_nc_ht=scontent.fkhi17-1.fna&oh=00_AT_l-4fngSkq91o_oR235IQMWdchFp6dAefx3C4oa2VJMA&oe=628ED079'],[None],https://video.fkhi17-1.fna.fbcdn.net/v/t42.1790-2/281699838_540684277729120_389128023170609854_n.mp4?_nc_cat=103&ccb=1-7&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=UND40nv9KGkAX9giGDy&_nc_rml=0&_nc_ht=video.fkhi17-1.fna&oh=00_AT8besfu-XvlWfWf_d_NLBjgFWubLBfsl2Rh-4AYj64KCQ&oe=628A9D43,,,3058919541036684,,,https://scontent.fkhi17-1.fna.fbcdn.net/v/t15.5256-10/281803375_417394823562448_7418200378470279781_n.jpg?stp=cp0_dst-jpg_e15_q65_s320x320&_nc_cat=109&ccb=1-7&_nc_sid=ccf8b3&_nc_ohc=JGlOdaNxFhsAX8YpDe2&_nc_ht=scontent.fkhi17-1.fna&oh=00_AT_l-4fngSkq91o_oR235IQMWdchFp6dAefx3C4oa2VJMA&oe=628ED079,,,284,25,0,https://facebook.com/cnninternational/posts/10159994578839641,https://cnn.it/38CNX9p,"[{'link': 'https://lm.facebook.com/l.php?u=https%3A%2F%2Fcnn.it%2F38CNX9p&h=AT35MMKEjDMb98KiQnrd_abnq5EKmxEcYEbg7csNL4kXBI0ZUM9YdnyK4u-4s-LlFp9ny6FawPt5P4cUCER83GEdhjAvOlR-HPspFvAyPSuZixNxXXAGDRC7dk-CMceDTNNEpeUPi8DbitOIL2q5bRuALoG_WtnGsG1Gn3wbwIUMs2ux0jarlrifSyKi', 'text': 'https://cnn.it/38CNX9p'}]",18793419640,CNN International,https://facebook.com/cnninternational/?locale2=en_US&__tn__=C-R,False,,,,,,,True,,,,,,,18793419640,,,[],False,
