date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers,outlinks,tcooutlinks,sourceLabel
2022-05-10 23:59:28+00:00,1524177332755472393,After watching this vidwo mirza galib dakhi hh kia #AamirLiaquatHussain https://t.co/nNRFr81IPo,https://twitter.com/HamidHa78168434/status/1524177332755472393,After watching this vidwo mirza galib dakhi hh kia #AamirLiaquatHussain https://t.co/nNRFr81IPo,HamidHa78168434,46,0,0,1,0,in,1524177332755472393,,"[Photo(previewUrl='https://pbs.twimg.com/media/FSb3NJ8XMAEoPb2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FSb3NJ8XMAEoPb2?format=jpg&name=large')]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:58:50+00:00,1524177173241905153,"Fast Forward Hybrid Generation 🤦😂😂 #AamirLiaquatHussain
#NawazSharif #StockMarket https://t.co/5MKhUANCe7",https://twitter.com/SFMTW/status/1524177173241905153,"Fast Forward Hybrid Generation 🤦😂😂 #AamirLiaquatHussain
#NawazSharif #StockMarket https://t.co/5MKhUANCe7",SFMTW,289,1,3,7,0,en,1524177173241905153,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524176986104606721/pu/img/mwF1GxkzbOil-JbV.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524176986104606721/pu/pl/H6dr23Uj5Iz6z20T.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524176986104606721/pu/vid/480x270/WhWcwPEA9CfNyDWD.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524176986104606721/pu/vid/640x360/GzeYvx-TC-LPTw6J.mp4?tag=12', bitrate=832000)], duration=7.88, views=964)]",,,,,,,,"['AamirLiaquatHussain', 'NawazSharif', 'StockMarket']",,,,,Twitter for Android
2022-05-10 23:56:02+00:00,1524176470071037957,"I quit 👍

#AamirLiaquatHussain https://t.co/eHfmO27WPd",https://twitter.com/AdnanCh67/status/1524176470071037957,"I quit 👍

#AamirLiaquatHussain https://t.co/eHfmO27WPd",AdnanCh67,5,2,1,1,0,en,1524176470071037957,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524176433605664769/pu/img/FHSaoFG_sRjuQB2i.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524176433605664769/pu/pl/FL0R9RUwrVHCuNci.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524176433605664769/pu/vid/240x426/fz2px88Hx6anTgyL.mp4?tag=12', bitrate=632000)], duration=4.481, views=1093)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:55:56+00:00,1524176444238278657,"In sordid #AamirLiaquatHussain affair, #SyedaDaniaShah need to be supported &amp; provided security by the govt. 
Poor young girl was used &amp; abused by this monster, thru his fame, power &amp; wealth. 
Attempts to damage control situation thru her character assassination is pathetic. 😠",https://twitter.com/ashirazeemgill/status/1524176444238278657,"In sordid #AamirLiaquatHussain affair, #SyedaDaniaShah need to be supported &amp; provided security by the govt. 
Poor young girl was used &amp; abused by this monster, thru his fame, power &amp; wealth. 
Attempts to damage control situation thru her character assassination is pathetic. 😠",ashirazeemgill,66773,23,35,221,2,en,1524176444238278657,,,,,,,,,,"['AamirLiaquatHussain', 'SyedaDaniaShah']",,,,,Twitter for Android
2022-05-10 23:54:58+00:00,1524176201471991813,"The Holy cows.
For complete video.
👇👇👇👇👇
https://t.co/QmkWd5vBA4

#AamirLiaquatHussain https://t.co/Aj2ZoQx2lh",https://twitter.com/jagaadoh/status/1524176201471991813,"The Holy cows.
For complete video.
👇👇👇👇👇
youtu.be/wOZNEWuvZ4E

#AamirLiaquatHussain https://t.co/Aj2ZoQx2lh",jagaadoh,86,0,0,1,0,en,1524176201471991813,['https://youtu.be/wOZNEWuvZ4E'],"[Photo(previewUrl='https://pbs.twimg.com/media/FSb2LNpXMAMz5t5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FSb2LNpXMAMz5t5?format=jpg&name=large')]",,,,,,,,['AamirLiaquatHussain'],,,['https://youtu.be/wOZNEWuvZ4E'],['https://t.co/QmkWd5vBA4'],Twitter for Android
2022-05-10 23:54:53+00:00,1524176176809455616,@fatimabashir211 @AamirLiaquat There was a time when his leaked video was “aap nay ghalib film dekhi hy” Orr aaj ki videos tak ka iska safar. Al amaan Al hafeez.,https://twitter.com/NUK2819/status/1524176176809455616,@fatimabashir211 @AamirLiaquat There was a time when his leaked video was “aap nay ghalib film dekhi hy” Orr aaj ki videos tak ka iska safar. Al amaan Al hafeez.,NUK2819,0,0,0,1,0,en,1524095335194320898,,,,,1.524095335194321e+18,https://twitter.com/fatimabashir211,"[User(username='fatimabashir211', id=3276595416, displayname='F🏏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='fatimabashir211', id=3276595416, displayname='F🏏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone
2022-05-10 23:53:46+00:00,1524175896768299008,"I quit 👍

#AamirLiaquatHussain https://t.co/zI7iwY38py",https://twitter.com/AdnanCh67/status/1524175896768299008,"I quit 👍

#AamirLiaquatHussain https://t.co/zI7iwY38py",AdnanCh67,5,0,0,0,0,en,1524175896768299008,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524175871338323968/pu/img/76hQIdCdbgqcw_Cq.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524175871338323968/pu/vid/240x426/gAroUPcWADZbyN8i.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524175871338323968/pu/pl/etLMWgbyA_P1X778.m3u8?tag=12&container=fmp4', bitrate=None)], duration=4.481, views=482)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android
2022-05-10 23:52:19+00:00,1524175532262182913,"Did You Notice That Elon Musk Changed The Twitter Like Button Color From ❤️ to 💙

And if you observe, it shows a spaceship icon 🚀 when you retweet 🤪 #AamirLiaquatHussain
#Elon_Musk  #twitter #whatsappgroup #WhatsAppDown #imrankhanPTI",https://twitter.com/muzmilofficial/status/1524175532262182913,"Did You Notice That Elon Musk Changed The Twitter Like Button Color From ❤️ to 💙

And if you observe, it shows a spaceship icon 🚀 when you retweet 🤪 #AamirLiaquatHussain
#Elon_Musk  #twitter #whatsappgroup #WhatsAppDown #imrankhanPTI",muzmilofficial,9,0,0,0,0,en,1524175532262182913,,,,,,,,,,"['AamirLiaquatHussain', 'Elon_Musk', 'twitter', 'whatsappgroup', 'WhatsAppDown', 'imrankhanPTI']",,,,,Twitter for Android
2022-05-10 23:51:48+00:00,1524175403958603777,@ItsFSW @AamirLiaquat apne naam se hussain hata do ... Amir,https://twitter.com/akhter_taimoor/status/1524175403958603777,@ItsFSW @AamirLiaquat apne naam se hussain hata do ... Amir,akhter_taimoor,31,0,0,0,0,hi,1523656248851578882,,,,,1.523656248851579e+18,https://twitter.com/ItsFSW,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-05-10 23:51:26+00:00,1524175311365193728,@almirPTI @syedadaniamir @AamirLiaquat Allah nay kaisay bay naqab kiya zilat di,https://twitter.com/maahii007/status/1524175311365193728,@almirPTI @syedadaniamir @AamirLiaquat Allah nay kaisay bay naqab kiya zilat di,maahii007,2,1,0,1,0,hi,1523901991277236227,,,,,1.5239019912772362e+18,https://twitter.com/almirPTI,"[User(username='almirPTI', id=875434396634857472, displayname='المیر وجدان', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='syedadaniamir', id=1368897913, displayname='Syeda Dania Shah', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='almirPTI', id=875434396634857472, displayname='المیر وجدان', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='syedadaniamir', id=1368897913, displayname='Syeda Dania Shah', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone
