date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers,outlinks,tcooutlinks,sourceLabel
2022-06-28 23:59:52+00:00,1541934438799532034,Or sunao mobile phone charged hn ??? #loadshedding,https://twitter.com/jarralsara4/status/1541934438799532034,Or sunao mobile phone charged hn ??? #loadshedding,jarralsara4,8,0,0,5,0,en,1541934438799532034,,,,,,,,,,['loadshedding'],,,,,Twitter for Android
2022-06-28 23:59:42+00:00,1541934397041119233,@GepcoTeam4 bus light na dain system update ki bakwas sunaty rahna subha say sham tuk light ki loadshedding ki haramzadgi aur sari rat say subha tu tehsil sambrial na ho gai koi cholastan ka sahra ho gaya shame on u,https://twitter.com/waqas7420130/status/1541934397041119233,@GepcoTeam4 bus light na dain system update ki bakwas sunaty rahna subha say sham tuk light ki loadshedding ki haramzadgi aur sari rat say subha tu tehsil sambrial na ho gai koi cholastan ka sahra ho gaya shame on u,waqas7420130,10,0,0,0,0,in,1541934397041119233,,,,,,,"[User(username='GepcoTeam4', id=1535914114630963201, displayname='GEPCO TEAM 4 (Sialkot Circle)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='GepcoTeam4', id=1535914114630963201, displayname='GEPCO TEAM 4 (Sialkot Circle)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone
2022-06-28 23:59:36+00:00,1541934369769754624,@yoonhyyh_ no because with loadshedding you cant do anything😭😭😭,https://twitter.com/em0junghoseok/status/1541934369769754624,@yoonhyyh_ no because with loadshedding you cant do anything😭😭😭,em0junghoseok,306,0,0,1,0,en,1541933567973916674,,,,,1.5419340582459843e+18,https://twitter.com/yoonhyyh_,"[User(username='yoonhyyh_', id=1488094173156757507, displayname='yalaina⁷🃏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='yoonhyyh_', id=1488094173156757507, displayname='yalaina⁷🃏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-06-28 23:58:36+00:00,1541934120485412865,How cruel these people can even be. There is no electricity in # Gujrat  and its morning now and we have not slept all night.SHAME ON THESE PEOPLE.#Loadshedding,https://twitter.com/s84763596/status/1541934120485412865,How cruel these people can even be. There is no electricity in # Gujrat  and its morning now and we have not slept all night.SHAME ON THESE PEOPLE.#Loadshedding,s84763596,0,0,0,2,0,en,1541934120485412865,,,,,,,,,,['Loadshedding'],,,,,Twitter for Android
2022-06-28 23:58:26+00:00,1541934077481205760,"یہ چوں چوں کا مربہ حکومت کسی بھی دن گر جائے گی جس کا قوی امکان ہے۔ پاکستان کا لانگ ٹرم حل الیکشن اور پھر نئی حکومت کا لمبے عرصے تک قائم رہنا ہے۔ تاکہ اقتصادی پالیسیز میں تسلسل رہے۔ 
#Loadshedding",https://twitter.com/mfahadalvi/status/1541934077481205760,"یہ چوں چوں کا مربہ حکومت کسی بھی دن گر جائے گی جس کا قوی امکان ہے۔ پاکستان کا لانگ ٹرم حل الیکشن اور پھر نئی حکومت کا لمبے عرصے تک قائم رہنا ہے۔ تاکہ اقتصادی پالیسیز میں تسلسل رہے۔ 
#Loadshedding",mfahadalvi,304,0,0,2,0,ur,1541934077481205760,,,,,,,,"Coordinates(longitude=72.952919, latitude=33.53611)","Place(fullName='Rawalpindi, Pakistan', name='Rawalpindi', type='city', country='Pakistan', countryCode='PK')",['Loadshedding'],,,,,Twitter for Android
2022-06-28 23:58:03+00:00,1541933982757306368,"کراچی کی ایک آواز 
#Loadshedding https://t.co/YK5Ehl0p54",https://twitter.com/emzaidi/status/1541933982757306368,"کراچی کی ایک آواز 
#Loadshedding https://t.co/YK5Ehl0p54",emzaidi,150,0,1,2,0,ur,1541933982757306368,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYMySwXoAQu_7v?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYMySwXoAQu_7v?format=jpg&name=large')]",,,,,,,,['Loadshedding'],,,,,Twitter for Android
2022-06-28 23:57:54+00:00,1541933945054547969,#Loadshedding Allah is KElectric ko taba o barbad kare itna zulam laga rahka hai is duniya ko hi janat samaj behti hai Kelectric kuch sharm karo,https://twitter.com/Mohamma22325295/status/1541933945054547969,#Loadshedding Allah is KElectric ko taba o barbad kare itna zulam laga rahka hai is duniya ko hi janat samaj behti hai Kelectric kuch sharm karo,Mohamma22325295,3,1,0,1,0,hi,1541933945054547969,,,,,,,,,,['Loadshedding'],,,,,Twitter for Android
2022-06-28 23:57:35+00:00,1541933862263361536,"ایسا تجربہ بتی بنالو
#Loadshedding https://t.co/EodvRortVM",https://twitter.com/emzaidi/status/1541933862263361536,"ایسا تجربہ بتی بنالو
#Loadshedding https://t.co/EodvRortVM",emzaidi,150,0,0,0,0,ur,1541933862263361536,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYMrOkXEAAp-vd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYMrOkXEAAp-vd?format=jpg&name=large')]",,,,,,,,['Loadshedding'],,,,,Twitter for Android
2022-06-28 23:57:15+00:00,1541933780126302209,"#RegimeChangeInPakistan
 عوام سے بدلا لینے کیلئے تھا  
#Loadshedding",https://twitter.com/emzaidi/status/1541933780126302209,"#RegimeChangeInPakistan
 عوام سے بدلا لینے کیلئے تھا  
#Loadshedding",emzaidi,150,0,0,1,0,ur,1541933780126302209,,,,,,,,,,"['RegimeChangeInPakistan', 'Loadshedding']",,,,,Twitter for Android
2022-06-28 23:56:42+00:00,1541933642766815232,The original loadshedding used to be 4 hours 🙃 https://t.co/zan7VdrUlZ,https://twitter.com/Ron_Da_Don_II/status/1541933642766815232,The original loadshedding used to be 4 hours 🙃 twitter.com/Tumi213/status…,Ron_Da_Don_II,2361,0,0,0,0,en,1541933642766815232,['https://twitter.com/Tumi213/status/1541705672345141249'],,,https://twitter.com/Tumi213/status/1541705672345141249,,,,,,,,,['https://twitter.com/Tumi213/status/1541705672345141249'],['https://t.co/zan7VdrUlZ'],Twitter for Android
