date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers,outlinks,tcooutlinks,sourceLabel
2022-03-18 18:11:53+00:00,1504883302863360001,"After all, why are we Pakhtuns being abused on a daily basis? 

#peshawarattack #peshawarblast #Peshawar #pakhtoon #Afghan #standwithpakhtoons https://t.co/H0WMuE08oM",https://twitter.com/MudassirBangesh/status/1504883302863360001,"After all, why are we Pakhtuns being abused on a daily basis? 

#peshawarattack #peshawarblast #Peshawar #pakhtoon #Afghan #standwithpakhtoons https://t.co/H0WMuE08oM",MudassirBangesh,25,0,0,0,0,en,1504883302863360001,,"[Photo(previewUrl='https://pbs.twimg.com/media/FOJrY3MWYAQ-E4e?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOJrY3MWYAQ-E4e?format=jpg&name=large')]",,,,,,,,"['peshawarattack', 'peshawarblast', 'Peshawar', 'pakhtoon', 'Afghan', 'standwithpakhtoons']",,,,,Twitter for Android
2022-03-18 06:00:22+00:00,1504699209198731266,"مری میں مرنے والوں کے لئے 50لاکھ کا پیکچ جبکہ پشاور مسجد دھماکہ میں شھیدوں اور زخمیوں کو اللہ کے اسرے چھوڑ دیا ۔انتہائی سخت ظلم ہوا نمازیوں کےساتھ یا اللہ تو ہی عادل و انصاف کرنے والا ہے ۔
#peshawarattack",https://twitter.com/khsn_muhammad/status/1504699209198731266,"مری میں مرنے والوں کے لئے 50لاکھ کا پیکچ جبکہ پشاور مسجد دھماکہ میں شھیدوں اور زخمیوں کو اللہ کے اسرے چھوڑ دیا ۔انتہائی سخت ظلم ہوا نمازیوں کےساتھ یا اللہ تو ہی عادل و انصاف کرنے والا ہے ۔
#peshawarattack",khsn_muhammad,4,0,0,1,0,ur,1504699209198731266,,,,,,,,,,['peshawarattack'],,,,,Twitter for Android
2022-03-16 09:24:12+00:00,1504025732804231170,"پشاور دھماکے میں جاں بحق ہونے والوں کے ورثا کیلئے 20 لاکھ روپے معاوضے کی منظوری

https://t.co/Ob7SJ9UPMR

#peshawarattack #compensation #DawnNews",https://twitter.com/Dawn_News/status/1504025732804231170,"پشاور دھماکے میں جاں بحق ہونے والوں کے ورثا کیلئے 20 لاکھ روپے معاوضے کی منظوری

dawnnews.tv/news/1179075/

#peshawarattack #compensation #DawnNews",Dawn_News,2227048,0,0,5,0,ur,1504025732804231170,['https://www.dawnnews.tv/news/1179075/'],,,,,,,,,"['peshawarattack', 'compensation', 'DawnNews']",,,['https://www.dawnnews.tv/news/1179075/'],['https://t.co/Ob7SJ9UPMR'],TweetDeck
2022-03-15 13:25:25+00:00,1503724048161083394,"@TheRealPCB Thank you lord Ganesha, for saving the @CricketAus team from the daily terrorist attacks in Pakistan like Peshawar bomb blasts on Sunnis
#IzlamicTerror
#islamicextremism 
#peshawarattack 
#ShiaKafir",https://twitter.com/NehaGup12439382/status/1503724048161083394,"@TheRealPCB Thank you lord Ganesha, for saving the @CricketAus team from the daily terrorist attacks in Pakistan like Peshawar bomb blasts on Sunnis
#IzlamicTerror
#islamicextremism 
#peshawarattack 
#ShiaKafir",NehaGup12439382,105,0,0,1,0,en,1503707098022092804,,,,,1.5037070980220928e+18,https://twitter.com/TheRealPCB,"[User(username='TheRealPCB', id=2420020489, displayname='Pakistan Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CricketAus', id=2230987464, displayname='Cricket Australia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['IzlamicTerror', 'islamicextremism', 'peshawarattack', 'ShiaKafir']",,"[User(username='TheRealPCB', id=2420020489, displayname='Pakistan Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CricketAus', id=2230987464, displayname='Cricket Australia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App
2022-03-14 01:14:53+00:00,1503177815797252098,"A well-written article on expanding network of #ISKP, target killings of #Shias in #Pakistan &amp; #Afghanistan and #massacre at #Shia #Mosque in #Peshawar. #Peshawarblast #peshawarattack 
https://t.co/pyhpCe1mW7",https://twitter.com/asimawan27/status/1503177815797252098,"A well-written article on expanding network of #ISKP, target killings of #Shias in #Pakistan &amp; #Afghanistan and #massacre at #Shia #Mosque in #Peshawar. #Peshawarblast #peshawarattack 
thenews.com.pk/tns/detail/940…",asimawan27,393,0,0,2,1,en,1503177815797252098,['https://www.thenews.com.pk/tns/detail/940546-terror-strikes-peshawar'],,,,,,,,,"['ISKP', 'Shias', 'Pakistan', 'Afghanistan', 'massacre', 'Shia', 'Mosque', 'Peshawar', 'Peshawarblast', 'peshawarattack']",,,['https://www.thenews.com.pk/tns/detail/940546-terror-strikes-peshawar'],['https://t.co/pyhpCe1mW7'],Twitter Web App
2022-03-13 16:51:58+00:00,1503051250442641416,"""چلے جو ہوگے شہادت کا جام پی کر تم 
رسول ص پاک نے بانہوں میں لے لیا ہوگا
علی ع تمہاری شہادت پہ جھومتے ہونگے
حسین ع پاک نے ارشاد یہ کیا ہوگا 
تمہیں خدا کی رضائیں سلام کہتی ہیں ""
💔💔💔💔
#PeshawarAttack 
 
Recite surah fatiha for my Mamu (شہید آغا غضنفر علی قزلباش ) https://t.co/bWExwQonlE",https://twitter.com/M_LeehaBatool/status/1503051250442641416,"""چلے جو ہوگے شہادت کا جام پی کر تم 
رسول ص پاک نے بانہوں میں لے لیا ہوگا
علی ع تمہاری شہادت پہ جھومتے ہونگے
حسین ع پاک نے ارشاد یہ کیا ہوگا 
تمہیں خدا کی رضائیں سلام کہتی ہیں ""
💔💔💔💔
#PeshawarAttack 
 
Recite surah fatiha for my Mamu (شہید آغا غضنفر علی قزلباش ) https://t.co/bWExwQonlE",M_LeehaBatool,419,2,2,21,0,ur,1503051250442641416,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNvpJSIXMAUKN1f?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNvpJSIXMAUKN1f?format=jpg&name=large')]",,,,,,,,['PeshawarAttack'],,,,,Twitter for Android
2022-03-13 14:36:05+00:00,1503017054894497799,"70 سے زائد شہداء
کے باوجود بلدیاتی انتخابات میں پھر سے گانے بجانے شروع ہوگئے بہت افسوس... ❗️ 
 پاراچنار....
#PeshawarunderAttack 
#PeshawarAttack 
#Peshawar",https://twitter.com/FKharmangi/status/1503017054894497799,"70 سے زائد شہداء
کے باوجود بلدیاتی انتخابات میں پھر سے گانے بجانے شروع ہوگئے بہت افسوس... ❗️ 
 پاراچنار....
#PeshawarunderAttack 
#PeshawarAttack 
#Peshawar",FKharmangi,12,0,0,0,0,ur,1503017054894497799,,,,,,,,,,"['PeshawarunderAttack', 'PeshawarAttack', 'Peshawar']",,,,,Twitter for Android
2022-03-13 07:53:19+00:00,1502915698380660736,#peshawarattack https://t.co/UYxNWB8yLT,https://twitter.com/Muzi1214/status/1502915698380660736,#peshawarattack https://t.co/UYxNWB8yLT,Muzi1214,121,0,0,0,0,und,1502915698380660736,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNtt3N0XoAA3N4s?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNtt3N0XoAA3N4s?format=jpg&name=large')]",,,,,,,,['peshawarattack'],,,,,Twitter for Android
2022-03-12 15:59:04+00:00,1502675551428902919,"@FPCCI1 @dailytimespak @razak_dawood @Asad_Umar @shaukat_tarin @ShahFarman_PTI @ImranKhanPTI @FinMinistryPak @mincompk I thank FPCCI, however am puzzled at the lack of care given to the Peshawar victims shown by the government. #peshawarattack",https://twitter.com/SyedAmirSaqlain/status/1502675551428902919,"@FPCCI1 @dailytimespak @razak_dawood @Asad_Umar @shaukat_tarin @ShahFarman_PTI @ImranKhanPTI @FinMinistryPak @mincompk I thank FPCCI, however am puzzled at the lack of care given to the Peshawar victims shown by the government. #peshawarattack",SyedAmirSaqlain,61,0,0,1,0,en,1501072654425542656,,,,,1.5010726544255427e+18,https://twitter.com/FPCCI1,"[User(username='FPCCI1', id=3193076232, displayname='FPCCI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dailytimespak', id=2191703749, displayname='Daily Times', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='razak_dawood', id=1130919609207578624, displayname='Abdul Razak Dawood', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Asad_Umar', id=452830010, displayname='Asad Umar', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='shaukat_tarin', id=1387717681269325829, displayname='Shaukat Tarin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ShahFarman_PTI', id=868815961427759105, displayname='Shah Farman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FinMinistryPak', id=2541181428, displayname='Ministry of Finance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mincompk', id=1413736092185108491, displayname='Ministry of Commerce (MOC)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['peshawarattack'],,"[User(username='FPCCI1', id=3193076232, displayname='FPCCI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dailytimespak', id=2191703749, displayname='Daily Times', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='razak_dawood', id=1130919609207578624, displayname='Abdul Razak Dawood', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Asad_Umar', id=452830010, displayname='Asad Umar', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='shaukat_tarin', id=1387717681269325829, displayname='Shaukat Tarin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ShahFarman_PTI', id=868815961427759105, displayname='Shah Farman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FinMinistryPak', id=2541181428, displayname='Ministry of Finance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mincompk', id=1413736092185108491, displayname='Ministry of Commerce (MOC)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
2022-03-12 15:55:57+00:00,1502674767811424258,@PresOfPakistan  When will Pakistan Government provide financial aid to victims of #peshawarattack,https://twitter.com/SyedAmirSaqlain/status/1502674767811424258,@PresOfPakistan  When will Pakistan Government provide financial aid to victims of #peshawarattack,SyedAmirSaqlain,61,0,0,0,0,en,1502674767811424258,,,,,,,"[User(username='PresOfPakistan', id=1034180386736295938, displayname='The President of Pakistan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['peshawarattack'],,"[User(username='PresOfPakistan', id=1034180386736295938, displayname='The President of Pakistan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android
