UserName,Embedded_text,Likes,Retweets,Tweet URL
@Siddiquitalks,Nothing fucks you harder than time !! #RandomThoughts,,,https://twitter.com/Siddiquitalks/status/1525305316056899585
@Siddiquitalks,"Searching out history, the only thing I've realized that I am tired about reading the achievement of better men ! Time to become one ! #RandomThoughts",,,https://twitter.com/Siddiquitalks/status/1525308323741958144
@Siddiquitalks,Stopping public show by force eventually will lead to anarchy and city would pay the consequences !! Democracy champions turn into monarch when they get into power! There is something in these chairs bcoz all those come into power starts thinking by ankle or lower !! #Sialkot,,,https://twitter.com/Siddiquitalks/status/1525327176270336000
@Siddiquitalks,One of the fastest growing freelancing industry which payment streams are ignoring ! We want PayPal in Pakistan ! #PayPal,,,https://twitter.com/Siddiquitalks/status/1525925936021094402
@Siddiquitalks,Urooj se zawaal tak !#amirliaquat,,,https://twitter.com/Siddiquitalks/status/1525925271005798402
@Siddiquitalks,Woh poochna yeh tha agar zameen mein garay aslahay se Fursat mil gai ho toh dhamaka karne walo'on ko bhi dhoond Liya jai ? #KarachiBlast,,,https://twitter.com/Siddiquitalks/status/1526315166132051969
@Siddiquitalks,"When nothing to say ! MQM takes the centre stage ! economic crisis bhi daal do ! Kaam mat Karna dhang se ... #StopBlamingMQM
1
17
23",17,23,https://twitter.com/Siddiquitalks/status/1526681559557980166
@Siddiquitalks,Qismat ki Hawa kabhi naram kabhi garam !! #HamzaShahbaz,,,https://twitter.com/Siddiquitalks/status/1526680981993836546
@Siddiquitalks,This country and it's people will never respect judiciary bcoz the same people were criticizing the courts few back and now they are singing songs on their decisions !! Everybody wants to hear according to their will otherwise it is not justice ! #SupremeCourt,,,https://twitter.com/Siddiquitalks/status/1526832946224963584
@Siddiquitalks,"Considering the devaluation of rupee and inflation, bicycle wouldn't be bad option as karachi doesn't offer any public transport !! #Rupee",,,https://twitter.com/Siddiquitalks/status/1526834162975780864
@Siddiquitalks,Is double century scored against dollars?? #Rupee,,,https://twitter.com/Siddiquitalks/status/1526834405666615296
@Siddiquitalks,Jis ne buzdar ko sataya us ne raksha chalaya !  #UsmanBuzdar,,,https://twitter.com/Siddiquitalks/status/1526835168681816064
@Siddiquitalks,"Government be like: jeenay nhi denge tumhain, chahay jitna generator Laga ley ..#Loadshedding
2",,2,https://twitter.com/Siddiquitalks/status/1527071478793277440
@Siddiquitalks,"Political parties only accept court decisions when they are in favor otherwise it is all scam, bribery,conspiracies,self interest, playing for establishment or what not and then we want empower institutions in this country !!  #فیصلہ_وہ_جو_میرے_حق_میں
7
1",7,1,https://twitter.com/Siddiquitalks/status/1527186059343589376
@Siddiquitalks,"Wholesome, fulfilling, the actual depiction of rural areas where people drive on emotions, love and peacefullness in their lives with limited resources ! Not everyone is holding guns, grenades or grudges !!#PanchayatSeason2",,,https://twitter.com/Siddiquitalks/status/1527195154838343681
@Siddiquitalks,Khan Saab hitting on Maryam? #ImranKhanLIVE,,,https://twitter.com/Siddiquitalks/status/1527737350457294848
@kazimhc19,"اس سال سردی کہ فوری بعد گرمیوں میں داخل ہوگئے ہیں جس کہ باعث درجہ حرارت ہر دن کہ ساتھ اوپر جارہا ہے اس گرمی سے بچنے کا ایک ہی حل ہے اور وہ ہے درخت لگانا!نیم، شیشم، پیپل، بوہڑ وغیرہ لگائیں اور گرمی کو بھگائیں۔۔درخت آپ کی نسلوں کا بھی ضامن ہے  
#Pakistan #ClimateCrisis #Karachi
9",,9,https://twitter.com/kazimhc19/status/1525497680537042944
@kazimhc19,"خان صاحب آج سیالکوٹ میں ایک بار پھر گالم گلوچ، طنز، نام بگاڑنے کی سیاست کو فروغ دے رہے۔۔خان صاحب نے آصف زرداری کو بیماری، نواز شریف کو چور، مولانا فضل رحمان کو ڈیزل اور شہباز شریف کو Cherry Blossomبول کر مخاطب کیا۔ کیا اس طرح کی سیاست سے کوئی بہتری آسکتی؟
#SialkotJalsa #ImranKhan
1
7",,7,https://twitter.com/kazimhc19/status/1525518505302446080
@kazimhc19,"Sad to hear the news of Andrew Symonds  We lost a gem, condolences for his family 
#RIPRoy
3",,3,https://twitter.com/kazimhc19/status/1525733860469878785
@kazimhc19,"سیاسی قیادتیں منجن بیچنے میں مصروف ہیں، عوام کہ لیے کوئی واضع پالیسی اور رلیف نہیں!
#imrankhanPTI #bilawalBhutto #MaryamNawazSharif #Pakistan
2",,2,https://twitter.com/kazimhc19/status/1525875970275672066
@kazimhc19,"نُوقِ نِیزہ پر حُسین کہ سَر کو  تلاوت کرتے بھی دیکھا
حُسین کہ مُوجزوں میں سے اِک یہ مُوجزہ بِھی دِیکھا
Kazim Hussain Channa 
1
10",1,10,https://twitter.com/kazimhc19/status/1525771267365867520
@kazimhc19,"عمران خان کے خدشات کو نظر انداز کرنا بیوقوفی میں شمار ہو سکتا ہے۔۔خدا خان صاحب کو لمبی زندگی دیں اور ساتھ ہی ساتھ ان کو یہ توفیق بھی دیں آخر ان کی جان کو کونسی قوتوں سے خطرہ ہے؟ اس سے قبل بہت دیر ہوجائے۔۔
#imrankhanPTI #SialkotJalsa
3",,3,https://twitter.com/kazimhc19/status/1525733624867332096
@kazimhc19,"بم دھماکے میں مرنے والوں کو شہدا کا لقب دے کر حکومتی نا اہلی چھپائی نہیں جاسکتی۔
#Karachiblast
6",,6,https://twitter.com/kazimhc19/status/1526290093534765062
@kazimhc19,"وزیراعظم شہباز شریف نے کہا تھا وہ کپڑے بیچ کر آٹا سستہ کرینگے پر ابھی تک آٹا سستہ نہیں ہوا، آخر عوام کس کی طرف دیکھے؟ لوگ ایک وقت کی روٹی کہ لیے بھی پریشان ہیں خدا راہ ان سے یہ ایک وقت کی روٹی نہ چھینی جائے
#ShehbazSharif #Pakistan
1
6",1,6,https://twitter.com/kazimhc19/status/1526211217706082310
@kazimhc19,"اس شدید گرمی میں نئی حکومت نے عوام کو لوڈشیڈنگ کہ عذاب میں مبتلا کردیا ہے
#Pakistan
4",,4,https://twitter.com/kazimhc19/status/1526196865527697409
@kazimhc19,"کرسی ہے تمہارا جنازہ تو نہیں،
کچھ کر نہیں سکتے تو اتر کیوں نہیں جاتے!
#Karachiblast
11",,11,https://twitter.com/kazimhc19/status/1526290618087096321
@kazimhc19,"اس تصویر سے اہل دل کا جگر کٹ گیا ہے۔۔حکومتی نااہلی کی وجہ سے اس معصوم بچے کہ لیے ہمیشہ کہ لیے دعا کہ دروازے بند ہوگئے اس معصوم بچے کی ماں نہ رہی 
#KarachiBlast
1
4
16",4,16,https://twitter.com/kazimhc19/status/1526356085459787782
