Username,Embedded_text,Likes,Retweets,Tweet URL
,"#Bitcoin 
4
9
68",9,68,https://twitter.com/JusticeDie01/status/1517884270542532615
,"#EPS
İsim değişikliğine  gidiyor
18 mayısta  tekrar gelecek
7
4
35",4,35,https://twitter.com/JusticeDie01/status/1517956524768907264
,"Arkadaşlar   Ödemeler 
Usdt üzerinden olacak 
Engellenen 
Hesabı kapanan  alamayacak
Bunların yerine ödülü
Yedekler alacak 
#çekiliş  için sabit twitte rt at 
Bir arkadaşını etiketle
4
20
77",20,77,https://twitter.com/JusticeDie01/status/1517951323169247238
,"#23nisan
#TBMM23NisanEtkinlikleri 
#kütahya
1
1
64",1,64,https://twitter.com/JusticeDie01/status/1517767902434316290
,"Günaydın Madenci arkadaşlar
#btc korku vermeye devam ediyor
7
3
67",3,67,https://twitter.com/JusticeDie01/status/1517745167570284544
,"Eee bu ne 
Emirhan
@Emirhan05267501
 · Apr 23
Penaltı yok... 

#ADSvTS
14
10
63",10,63,https://twitter.com/JusticeDie01/status/1517931107815239681
,"Yarın ABD Dışişleri Bakanı Blinken ve ABD Savunma Bakanı Ukrayna'ya gelecek.

Baktı Zelenski  yapamıyor 

Savaşı  kendileri yönetecek 
2
1
53",1,53,https://twitter.com/JusticeDie01/status/1517918991615991821
,"Bunlar benim sepet

#bake 
#dodo 
#chz 
#sxp 
#bts
#Hot 
#dıa 
#win 
#Bel 
#unfi 
#wrx 
#reef 
#bttc 
#ıcp 
#fun 
#rsr 
#flm
#cake 
#alıce 
#tlm
#EPS
5
13
75",13,75,https://twitter.com/JusticeDie01/status/1517956932132294656
,"E: Hiçbiri
Uyandırma Servisi
@uyanhadi_
 · Apr 23
En çok beğendiğiniz ve güvendiğiniz siyasetçi kim?
3
1
28",1,28,https://twitter.com/JusticeDie01/status/1517878353784680451
,"Anket yapalım 
Sizce ? 
#penaltı 
#ADSvTS
Penaltı
18.2%
Penaltı  değil
81.8%
307 votes
·
Final results
8
16",,16,https://twitter.com/JusticeDie01/status/1517926400157753347
,"Bizim çekilişin rt çok düşük
Herkese 
Çıkma olasılığı yüksek 
20 kişi az değil 
249 rt var 
7
43
155",43,155,https://twitter.com/JusticeDie01/status/1518323480764293120
,"Balık degil  tavuk 
4
5
116",5,116,https://twitter.com/JusticeDie01/status/1518269345448841218
,"Turna
Sazan 
Tatlısu balığı 
İçin takım aldım 
Nasıl ? 
Yem olarak 
Yapay 
Kurtcuk ve Mısır kullanacam
24
6
75",6,75,https://twitter.com/JusticeDie01/status/1518156331756273665
,"Btc nin 55.000 $ gelmesini beklemedim 
#Çekiliş için
4
8
90",8,90,https://twitter.com/JusticeDie01/status/1518326932278030336
,"Günaydın arkadaşlar 
#btc 
Çiçek oldu olmaz dediler 
Domates oldu kızarmaz dediler 
Şimdi ne diyecekler 
Kütahya da kışın ortasında 
Domates  yetiştirdim 
Ama 1 tane  
22
6
220",6,220,https://twitter.com/JusticeDie01/status/1518126162526015488
,"Çekiliş sonuçları açıklandığında 
Herkese dm den yazacam 
20 asıl 
10 tanede yedek olacak 
Almak istemeyen 
Olursa yedeklere gidecek 
Bir öncekinde birisi kaçtı 
Ödül kazandın  dedim 
Beni engelledi 
Ulan parayı atan benim
7
9
125",9,125,https://twitter.com/JusticeDie01/status/1518324743950282752
,"Sadece sabit twitte RT 
ve  Bir arkadaşını etiketle 
#Binance 
#btc
#çekiliş
7
17
68",17,68,https://twitter.com/JusticeDie01/status/1518325983169888257
,"Umut her zaman vardır 
6
6
103",6,103,https://twitter.com/JusticeDie01/status/1518327794853425153
,"#bitcoin
1
6
54",6,54,https://twitter.com/JusticeDie01/status/1518563476007960576
,"#btc
1
6
47",6,47,https://twitter.com/JusticeDie01/status/1518641338786451456
