Username,Embedded_text,Likes,Retweets,Tweet URL
,"Proxy wey dey inside body IP don finish
2
8",2,8,https://twitter.com/akika_lmd/status/1517418097292062722
,"I don’t have problem with you having male friends but please don’t suck their dick
3
5
17",5,17,https://twitter.com/akika_lmd/status/1517428498973229056
,"Make I dey argue with a sheep? 

God forbid
3
10",3,10,https://twitter.com/akika_lmd/status/1517649820722376706
,"If lion loose guard inside water, crocodile go kill am chop
2
6
43",6,43,https://twitter.com/akika_lmd/status/1517648568345153536
,"If your homeboy is finer than you, some of y’all girls gon suck their dick 
2
9",2,9,https://twitter.com/akika_lmd/status/1517419174674542592
,"Can even pick these baddies VC anywhere and anytime 
1
6",1,6,https://twitter.com/akika_lmd/status/1517414592510574593
,"Girls will hate you for not letting them whyne you 
3
8",3,8,https://twitter.com/akika_lmd/status/1517846779278274561
,"Don’t ever express your feelings to her 

I did and she said Thank you 
2
4
29",4,29,https://twitter.com/akika_lmd/status/1517966249308966912
,"Everything wey you get nah gift
17",,17,https://twitter.com/akika_lmd/status/1518364998522785792
,"Where God dey stay before e created heaven and earth ?
4
3
14",3,14,https://twitter.com/akika_lmd/status/1518231033757507585
,"Wiz Khalifa stature don do me
8",,8,https://twitter.com/akika_lmd/status/1518729907727122432
,"Y’all been expecting too much from me lately, i have life to live out of social media bruuuh 
1
11",1,11,https://twitter.com/akika_lmd/status/1518733790000123904
,"Kaluba is the pride of a man, make everybody rest
3
2
8",2,8,https://twitter.com/akika_lmd/status/1519254918351228929
,"Nobody dey send me aza if them dey do Baiday, everyvody don know say I no get money 
1
3
9",3,9,https://twitter.com/akika_lmd/status/1519708443292098562
,"I’m not your type but you dey fuck dog… Wonderful
5
6
19",6,19,https://twitter.com/akika_lmd/status/1519801605239054343
,"I no go sleep with anybody on this island again
1
8",1,8,https://twitter.com/akika_lmd/status/1519826184871284736
,"Nah who get freedom dey find peace of mind
4
19",4,19,https://twitter.com/akika_lmd/status/1519632532500795393
,"I know say nah all dis Snapchat girls dey sleep with dog
1
2
7",2,7,https://twitter.com/akika_lmd/status/1519797662631014401
,"Only God can set my puzzle
2
13",2,13,https://twitter.com/akika_lmd/status/1519469121280299011
,"Oloriburuku ni Gbogbo yin
3",,3,https://twitter.com/akika_lmd/status/1519827973754470400
,"I’m auto-binning applicants who are coming fresh out of 
@Twitter
 because i know why you’re leaving and we don’t need that personality type here. #ElonMusk
1",,,https://twitter.com/alpinecoder/status/1519387926819352576
,"Listening to 
@JDVance1
 run his mouth is a price I'll gladly pay for free speech.",,,https://twitter.com/alpinecoder/status/1519195172264812545
,"JD continuous use of misogynistic words when talking about his ex-wives shows what he really is … a fucking misogynistic abusive bully. 
 #TeamAmber #JohnnyDeppVsAmberHeard
2
4",,4,https://twitter.com/abdisamira1/status/1517570671802466304
,"Yes I do  #IStandWithAllisonBailey
6",,6,https://twitter.com/abdisamira1/status/1518626675843641344
,"Disgusting Pig.
Diane Abbott MP
@HackneyAbbott
 · Apr 26
This is Glen Owen the Mail on Sunday journalist who wrote the ridiculously misogynistic story about Angela Rayner and her legs. Interesting that he feels entitled to judge female MPs by their looks.",,,https://twitter.com/abdisamira1/status/1518926929239461888
