date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-06-28 22:21:31+00:00,1541909689528717313,"Hmny to ups 😩😩  bech deye thy 
#Loadshedding",https://twitter.com/klaasra/status/1541909689528717313,"Hmny to ups 😩😩  bech deye thy 
#Loadshedding",klaasra,76,0,0,1,0,en,1541909689528717313,,,,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,7.257968e-05
2022-06-28 22:04:46+00:00,1541905473456177155,"Garmi ata hai tou Light jata hai,

Zyada Garmi ata hai tou Zyada Light jata hai 
#Loadshedding",https://twitter.com/aly_naqi/status/1541905473456177155,"Garmi ata hai tou Light jata hai,

Zyada Garmi ata hai tou Zyada Light jata hai 
#Loadshedding",aly_naqi,902,0,1,8,0,hi,1541905473456177155,,,,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,8.519212e-05
2022-06-28 21:08:52+00:00,1541891405316071429,"بات تو بالکل درست ہے
very cute message
#Loadshedding https://t.co/MQw2ZpG57z",https://twitter.com/PapuYaar7/status/1541891405316071429,"بات تو بالکل درست ہے
very cute message
#Loadshedding https://t.co/MQw2ZpG57z",PapuYaar7,302,1,0,1,0,und,1541891405316071429,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWXmDzJWAAclUsF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWXmDzJWAAclUsF?format=jpg&name=large')]",,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,9.120885e-05
2022-06-28 23:57:35+00:00,1541933862263361536,"ایسا تجربہ بتی بنالو
#Loadshedding https://t.co/EodvRortVM",https://twitter.com/emzaidi/status/1541933862263361536,"ایسا تجربہ بتی بنالو
#Loadshedding https://t.co/EodvRortVM",emzaidi,150,0,0,0,0,ur,1541933862263361536,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYMrOkXEAAp-vd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYMrOkXEAAp-vd?format=jpg&name=large')]",,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,0.0001013407
2022-06-28 23:12:17+00:00,1541922464023937024,"Happy #LoadShedding 🤪
#GraphicWalaDesigner https://t.co/j5jgbB9C5E",https://twitter.com/samsyed001/status/1541922464023937024,"Happy #LoadShedding 🤪
#GraphicWalaDesigner https://t.co/j5jgbB9C5E",samsyed001,385,0,0,0,0,en,1541922464023937024,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYCSICWYAMLhyP?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FWYCSICWYAMLhyP?format=png&name=large')]",,,,,,"Coordinates(longitude=73.01243305206299, latitude=33.69474466789424)","Place(fullName='F-10 Markaz', name='F-10 Markaz', type='poi', country='Pakistan', countryCode='PK')","['LoadShedding', 'GraphicWalaDesigner']",,,,,Twitter Web App,0,0,0.00012764335
2022-06-28 20:51:18+00:00,1541886985920516098,"مفتیان کرام سے گزارش ہے کوئی حلال گالی دینے کی اجازت دیں جو پاکستان کے ان حالات کے زمہ داران کو دے کے دل کی بھڑاس تو کم کر لیں.
#Loadshedding
#امپورٹڈ_حکومٹ_نامنظور",https://twitter.com/ZamUzma/status/1541886985920516098,"مفتیان کرام سے گزارش ہے کوئی حلال گالی دینے کی اجازت دیں جو پاکستان کے ان حالات کے زمہ داران کو دے کے دل کی بھڑاس تو کم کر لیں.
#Loadshedding
#امپورٹڈ_حکومٹ_نامنظور",ZamUzma,10,0,0,0,0,ur,1541886985920516098,,,,,,,,,,"['Loadshedding', 'امپورٹڈ_حکومٹ_نامنظور']",,,,,Twitter for Android,0,0,0.00013464689
2022-06-28 20:03:27+00:00,1541874941418684417,"Happy birthday @elonmusk 
We desperately need sustainable solutions and technologies for loadshedding. https://t.co/iA8NIjvLUM",https://twitter.com/KaraboKbmags/status/1541874941418684417,"Happy birthday @elonmusk 
We desperately need sustainable solutions and technologies for loadshedding. twitter.com/akaworldwide/s…",KaraboKbmags,4752,0,0,1,0,en,1541874941418684417,['https://twitter.com/akaworldwide/status/1541786494272143360'],,,https://twitter.com/akaworldwide/status/1541786494272143360,,,"[User(username='elonmusk', id=44196397, displayname='Elon Musk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]","Coordinates(longitude=16.4475932, latitude=-34.8342468)","Place(fullName='South Africa', name='South Africa', type='country', country='South Africa', countryCode='ZA')",,,"[User(username='elonmusk', id=44196397, displayname='Elon Musk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",['https://twitter.com/akaworldwide/status/1541786494272143360'],['https://t.co/iA8NIjvLUM'],Twitter for Android,0,0,0.00014954805
2022-06-28 21:00:02+00:00,1541889181483425796,@BassilSabelo @ditebogomailula It’s places around union buildings and mostly academic hospitals such as steve Biko. Capital park Also doesn’t have loadshedding,https://twitter.com/hlau90/status/1541889181483425796,@BassilSabelo @ditebogomailula It’s places around union buildings and mostly academic hospitals such as steve Biko. Capital park Also doesn’t have loadshedding,hlau90,508,0,0,0,0,en,1541102583552643074,,,,,1.541311538434302e+18,https://twitter.com/BassilSabelo,"[User(username='BassilSabelo', id=966402919867265029, displayname='Sabelo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ditebogomailula', id=3312427547, displayname='DK', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='BassilSabelo', id=966402919867265029, displayname='Sabelo', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ditebogomailula', id=3312427547, displayname='DK', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.00016120076
2022-06-28 20:20:12+00:00,1541879157306662913,@nhlanhlantsele Nope I wasn’t watching due to loadshedding,https://twitter.com/Eralicious_L/status/1541879157306662913,@nhlanhlantsele Nope I wasn’t watching due to loadshedding,Eralicious_L,1064,1,0,0,0,en,1541849861267591168,,,,,1.5418524167269335e+18,https://twitter.com/nhlanhlantsele,"[User(username='nhlanhlantsele', id=372726831, displayname='Nhlanhla Ntsele', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='nhlanhlantsele', id=372726831, displayname='Nhlanhla Ntsele', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.00017812848
2022-06-28 20:06:38+00:00,1541875743201939458,"@MasekoThembaJ @RediTlhabi If useless ceo of eskom can open all coal power stations loadshedding will be history to this country , ba di ra ka bomo this useless people",https://twitter.com/AliM83492484/status/1541875743201939458,"@MasekoThembaJ @RediTlhabi If useless ceo of eskom can open all coal power stations loadshedding will be history to this country , ba di ra ka bomo this useless people",AliM83492484,1776,0,0,0,0,en,1541718012906160128,,,,,1.54171801290616e+18,https://twitter.com/MasekoThembaJ,"[User(username='MasekoThembaJ', id=102391944, displayname='Professor Themba Maseko', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RediTlhabi', id=126240387, displayname='Redi Tlhabi', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='MasekoThembaJ', id=102391944, displayname='Professor Themba Maseko', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RediTlhabi', id=126240387, displayname='Redi Tlhabi', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.00018629432
