user_id,user_screen_name,user_name,user_ location,user_description,Geo: ,coordinates,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,place,is_retweet
1499377392648921096,kachsy,dmkachsy.nft || .dao 📣,🔊Always take profit👌,"Crypto Enthusiast!!!

@ZoidPay — Ambassador",,,2014-11-28 20:59:09+00:00,3781,4846,23693,False,2022-03-03 13:33:22+00:00,RT @BitcoinMagazine: RT if #Bitcoin is your reserve currency 🙌,['Bitcoin'],Twitter for Android,,False
1499377390916624389,KalemKomedi,kara kalem mizah komedi,"İstanbul, Türkiye",Komik garip enteresan değişik savunma kollama masumo dallema,,,2021-02-09 12:19:08+00:00,547,2334,27852,False,2022-03-03 13:33:21+00:00,"RT @BTC_Archive: As alternatives, such as crypto (#Bitcoin), prove to be credible and workable, the dollar’s Reserve Status could, ultimate…",['Bitcoin'],Twitter for Android,,False
1499377390073569285,JTornbury,Observer,United States,Animal enthusiast,,,2017-12-21 23:57:40+00:00,370,437,7069,False,2022-03-03 13:33:21+00:00,"It's true actually.  Even owning land requires a rent payment in the form of local property taxes every year and over time widdles your initial investment amount down to less than zero.

Bitcoin produces a tax event only once when/if you sell it.    😳

#bitcooin #BTC https://t.co/ci2R0gRrQZ",,Twitter Web App,,False
1499377389415309319,AIona168,Anna,德国柏林,I am a cryptocurrency investor and enthusiast who enjoys exchanging ideas and learning more.,,,2021-11-16 10:19:17+00:00,152,143,671,False,2022-03-03 13:33:21+00:00,"#Bitcoin When BTC goes up, they hate the luck of those who make money and wait for BTC to go down to buy profits, but when BTC goes down, they say BTC is a scam. They have nothing but resentment and jealousy #Bitcoin #ETH",['Bitcoin'],Twitter Web App,,False
1499377388903350273,mandlazuri,mandla,"KwaZulu, South Africa","A believer💒
A go getter🏃
A father of 2👫
A husband to be💑
An optimistic👓
Artisan🛠️📚👨‍🔧",,,2016-11-11 20:58:32+00:00,247,956,413,False,2022-03-03 13:33:21+00:00,"@EFFSouthAfrica @MbuyiseniNdlozi @ProfPLOLumumba @Julius_S_Malema Being the head of the home isn't easy, you are expected to provide for the home, I lost my job during the pandemic and relied on the little money I had,things were hard until I met @_ambreymarcus1 and started Bitcoin trading, I earned  R150,000 in 3 weeks thanks @_ambreymarcus1.",,Twitter for Android,,False
1499377386701402117,Memer4206,🤑Crypto News Bot🤑,,"I am a Twitter Bot and will give useful information!
I will retweet all from Crypto.
Links to increase your Crypto Income in the link below!🤑",,,2022-01-06 18:15:11+00:00,342,0,1,False,2022-03-03 13:33:20+00:00,"RT @SuperStocks11: ⭐️@CURRENCYWRKS $CWRK ⭐️
⭐️#CurrencyWorks is a #fintech company building products across the #blockchain ecosystem.

htt…","['CurrencyWorks', 'fintech', 'blockchain']",MemerBoto,,False
1499377385753686019,izJoAqX0bMSaDnp,Minnie,"Bordeaux, France",A girl who loves sports. Love to swim and run in the morning. Prefer to read books and news on her days off,,,2022-02-10 17:31:21+00:00,53,221,1582,False,2022-03-03 13:33:20+00:00,"RT @AltcoinGordon: I’ve absolutely nailed every big bitcoin move in the last year, which other trader do you know can post proof of their c…",,Twitter Web App,,False
1499377385040678913,mj_bitcoin,MJ #Bitcoin for life,LTgxLjUzNDk5MiwgNjAuMTE4MDI5,"#Bitcoin, Take the Vax if you like, but i for sure dont take it... Free choice for everyone.",,,2011-04-15 10:57:08+00:00,4642,994,17679,False,2022-03-03 13:33:20+00:00,RT @DWhitmanBTC: Don’t worry.  People like Brad Sherman (who are beholden to investment banks) have this totally under control and are not…,,Twitter Web App,,False
1499377381479493632,Oregu1,Oregu 🪐,,Digital assets are the future! All tweets are my own. #IOTA #SHIMMER #ETH #LINK 🚀🪐#decentralisation #NFA #Freedom and #peace for every human 🕊🕊🕊,,,2017-12-03 18:21:37+00:00,698,873,99029,False,2022-03-03 13:33:19+00:00,"RT @Grayscale: ""Everyone else has concepts at this point. We actually have a product in market. We have over 600,000 investors in our flags…",,Twitter for iPhone,,False
1499377380800008194,Degenzilla1,Degenzilla,Medellin,,,,2021-05-26 16:00:15+00:00,27,894,2654,False,2022-03-03 13:33:19+00:00,"RT @BitcoinMagazine: 💥 US Senate Candidate: ""America should be the #Bitcoin capital of the world."" 🇺🇸 https://t.co/B8cxq4cwcu",['Bitcoin'],Twitter for Android,,False
1499377380305027076,Memer4206,🤑Crypto News Bot🤑,,"I am a Twitter Bot and will give useful information!
I will retweet all from Crypto.
Links to increase your Crypto Income in the link below!🤑",,,2022-01-06 18:15:11+00:00,342,0,1,False,2022-03-03 13:33:19+00:00,"RT @aurixexchange: CRYPTOCURRENCY isn't a new term anymore!
Moreover, Now there are Multiple options to earn as well as invest in CRYPTOCUR…",,MemerBoto,,False
1499377379810381825,ryelixi,li 💌,— ♡̷,sweater weather ## 6️⃣5️⃣🎹,,,2020-10-12 15:21:59+00:00,96,3416,21220,False,2022-03-03 13:33:19+00:00,"RT @chitaglorya__: giveaway 200$ | 2,800,000 IDR

-- rt follow @flagnetwork_NFT 

-- rt &amp; quoted their pinned with 
#FlagNetwork #IDO #cryp…","['FlagNetwork', 'IDO']",Twitter for Android,,False
