user_id,user_screen_name,user_name,user_ location,user_description,Geo: ,coordinates,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,place,is_retweet
1500083426111946755,Sahdevbhaivela1,Sahdevbhaivelabhaipatel Sahdevbhaivelabhaipstel,,,,,2022-02-25 02:50:22+00:00,8,6,210,False,2022-03-05 12:18:53+00:00,"RT @Minal_Pande: Shocked!to know about the passing away of great Aus cricketer,Bye for ever,He literally inspired generations with his magi…",,Twitter for Android,,False
1500083426031849473,tigpies3,Tigers05,From NSW  on loan to Vic ,"Wests Tigers, Melbourne City, Sydney Swans Sydney 6ers",,,2014-12-06 08:03:17+00:00,219,91,8256,False,2022-03-05 12:18:53+00:00,"Well the day is almost done,,, I was hoping I had misheard or it was a dream, unfortunately it seems to be true,,, the great shame warne is gone RIP #ShaneWarne https://t.co/iUtbVatCFO",,Twitter for iPhone,,False
1500083425453166595,TilluSalman,STillu,United Kingdom,,,,2016-10-31 01:14:52+00:00,63,1159,21407,False,2022-03-05 12:18:53+00:00,"RT @CricksLab: Rest in peace, one and only Shane Warne!

#CricksLab #CricketTwitter #PAKvsAUS #ShaneWarne #Shane #Australia https://t.co/N1…","['CricksLab', 'CricketTwitter', 'PAKvsAUS', 'ShaneWarne', 'Shane', 'Australia']",Twitter for iPhone,,False
1500083424803307522,Osman_malik5,Malik Usman,cacotopia,In search of Jinnah's Pakistan,,,2018-06-06 12:50:30+00:00,404,391,38579,False,2022-03-05 12:18:53+00:00,"RT @CricksLab: Rest in peace, one and only Shane Warne!

#CricksLab #CricketTwitter #PAKvsAUS #ShaneWarne #Shane #Australia https://t.co/N1…",,Twitter for Android,,False
1500083407111569410,Stu_Court,Stuart Court,Coventry,A Moth flies into a Pediatrist's office...,,,2010-01-11 01:33:26+00:00,1000,2149,57114,False,2022-03-05 12:18:49+00:00,"RT @FoxCricket: 'He was magic' 🌟

Isa Guha delivers an emotional few words on Warnie 😢

📺 Watch the #ShaneWarne tribute on @Foxtel CH501 or…",['ShaneWarne'],Twitter for Android,,False
1500083406893289474,ManishK65275644,Manish Kumar Gupta,"Uttar Pradesh, India",B. tech Civil Engineering...BTC...TET .......🚶....... 👣,,,2020-05-20 07:05:16+00:00,288,625,33371,False,2022-03-05 12:18:49+00:00,RT @isaguha: Heartbroken 💔 the best times of my life have been talking cricket with this bloke. The true rockstar of cricket. Will miss you…,,Twitter for Android,,False
1500083404800348161,airani_13111978,Armin Irani,,Female,,,2014-08-19 13:46:57+00:00,396,1011,65623,False,2022-03-05 12:18:48+00:00,"RT @TheQuint: Players from across the world shared their tributes for #ShaneWarne and #RodneyMarsh, as nations taking the field for #cricke…","['ShaneWarne', 'RodneyMarsh']",Twitter Web App,,False
1500083395321163776,Samantha_fanboy,CSK,"Hyderabad, India","No Hatred !! MSDIAN💛 CSK 

Corona attacks if you don't follow back 😷👿",,,2020-08-29 12:01:42+00:00,2950,2924,13162,False,2022-03-05 12:18:46+00:00,RT @henrygayle: RIP LEGEND 🙏🏿 😞 #ShaneWarne,['ShaneWarne'],Twitter for Android,,False
1500083386198622216,Thenu04754586,Honey,,,,,2020-12-22 16:49:12+00:00,4,160,4231,False,2022-03-05 12:18:44+00:00,RT @harbhajan_singh: Well done @imjadeja brilliant 100 keep going .. ( rockstar )the name was given to him by greatest ever @ShaneWarne @BC…,,Twitter for Android,,False
1500083374433648643,mustaaandaaaaa,Gujjar🇵🇰🇺🇸🇨🇦,,,,,2022-01-12 16:12:52+00:00,3,34,151,False,2022-03-05 12:18:41+00:00,RT @babarazam258: Find it hard to believe. Such a devastating loss for the cricket world. He literally inspired generations with his magica…,,Twitter for iPhone,,False
1500083365650866178,FaisalA75928158,Faisal Abbasi,"Rawalpindi, Pakistan","Kashmiri, 
Lecturer at Read Foundation College Dhirkot Azad Jamu & Kashmir.
Cricket Fan.",,,2017-06-27 10:16:03+00:00,931,2520,35977,False,2022-03-05 12:18:39+00:00,RT @farveezmaharoof: Emotional last 24 hours with the passing away of spin king #ShaneWarne 💔 Paying a tribute to him with @rashidkhan_19 d…,['ShaneWarne'],Twitter for Android,,False
