UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mohammad Asim,@9d780d722d5a45a,2022-04-23T20:50:33.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 24","Here's the analysis of #LINA : 
$LINA recently rejected from the strong resistance level of $0.029 - $0.033. Currently, price is dipping lower and lower which more looks like some sort of pullback. Price is expected to dip till major support level of $0.017 - $0.020. Around,
2
2",,2,,2,"['https://pbs.twimg.com/media/FRDo75UaQAAS8vx?format=jpg&name=small', 'https://pbs.twimg.com/media/FRDo8LlagAAsx-p?format=jpg&name=small']",https://twitter.com/9d780d722d5a45a/status/1517969198101987328
Mohammad Asim,@9d780d722d5a45a,2022-04-23T20:48:34.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 24","#CRV analysis: 

#CRVUSDT has formed a big symmetric triangle on the daily timeframe. The resistance line is near $2.80 and a break above this level is bullish. If CRV is rejected from here then the local resistance is $2.35-$2.40 area and $2.00-$2.10 area. Wait for a breakout
1
1",,1,,1,['https://pbs.twimg.com/media/FRDoe5bagAAU00d?format=jpg&name=900x900'],https://twitter.com/9d780d722d5a45a/status/1517968695938916352
Mohammad Asim,@9d780d722d5a45a,2022-04-23T21:00:35.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 24","#shiba Inu has officially launched a ""burn portal.""
#shibainu
watcher.guru
Shiba Inu Burn Portal Goes Live; Everything You Need to Know
Shiba Inu developers are trying to incentivize the holders of the meme coin to burn the token via a burning portal.",,,,,['https://pbs.twimg.com/card_img/1517961403109416960/jdg21vA2?format=jpg&name=small'],https://twitter.com/9d780d722d5a45a/status/1517971720053080064
Mohammad Asim,@9d780d722d5a45a,2022-04-24T20:46:25.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","#ZIL earlier took a massive bull rally  Currently, price is dumping & build up a resistance at $0.134-$0.138. Price reached a support level of $0.096-$0.10 & price breaks below this level in 4H TF,then we can continue fall till next major support zone of $0.033-$0.042.
4",,,,4,"['https://pbs.twimg.com/media/FRIxkxHakAAD8eI?format=jpg&name=small', 'https://pbs.twimg.com/media/FRIxlICagAAZsU-?format=jpg&name=small']",https://twitter.com/9d780d722d5a45a/status/1518330541845913600
Mohammad Asim,@9d780d722d5a45a,2022-04-24T10:49:09.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 24","#GMT took a massive bounce from the strong support level. I hope you bought out some #GMT, which is made a high of $3.85 around 79% profits. We recommend to lock-in some profit and shift the stoploss too.
2
5",,2,,5,"['https://pbs.twimg.com/media/FRGo33tacAIwojd?format=jpg&name=small', 'https://pbs.twimg.com/media/FRGo4NRaMAAuwX1?format=jpg&name=small']",https://twitter.com/9d780d722d5a45a/status/1518180237330497536
Mohammad Asim,@9d780d722d5a45a,2022-04-24T21:45:41.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","You Can Now #Burn #SHIB to Generate Passive Income
u.today
You Can Now Burn SHIB to Generate Passive Income
Shiba Inu are now able to earn passive income by destroying SHIB tokens with the help of the new burn portal
3",,,,3,['https://pbs.twimg.com/card_img/1518203100171014145/lWH8rt8F?format=jpg&name=small'],https://twitter.com/9d780d722d5a45a/status/1518345459194277889
Mohammad Asim,@9d780d722d5a45a,2022-04-24T21:37:41.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","Report Says 
@binance
 Shared Client Data With #Russia, Crypto Exchange Denies Allegations
news.bitcoin.com
Report Says Binance Shared Client Data With Russia, Crypto Exchange Denies Allegations – Exchanges...
Cryptocurrency exchange Binance has been accused in a media report of agreeing to provide user data to Russia’s financial watchdog.
1",,,,1,['https://pbs.twimg.com/card_img/1517979461928599552/TBS0pKaH?format=jpg&name=small'],https://twitter.com/9d780d722d5a45a/status/1518343444770717696
Mohammad Asim,@9d780d722d5a45a,2022-04-25T22:42:03.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 26","#btc trading above 40000 now,If the price can consolidate above $ 40000 , The NEXT IMPORTANT TARGETS will be $ 42970 , $ 43980 , $ 47170 and $ 48200 , Respectively #Bitcoin
1
5",,,1,5,['https://pbs.twimg.com/media/FROVov8acAAWPtg?format=jpg&name=900x900'],https://twitter.com/9d780d722d5a45a/status/1518722030706647042
Mohammad Asim,@9d780d722d5a45a,2022-04-25T07:01:20.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","#BTC break the range to the downside and entered the major support level too. Now, again a range is expected which indicates the some sort of consolidation. #BTC must needs to hodl above $38,500 else market will start bleeding. use stops in every trade and keep an eye on market.
4
3",,4,,3,['https://pbs.twimg.com/media/FRK-U03aQAAAjga?format=jpg&name=900x900'],https://twitter.com/9d780d722d5a45a/status/1518485292356755457
Mohammad Asim,@9d780d722d5a45a,2022-04-25T22:56:21.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 26","#SXP nearly bottomed out and lying on the major support level of $1.10 - $1.23. Price more likely ranging over it. U can till expected the bounce from here unless #BTC dumps. If price broke below $1.00 then a dump continuation is expected till $0.55 - $0.71. Else trading near 1.2
3",,3,,,"['https://pbs.twimg.com/media/FROY6CbagAAYCt5?format=jpg&name=small', 'https://pbs.twimg.com/media/FROY6XoacAAZTud?format=jpg&name=small']",https://twitter.com/9d780d722d5a45a/status/1518725631537680384
Mohammad Asim,@9d780d722d5a45a,2022-04-25T06:57:55.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","#Shib buying zone 0.000022651
1
2",,1,,2,['https://pbs.twimg.com/media/FRK9iwkaMAE7fqt?format=jpg&name=900x900'],https://twitter.com/9d780d722d5a45a/status/1518484433254424577
Mohammad Asim,@9d780d722d5a45a,2022-04-25T14:34:30.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","#ShibainuCoin : Is #shibainu gearing up for another 100x rally soon - AMBCrypto
ambcrypto.com
Shiba Inu: Is SHIB gearing up for another 100x rally soon
The most famous meme coin, Shiba Inu, over the last few months, has been consolidating, and while it may look disappointing to the investors, it could potentially be the trigger for a new rally based...
3",,,,3,['https://pbs.twimg.com/card_img/1518266465786474497/0LewAUfC?format=jpg&name=small'],https://twitter.com/9d780d722d5a45a/status/1518599337219362816
Mohammad Asim,@9d780d722d5a45a,2022-04-25T07:47:14.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","#Dogecoin Fan 
@elonmusk
 Musk May Buy 
@Twitter
 This Week: Report
u.today
Dogecoin Fan Elon Musk May Buy Twitter This Week: Report
The most powerful promoter of the Dogecoin cryptocurrency may take over Twitter as early as this week, according to a recent report
2",,,,2,['https://pbs.twimg.com/card_img/1518450985605246976/lpJwhrmD?format=jpg&name=small'],https://twitter.com/9d780d722d5a45a/status/1518496843633549313
Mohammad Asim,@9d780d722d5a45a,2022-04-25T07:10:37.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 25","#Bitcoin Is About to Lose Key Support Area, Is $37K Incoming? (#BTC Price Analysis)
cryptopotato.com
Bitcoin Is About to Lose Key Support Area, Is $37K Incoming? (BTC Price Analysis)
Last week, the 50-day and 100-day moving average lines went through a bullish crossover; however, Bitcoin failed to continue the bullish momentum and
1
1",,1,,1,['https://pbs.twimg.com/card_img/1518227971655483392/RH0nGCKH?format=jpg&name=small'],https://twitter.com/9d780d722d5a45a/status/1518487627305226241
Mohammad Asim,@9d780d722d5a45a,2022-04-26T14:04:23.000Z,"Mohammad Asim
@9d780d722d5a45a
·
Apr 26","#VIB is ready for a moonshot 
Only #btc #eth pair $vib
Now is the right time to build your position in VIB before breakout for massive profits in short term
The boom is coming in #VIB
Targeting 100% here
2
1
4",🚀 🚀 🚀 🚀,2,1,4,"['https://pbs.twimg.com/media/FRRovXCaIAAP4_P?format=jpg&name=small', 'https://pbs.twimg.com/media/FRRovqPaMAAUXr_?format=jpg&name=small']",https://twitter.com/9d780d722d5a45a/status/1518954145335562240
