UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Shaun@,Shaun@,2022-04-24T19:37:44.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Toda Francia parece que recibe con fuegos artificiales  la reelección de Macrón. Muy contentos se les ve...
Ewen Bazin
@EwenBazin
 · Apr 25
Affrontements en cours aux abords de la rue de saint-malo.

#Rennes #presidentielles2022
Show this thread
0:05
18.7K views
3
6",🤪,,3,6,['https://pbs.twimg.com/profile_images/1281900319107174402/xOM2vWC3_mini.jpg'],https://twitter.com/Cami_GP0/status/1518313260281380864
Shaun@,Shaun@,2022-04-24T19:15:03.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Parece que empieza el descontento con la reelección de Macrón.
Anonyme Citoyen
@AnonymeCitoyen
 · Apr 25
La manifestation interdite par la Préfecture se tend à #Rennes. Une barricade est incendié et les forces de l'ordre font usage de gaz lacrymogènes. (@Rennes24) #presidentielles2022 #Elections2022 #Macron
2
6
10",,2,6,10,"['https://pbs.twimg.com/profile_images/1358909880971780099/0c9iry5o_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518302595533660162/pu/img/46bL2FZdYAzJycf6.jpg']",https://twitter.com/Cami_GP0/status/1518307549837156352
Shaun@,Shaun@,2022-04-24T19:41:20.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Lyon también recibe con alegría y satisfacción la reelección de Macrón. 
Bismuth Back
@Bismuthback
 · Apr 25
Départ de la manifestation lyonnaise après de 2ème tour de la présidentielle ! #Lyon #antifa #presidentielles2022 #Elections2022 #2emeTour
Show this thread
1
4",🤔,1,,4,"['https://pbs.twimg.com/profile_images/1064504438663061504/pSTbToUh_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518311878837088256/pu/img/eQIj7GTjrIGUA4SQ.jpg']",https://twitter.com/Cami_GP0/status/1518314163260506113
Shaun@,Shaun@,2022-04-24T15:02:08.000Z,"Shaun@
@Cami_GP0
·
Apr 24","""Yo te ayudo ...."" 
Fred Schultz
@FredSchultz35
 · Apr 24
Let me help…it’s definitely under there, try getting lower. 
1
1
8",😊 😅 😏 🤣 🐶 🐾,1,1,8,"['https://pbs.twimg.com/profile_images/1477617963029217285/CF4aU66G_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518243232139952129/pu/img/IciDTCjTa9CgdgFr.jpg']",https://twitter.com/Cami_GP0/status/1518243901190062082
Shaun@,Shaun@,2022-04-24T17:16:16.000Z,"Shaun@
@Cami_GP0
·
Apr 24","Malú
@lluma89
 · Apr 24
Mamaaaaaa mira que m'ha fet
Al meu fill ni tocar-lo.
Bona setmana 
2",😂 😂 😂 😂 😂 😘,,,2,"['https://pbs.twimg.com/profile_images/1471097102205960199/f7oyiHUp_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518276051096457216/pu/img/V0qWgOpYLHL4l3qx.jpg']",https://twitter.com/Cami_GP0/status/1518277656864825346
Shaun@,Shaun@,2022-04-24T09:38:02.000Z,"Shaun@
@Cami_GP0
·
Apr 24","𝕐o̴g̴
@Yoda4ever
 · Apr 16
Nothing better than a warm hair dryer after a bath. 
1
1",😊 😂 🐈 🐾 💨 😅,1,,1,"['https://pbs.twimg.com/profile_images/1371562774577385473/dlYvfORX_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1515051879503257601/pu/img/3Dot5ecRuxeEpjCm.jpg']",https://twitter.com/Cami_GP0/status/1518162340830666752
Shaun@,Shaun@,2022-04-24T17:34:35.000Z,"Shaun@
@Cami_GP0
·
Apr 24","El Marqués de las Zorreras
@EZorreras
 · Apr 24
CoCat-Cola
GIF
3",😂 😂 😂,,,3,"['https://pbs.twimg.com/profile_images/1466074672613761026/wDVwvaJ5_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/FRIE4GLXEAImpwo.jpg']",https://twitter.com/Cami_GP0/status/1518282265201192962
Shaun@,Shaun@,2022-04-24T18:12:07.000Z,"Shaun@
@Cami_GP0
·
Apr 24","Macrón reelegido...
franceinfo
@franceinfo
 · Apr 24
 ALERTE INFO 

Emmanuel Macron est réélu président de la République avec 58,2% des voix, selon l’estimation de notre partenaire Ispos-Sopra Steria.
Show this thread",⚡,,,,"['https://pbs.twimg.com/profile_images/1019886363515211776/D2TBSqHw_mini.jpg', 'https://pbs.twimg.com/media/FRILftlXoAAAMaT?format=jpg&name=small']",https://twitter.com/Cami_GP0/status/1518291712430460928
Shaun@,Shaun@,2022-04-24T10:15:04.000Z,"Shaun@
@Cami_GP0
·
Apr 24","Mr. Klaus Schwabs
@KrampusSchwab
 · Apr 24
Zelensky has established himself as an outstanding team player.",👏 😂 😂 😂 ❗,,,,"['https://pbs.twimg.com/profile_images/1517444620610850821/vvZ9eNh6_mini.jpg', 'https://pbs.twimg.com/media/FRGOR8IXwAA5OS1?format=jpg&name=small']",https://twitter.com/Cami_GP0/status/1518171661186605058
Shaun@,Shaun@,2022-04-24T15:00:08.000Z,"Shaun@
@Cami_GP0
·
Apr 24","El Marqués de las Zorreras
@EZorreras
 · Apr 24
Firulais Guardián...",😂 😂 😂,,,,"['https://pbs.twimg.com/profile_images/1466074672613761026/wDVwvaJ5_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518241544255455238/pu/img/C-jnI3ODGUst2l-d.jpg']",https://twitter.com/Cami_GP0/status/1518243397626179586
Shaun@,Shaun@,2022-04-24T15:00:08.000Z,"Shaun@
@Cami_GP0
·
Apr 24","El Marqués de las Zorreras
@EZorreras
 · Apr 24
Firulais Guardián...
0:10
1,312 views",😂 😂 😂,,,,['https://pbs.twimg.com/profile_images/1466074672613761026/wDVwvaJ5_mini.jpg'],https://twitter.com/Cami_GP0/status/1518243397626179586
Shaun@,Shaun@,2022-04-25T14:04:13.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Primer banco declarado en quiebra en Holanda: Amsterdam Trade Bank. Cuidado que el Reset de Schwab está de camino.
Christine
@Christi26836957
 · Apr 23
The great reset 
Banken worden failiet verklaart. 
Dit is de eerste. 
Je geld kwijt
9
8",,,9,8,"['https://pbs.twimg.com/profile_images/1495829426214473738/iMtmaaPm_mini.jpg', 'https://pbs.twimg.com/media/FQ-Sxh8XMAI70Mn?format=jpg&name=small']",https://twitter.com/Cami_GP0/status/1518591716395266048
Shaun@,Shaun@,2022-04-25T14:55:50.000Z,"Shaun@
@Cami_GP0
·
Apr 25","La moral de los soldados rusos es muy baja.  Azovstal. Crédito: Ukraine Maps Telegram
1
2",😅,1,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1518603535549673474/pu/img/qyYXe2pp3wC5t0JB.jpg'],https://twitter.com/Cami_GP0/status/1518604706221862913
Shaun@,Shaun@,2022-04-25T18:16:27.000Z,"Shaun@
@Cami_GP0
·
Apr 25","𝕐o̴g̴
@Yoda4ever
 · Apr 25
Beware of the dog. He's dangerously cute...
1
5",😍 😍 😍 😍 😍 🐕 🐾 🥰,1,,5,"['https://pbs.twimg.com/profile_images/1371562774577385473/dlYvfORX_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1517891399361867776/pu/img/ZVpYAYr4c5snnCNk.jpg']",https://twitter.com/Cami_GP0/status/1518655189431078914
Shaun@,Shaun@,2022-04-25T15:05:43.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Aparecen las primeras fotos de las fiestas de Boris durante el confinamiento.. 
Wat_the_deuce
@Wat_the_deuce
 · Apr 25
Partygate photos starting to emerge  
1",😂 😂 🍀 ☘ ☘ 🍀 🤡 🤡,,,1,"['https://pbs.twimg.com/profile_images/1415780277620707328/c5JTTfLU_mini.jpg', 'https://pbs.twimg.com/media/FRLsDhOX0AAo02q?format=jpg&name=small']",https://twitter.com/Cami_GP0/status/1518607193247031296
Shaun@,Shaun@,2022-04-25T16:25:06.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Wittgenstein
@backtolife_2022
 · Apr 25
0:16
1,974 views
1
1
4",😍 ❤ 😍,1,1,4,['https://pbs.twimg.com/profile_images/1513895848987480071/lyeYq0eK_mini.jpg'],https://twitter.com/Cami_GP0/status/1518627170037514240
Shaun@,Shaun@,2022-04-25T16:25:06.000Z,"Shaun@
@Cami_GP0
·
Apr 25","Wittgenstein
@backtolife_2022
 · Apr 25
0:13
1,974 views
1
1
4",😍 ❤ 😍,1,1,4,['https://pbs.twimg.com/profile_images/1513895848987480071/lyeYq0eK_mini.jpg'],https://twitter.com/Cami_GP0/status/1518627170037514240
Shaun@,Shaun@,2022-04-26T20:58:39.000Z,"Shaun@
@Cami_GP0
·
Apr 27","Que la libertad de expresión ha vuelto a Twitter ? No exactamente.
3
12
13",,3,12,13,['https://pbs.twimg.com/media/FRTHj_lXEAo9f3m?format=jpg&name=small'],https://twitter.com/Cami_GP0/status/1519058398175768579
Shaun@,Shaun@,2022-04-26T17:37:32.000Z,"Shaun@
@Cami_GP0
·
Apr 26","Hola !!! 
𝕐o̴g̴
@Yoda4ever
 · Apr 26
Axolotl says hi...
2
1
5",😊 👋 😍,2,1,5,"['https://pbs.twimg.com/profile_images/1371562774577385473/dlYvfORX_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518739948202913792/pu/img/W0pB7qLfCJZ3EKFN.jpg']",https://twitter.com/Cami_GP0/status/1519007785677205505
Shaun@,Shaun@,2022-04-26T17:39:02.000Z,"Shaun@
@Cami_GP0
·
Apr 26","El circo Covid de los políticos continua como no podría ser de otra manera.
Paul Joseph Watson
@PrisonPlanet
 · Apr 26
Vice President Kamala Harris has caught COVID despite being quadruple vaxxed against the virus.

https://summit.news/2022/04/26/quadruple-vaxxed-kamala-harris-catches-covid/…
1",,,,1,['https://pbs.twimg.com/profile_images/1476499383688519689/pljeBt16_mini.jpg'],https://twitter.com/Cami_GP0/status/1519008163428773891
Shaun@,Shaun@,2022-04-26T18:06:43.000Z,"Shaun@
@Cami_GP0
·
Apr 26","La Comisión Europea pronto tendrá el poder de censurar radicalmente el Internet , sin consultar a los Estados miembros si considera que hay una crisis. Así lo recoge un borrador de la última versión de la Ley de Servicios Digitales.
De Andere Krant
@AndereKrant
 · Apr 23
De Europese Commissie krijgt binnenkort de macht om, zonder overleg met de lidstaten, het internet ingrijpend te censureren, wanneer zij oordeelt dat er sprake is van een crisis. Dit blijkt uit een concept van de laatste versie van de Digital Services Act

http://ow.ly/CTrX50IPJEv
1",,,,1,"['https://pbs.twimg.com/profile_images/1443996334441238532/ES6PxvH5_mini.jpg', 'https://pbs.twimg.com/media/FRAptKzXoAEFET0?format=jpg&name=small']",https://twitter.com/Cami_GP0/status/1519015127558807557
Shaun@,Shaun@,2022-04-26T17:40:47.000Z,"Shaun@
@Cami_GP0
·
Apr 26","Esto no pinta bien. Al final lo van a conseguir !?
Ivan
@Ivan24325830
 · Apr 26
El mayor arsenal de municiones de “Europa” se encuentra en Transnistria. El Gobierno inglés promociona y autoriza que Ucrania ataque objetivos fuera de Ucrania. Los SAS y el 13 de dragones están en Ucrania. Próximamente en sus pantallas, internacionalización de la guerra
1
1",,,1,1,['https://pbs.twimg.com/profile_images/1427041052423303181/Xue-A_J9_mini.jpg'],https://twitter.com/Cami_GP0/status/1519008604984164353
Shaun@,Shaun@,2022-04-26T15:04:47.000Z,"Shaun@
@Cami_GP0
·
Apr 26"," Voy a disimular ...
Fred Schultz
@FredSchultz35
 · Apr 26
I’m definitely not following you…just have a itchy ear. 
1
5",🐶 😂 😏 😂 😾 🐶,1,,5,"['https://pbs.twimg.com/profile_images/1477617963029217285/CF4aU66G_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518968930005569537/pu/img/MdujrWBazRWABuHo.jpg']",https://twitter.com/Cami_GP0/status/1518969344419667968
Shaun@,Shaun@,2022-04-26T18:10:21.000Z,"Shaun@
@Cami_GP0
·
Apr 26"," Black in the Empire
@blackintheempir
 · Apr 24
There are no Nazis, Zelenskyy is Jewish

OK, There a few Nazis but they have no power

They are a different kind of Nazi

They aren't really Nazis, they're just far right

Listen, we need these Nazis

Nazis aren't that bad

Hooray, Nazis
1",👍 😂,,,1,['https://pbs.twimg.com/profile_images/1427376157348007949/bj0JPnkG_mini.jpg'],https://twitter.com/Cami_GP0/status/1519016042886053902
Shaun@,Shaun@,2022-04-26T18:38:39.000Z,"Shaun@
@Cami_GP0
·
Apr 26","Sarah Bennett - Kootenay PPC
@KootenayPPC
 · Apr 26
Ivermectin Ivermectin Ivermectin ...

Just checking.
1",👍 😂 🌸,,,1,['https://pbs.twimg.com/profile_images/1428859064843374595/SP0ilJve_mini.jpg'],https://twitter.com/Cami_GP0/status/1519023166437347331
Shaun@,Shaun@,2022-04-26T18:21:29.000Z,"Shaun@
@Cami_GP0
·
Apr 26","Buitengebieden
@buitengebieden
 · Apr 26
Twitter needs this.. 

 IG: fortheloveofass_
0:18
328K views
1",🐴 ❤ 😍 😍 😊 🎥,,,1,['https://pbs.twimg.com/profile_images/1130022182971760640/FlbICzEn_mini.jpg'],https://twitter.com/Cami_GP0/status/1519018847185129482
