UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dr Hasnain Javed,@DrHasnain_javed,2022-04-20T20:45:12.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 21","پاکستان کی سیاسی صورتحال کے معیشت پر اثرات جانیے ڈاکٹر حسنین جاوید سے 
 #PakistanPoliticalCrisis #Politics #PMLN #PTI #PPP #jalsa #EconomicCrisis #economy
2:15
65 views
1
4",,,1,4,['https://pbs.twimg.com/ext_tw_video_thumb/1516879428638363652/pu/img/Yzs-qIZjkiWckWd9.jpg'],https://twitter.com/DrHasnain_javed/status/1516880684920496133
Dr Hasnain Javed,@DrHasnain_javed,2022-04-20T09:50:00.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 20","پاکستان کو خام لیدر کی ایکسپورٹ پر پابندی لگانی چاہیے
@MoCommercePk
 #economicgrowth #PTIGovernment #CPEC  #PakistanMovingForward #China-#Pakistan  #CPECMakingProgress #footwear  #Manufacturing #Investment  #FootwearPakistan
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1516139090244218885/pu/img/mn3noWNzIHuhtG1f.jpg'],https://twitter.com/DrHasnain_javed/status/1516715798336790533
Dr Hasnain Javed,@DrHasnain_javed,2022-04-20T20:45:12.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 21","پاکستان کی سیاسی صورتحال کے معیشت پر اثرات جانیے ڈاکٹر حسنین جاوید سے 
 #PakistanPoliticalCrisis #Politics #PMLN #PTI #PPP #jalsa #EconomicCrisis #economy
65 views
0:01 / 2:16
1
4",,,1,4,[],https://twitter.com/DrHasnain_javed/status/1516880684920496133
Dr Hasnain Javed,@DrHasnain_javed,2022-04-20T09:50:00.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 20","پاکستان کو خام لیدر کی ایکسپورٹ پر پابندی لگانی چاہیے
@MoCommercePk
 #economicgrowth #PTIGovernment #CPEC  #PakistanMovingForward #China-#Pakistan  #CPECMakingProgress #footwear  #Manufacturing #Investment  #FootwearPakistan
1:01
14 views
1",,,,1,[],https://twitter.com/DrHasnain_javed/status/1516715798336790533
Dr Hasnain Javed,@DrHasnain_javed,2022-04-21T08:28:00.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 21","ربر کے جوتوں کے زریعے ایکسپورٹ میں کیسے اضافہ کیا جا سکتا ہے۔؟
@MoCommercePk
 #economicgrowth #PTIGovernment #CPEC  #PakistanMovingForward #China-#Pakistan  #CPECMakingProgress #footwear  #Manufacturing #Investment  #FootwearPakistan
1:06
26 views",,,,,[],https://twitter.com/DrHasnain_javed/status/1517057550310645760
Dr Hasnain Javed,@DrHasnain_javed,2022-04-21T08:28:00.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 21","ربر کے جوتوں کے زریعے ایکسپورٹ میں کیسے اضافہ کیا جا سکتا ہے۔؟
@MoCommercePk
 #economicgrowth #PTIGovernment #CPEC  #PakistanMovingForward #China-#Pakistan  #CPECMakingProgress #footwear  #Manufacturing #Investment  #FootwearPakistan
1:04
26 views",,,,,[],https://twitter.com/DrHasnain_javed/status/1517057550310645760
Dr Hasnain Javed,@DrHasnain_javed,2022-04-23T12:07:21.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 23","From Europe to Sri Lanka, and now Pakistan, being the latest victim of economic crisis and social unrest leading to political turmoil, the challenges ahead cannot be termed as transitionary.
Political Volatility Leading to Financial Risks
dailytimes.com.pk
Political Volatility Leading to Financial Risks - Daily Times
In Pakistan, a peaceful transition of power took place recently. Yet, it has raised near-term policy uncertainty at a time when the country is grappling with external and fiscal issues as a result of...
1",,,,1,['https://pbs.twimg.com/card_img/1517466639285071872/7zBtaHBv?format=jpg&name=240x240'],https://twitter.com/DrHasnain_javed/status/1517837528975429633
Dr Hasnain Javed,@DrHasnain_javed,2022-04-25T20:36:57.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 26","سیاسی عدم استحکام ۔۔کیا پاکستان کی لڑکھڑاتی معیشت اس کی متحمل ہے۔۔؟

 #Budget2022 #budget22   #PakistanPoliticalCrisis #Politics #PMLN #PTI #PPP  #EconomicCrisis #economy #PublicNewsLive
1:29
21 views
5",,,,5,[],https://twitter.com/DrHasnain_javed/status/1518690548735004672
Dr Hasnain Javed,@DrHasnain_javed,2022-04-25T20:13:33.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 26","موجودہ سیاسی حالت میں بجٹ بنانا کتنا مشکل ہو گا۔۔؟؟

 #Budget2022 #budget22   #PakistanPoliticalCrisis #Politics #PMLN #PTI #PPP  #EconomicCrisis #economy #PublicNewsLive
3",,,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1518683415788335106/pu/img/wO_zpxnkUOMGXA2i.jpg'],https://twitter.com/DrHasnain_javed/status/1518684660154441731
Dr Hasnain Javed,@DrHasnain_javed,2022-04-25T20:27:42.000Z,"Dr Hasnain Javed
@DrHasnain_javed
·
Apr 26","عالمی معیشت تیل کی قیمتوں میں اضافہ پاکستان کی معیشت پر کیا اثرات پڑیں گے۔۔؟

 #Budget2022 #budget22   #PakistanPoliticalCrisis #Politics #PMLN #PTI #PPP  #EconomicCrisis #economy #PublicNewsLive
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1518686212416020480/pu/img/cIdp5hm4khYx9aba.jpg'],https://twitter.com/DrHasnain_javed/status/1518688220686467073
