UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Mark Cassady,@EagleMacCassady,2022-04-23T16:30:39.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 23","Margarine Butter Cream didn't take the fifth, but she used the MAGATURD Retrumplican ""I don't remember"" tactic which is basically the same thing...
5
3
44",,5,3,44,[],https://twitter.com/EagleMacCassady/status/1517903788560072708
Mark Cassady,@EagleMacCassady,2022-04-23T16:13:12.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 23","6
7
47",,6,7,47,['https://pbs.twimg.com/media/FRCpbvYXMAE-_CO?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1517899396544933888
Mark Cassady,@EagleMacCassady,2022-04-23T21:17:17.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 24","1
9
30",,1,9,30,['https://pbs.twimg.com/media/FRDvC0yXwAYnsIV?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1517975923341021184
Mark Cassady,@EagleMacCassady,2022-04-23T16:21:36.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 23","2
17",,,2,17,['https://pbs.twimg.com/media/FRCrXboX0AAEHIe?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1517901511749259265
Mark Cassady,@EagleMacCassady,2022-04-23T16:12:44.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 23","3
4",,3,,4,['https://pbs.twimg.com/media/FRCpVFcX0AA3on-?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1517899280610213888
Mark Cassady,@EagleMacCassady,2022-04-23T16:03:12.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 23",3,,,,3,['https://pbs.twimg.com/media/FRCnKUaWUAAzK1G?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1517896881988419595
Mark Cassady,@EagleMacCassady,2022-04-23T16:11:38.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 23","1
1",,1,,1,['https://pbs.twimg.com/media/FRCpD0hWUAAmm2p?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1517899004218155009
Mark Cassady,@EagleMacCassady,2022-04-24T16:40:40.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 24","Last one down, next one up.
6
5",,6,,5,['https://pbs.twimg.com/media/FRH5P8sXIAAcOHy?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1518268697848254466
Mark Cassady,@EagleMacCassady,2022-04-24T16:38:10.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 24","I'm here for my car repair appointment!
8
1
5",,8,1,5,['https://pbs.twimg.com/media/FRH4pH1WUAEoeBe?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1518268070938255361
Mark Cassady,@EagleMacCassady,2022-04-24T17:00:46.000Z,"Mark Cassady
@EagleMacCassady
·
Apr 24","Last one guessed, this one is next...
10
2",,10,,2,['https://pbs.twimg.com/media/FRH91DPXEAAxV_g?format=jpg&name=small'],https://twitter.com/EagleMacCassady/status/1518273758905225218
