UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T00:58:13.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","BIG REVELATIONS: Imran Khan Beats An Attempt To Conceal Cipher Before NS... 

#امپورٹڈ_حکومت_نامنظور

https://youtu.be/9rAWiqkPGGI via 
@YouTube
youtube.com
BIG REVELATIONS: Imran Khan Beats An Attempt To Conceal Cipher Before...
#ImranKhan #NSCMeeting #AbdulQadirFollow Abdul Qadir:https://twitter.com/AbdulqadirARYhttps://www.facebook.com/abdulqadir.aryhttps://www.instagram.com/abdulq...
3
2",,,3,2,['https://pbs.twimg.com/card_img/1520121925472641024/Zlq5edok?format=jpg&name=240x240'],https://twitter.com/Malikshazlatif1/status/1517669136138129409
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T00:19:46.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","#امپورٹڈ_حکومت_نامنظور
 respect sir
Shaan Shahid
@mshaanshahid
 · Apr 23
I see you all… standing strong with @ImranKhanPTI.. flags clutched tightly in the hands of the old and young ..with prayers in every breath , a belief in every heart for a better Pakistan .. I see you all ..following our dream .. #AllamaIqbal #theLandofthepure ..",♥,,,,"['https://pbs.twimg.com/profile_images/1222458751397040128/-kzSBPbd_mini.jpg', 'https://pbs.twimg.com/media/FQ-5ZTGXMAAyVur?format=jpg&name=900x900']",https://twitter.com/Malikshazlatif1/status/1517659461044871169
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T23:38:28.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 24","#امپورٹڈ_حکومت_نامنظور

 سودگران پاکستان و کشمير 

 لعنت
15
15",,,15,15,['https://pbs.twimg.com/media/FREPXjcXwAAS6jE?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1518011453902577665
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T02:06:07.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","""یا رب دل مسلم کو وہ زندہ تمنا دے

جو روح کو تڑپا دے،جو قلب کو گرما دے""

اللّه نے عمران خان کے ذریعے اقبال کی دعا کو پورا کردیا

#امپورٹڈ_حکومت_نامنظور
6
4",,,6,4,['https://pbs.twimg.com/media/FQ_ni2lXoAAQ_PI?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517686221740417026
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T11:13:47.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","انا للّٰہ وانا الیہ راجعون اللّٰہ  بندہ کرپٹ 

 بھی تھا اور غدار بھی   پھر بھی عدالت 

#امپورٹڈ_حکومت_نامنظور
5
6",😭,,5,6,['https://pbs.twimg.com/media/FRBkxs4WUAEQ4II?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517824048104984576
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T14:44:26.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","امریکی  مداخلت اگر وزیراعظم کو ہٹا سکتی ہے تو اگر وہ 

واقعی سازش کریں تو ارمی چیف تک کو بھی ہٹا سکتے ہیں۔

 تے فر دسو پيغام کِس کو ديا جا رہا تھا

#امپورٹڈ_حکومت_نامنظور
7
4",😧 😧 😧 👏,,7,4,['https://pbs.twimg.com/media/FRCVA-DXMAMefXt?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517877057891422208
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T02:26:29.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","میں نے ایک پٹواری دوست سے پوچھا چائے پیو گے یا پیپسی

کہنے لگا بھکاریوں کی کوئی چوائس نہیں ہوتی

 جو مرضی منگوا لو

#امپورٹڈ_حکومت_نامنظور
1
12
10",,1,12,10,['https://pbs.twimg.com/media/FQ_sELtXEAAOOcq?format=png&name=small'],https://twitter.com/Malikshazlatif1/status/1517691347649634304
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T00:42:43.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","لوہار ہائی کورٹ کا فيصلہ مُجرم خلف لے سکتا ہے غداروں 

 بڑے مياں تو  بڑے مياں چھوٹے مياں تے وی لعنت

#امپورٹڈ_حکومت_نامنظور
5
1",,,5,1,['https://pbs.twimg.com/media/FQ_UKSXXoAUWvmJ?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517665236844781569
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T11:28:53.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","ان بےشرموں کے شکلوں سے پتہ چلتا ہے ۔ کہ خط میں دھمکی دی ہے ۔

لیکن ڈالر پر فروخت ھونے والے یہ غدار اپنے مقصد میں   ان شاء اللہ   کامیاب نہیں ھونگے ؟

#امپورٹڈ_حکومت_نامنظور
9
5",,,9,5,"['https://pbs.twimg.com/media/FRBoQk3WYAASvS1?format=png&name=small', 'https://pbs.twimg.com/media/FRBoUVtWYAE1U1C?format=png&name=small']",https://twitter.com/Malikshazlatif1/status/1517827849385877505
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T23:50:23.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 24","امريکہ کا نيا پلان مُرشد اليکشن نہيں جيتنا چاہئيے 

اس کُتے مُلک کو يہ نہيں پتہ کہ ہم کون ہيں

 پاکستان کا مطلب کیا لاالہ الا اللہ

#امپورٹڈ_حکومت_نامنظور
1
1",,,1,1,['https://pbs.twimg.com/media/FRER68tXMAAon_B?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1518014452133773313
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T10:22:11.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","#امپورٹڈ_حکومت_نامنظور

بريطانيہ ميں  بيٹھ کر امريکی سامراج کے ساتھ مل کر وزارتيں بانٹ رہے ہيں 

کہاں کہاں سےميرے وطن کی شان بيچ رہے ہيں چور ڈاکو اب ادارے چُپ ہيں
5
3",,,5,3,['https://pbs.twimg.com/media/FRBZFj5X0AApt7O?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517811062560759808
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T23:46:06.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 24","پاکستانیوں یہ دیکھیں یہ وہ لوگ ہیں جو عمران خان کو یہودی ایجنٹ قرار دے رہے تھے

اللہ الحق ہے اب یہ اپنے آقاؤں کو باور کروا رہے ہیں
کہ ہم لیبرل ہے اسلامی نہیں

کیا اس حکومت میں فضل رحمان بھی لبرل ہے کہ نہیں

#امپورٹڈ_حکومت_نامنظور
2",,,,2,['https://pbs.twimg.com/media/FRERGtqXwAAWgas?format=png&name=small'],https://twitter.com/Malikshazlatif1/status/1518013373664927744
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T11:38:35.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","ہم عمران خان کے ساتھ تھے، ساتھ ہیں 

اور ان شاءاللہ آخری دم تک عمران خان کے ساتھ رہیں گے۔۔۔

تيرا ميرا رشتہ کيا   لاالہ الا اللہ 

 پاکستان کا مطلب کیا لاالہ الا اللہ

#امپورٹڈ_حکومت_نامنظور
1
1",✌ ✌,,1,1,['https://pbs.twimg.com/media/FRBqiE8XEAAmG8e?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517830287333416961
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T10:25:06.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","اس قوم کو سازش اور مُداخلت کا فرق سمجھا  رہے ہيں

جس کو سمجھ نہيں آ رہی ہے پلے کارڈ پڑھ ليں

#امپورٹڈ_حکومت_نامنظور
1
11
11",,1,11,11,['https://pbs.twimg.com/media/FRBZT6oXMAAc4bd?format=png&name=small'],https://twitter.com/Malikshazlatif1/status/1517811798443016192
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T10:38:31.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","خیرات میں دےآیا ہوں جیتی ہوئی بازی 

دنیا یہ سمجھتی ہےکہ میں ہار گیاہوں

میں زخم زخم ہوں لیکن شکست مانی نہیں

محاذ گرم کرو ٹھیک ہو رہا ہوں میں

ہميں کيا چاہئيے آزادی 

ہم کيا مانگتے آزادی 

تُجھے کيا چاہئيے آزادی 

مُجھے کيا چاہئيے آزادی

#امپورٹڈ_حکومت_نامنظور",,,,,['https://pbs.twimg.com/media/FRBc0XkXEAAaZjA?format=jpg&name=small'],https://twitter.com/Malikshazlatif1/status/1517815174115303424
#میں_بھی_عمران_خان_ہوں,@Malikshazlatif1,2022-04-23T11:40:13.000Z,"#میں_بھی_عمران_خان_ہوں
@Malikshazlatif1
·
Apr 23","میں بھاگنا چاہتی ہوں

میری سادگی دیکھ میں کیا چاہتی ہوں

 ساتھ غدار بھی لے جا

#امپورٹڈ_حکومت_نامنظور",,,,,['https://pbs.twimg.com/media/FRBqtB5XIAEGa2x?format=png&name=small'],https://twitter.com/Malikshazlatif1/status/1517830699155439616
