UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pakistan High Commission Australia,@PakinAustralia,2022-04-20T05:19:28.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 20",": ‘Al Rihla’ meaning ‘the journey’ is the official football for 
@FIFAcom
 #QatarWorldCup2022

 Did you Know

The official #Qatar2022 match ball is #MadeInPakistan.  
@PakinQatar
The following media includes potentially sensitive content. Change settings
View
1
1",🔊 ❗ 🔖 ⁉ ⚽ 📍,1,,1,[],https://twitter.com/PakinAustralia/status/1516647718072221697
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T04:03:09.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22","Versatile comedian #MoinAkhtar being remembered on 11th death anniversary. Moin Akhtar was born on December 24, 1950, and was considered as a comedian of extremely high standard in #Pakistan
@ForeignOfficePk
 @FMPublicDiploPK
 @Zhchaudhri
The following media includes potentially sensitive content. Change settings
View
1
2",,,1,2,[],https://twitter.com/PakinAustralia/status/1517353287842136064
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T00:37:27.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22","#Pakistan observed the 84th death anniversary of Allama Muhammad #Iqbal, National Poet of Pakistan and one of the leading philosophers of the 20th century
Spokesperson MoFA
@ForeignOfficePk
 · Apr 21
Today, we @ForeignOfficePk and across #Pakistan observe the 84th death anniversary of Allama Muhammad #Iqbal, National Poet of Pakistan and one of the leading philosophers of the 20th century
Show this thread
1
2",❗ ❗,,1,2,"['https://pbs.twimg.com/profile_images/1292386898351202304/fuLDwoGm_mini.jpg', 'https://pbs.twimg.com/media/FQ4JXYAaQAkhyxY?format=jpg&name=small']",https://twitter.com/PakinAustralia/status/1517301522312622081
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T00:35:37.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22","Weekly Thursday Drop for #75thPayKuchKhaas 

We take you on a magnificent journey across the deserts in Pakistan ranging from the sweltering mirages of #Thar to the majestic heights of #Katpana . 

  

Have a look  . 

#PakistanAt75
Spokesperson MoFA
@ForeignOfficePk
 · Apr 21
Weekly Thursday Drop for #75thPayKuchKhaas 

We take you on a magnificent journey across the deserts in Pakistan ranging from the sweltering mirages of #Thar to the majestic heights of #Katpana . 

  

Have a look  . 

#PakistanAt75",❗ ❗ 🏜 ❄ 🌵 🌬 🏜 🐪 🎬 ⬇ ❗ ❗ 🏜 ❄ 🌵 🌬 🏜 🐪 🎬 ⬇,,,,"['https://pbs.twimg.com/profile_images/1292386898351202304/fuLDwoGm_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1517209411676413954/pu/img/K_VJ77obvnO3KyAo.jpg']",https://twitter.com/PakinAustralia/status/1517301061077594112
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T04:02:04.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22","Important Notice
The following media includes potentially sensitive content. Change settings
View
1
2",,,1,2,[],https://twitter.com/PakinAustralia/status/1517353015111741440
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T00:37:52.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22",": ‘If one’s sense of self is self-observant, self-creating and self-ruling, there are no heights that cannot be scaled

After attaining this pinnacle and recognizing its essence, it’s probable that even death cannot take it away..’

#Iqbal
Spokesperson MoFA
@ForeignOfficePk
 · Apr 21
: ‘If one’s sense of self is self-observant, self-creating and self-ruling, there are no heights that cannot be scaled

After attaining this pinnacle and recognizing its essence, it’s probable that even death cannot take it away..’

#Iqbal
Show this thread
1
1",💬 💬,,1,1,"['https://pbs.twimg.com/profile_images/1292386898351202304/fuLDwoGm_mini.jpg', 'https://pbs.twimg.com/media/FQ4JYJyaAAA4s2U?format=jpg&name=small']",https://twitter.com/PakinAustralia/status/1517301627648372736
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T03:52:20.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22","Passu cones, Pakistan 
@ForeignOfficePk
 @FMPublicDiploPK
 @Zhchaudhri
Outdoor Pakistan
@OutdoorPakistan
Automated
 · Mar 23
Passu cones, Pakistan 
2",,,,2,"['https://pbs.twimg.com/profile_images/1500014027606577156/cnITUola_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1506554122635513860/pu/img/_iHns8lomg0-xfmV.jpg']",https://twitter.com/PakinAustralia/status/1517350565453635584
Pakistan High Commission Australia,@PakinAustralia,2022-04-22T03:52:20.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 22","Passu cones, Pakistan 
@ForeignOfficePk
 @FMPublicDiploPK
 @Zhchaudhri
Outdoor Pakistan
@OutdoorPakistan
Automated
 · Mar 23
Passu cones, Pakistan 
0:06
1,811 views
2",,,,2,['https://pbs.twimg.com/profile_images/1500014027606577156/cnITUola_mini.jpg'],https://twitter.com/PakinAustralia/status/1517350565453635584
Pakistan High Commission Australia,@PakinAustralia,2022-04-26T04:09:53.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 26","High Commission for Pakistan in Canberra, Australia cordially invites members of Pakistani Community in Australia, Fiji, Papua New Guinea, Solomon Islands, Vanuatu and Nauru; for a VIRTUAL TOWNHALL MEETING with the High Commissioner for Pakistan,
The following media includes potentially sensitive content. Change settings
View
1
2
5",,1,2,5,[],https://twitter.com/PakinAustralia/status/1518804534801633282
Pakistan High Commission Australia,@PakinAustralia,2022-04-26T05:05:53.000Z,"Pakistan High Commission Australia
@PakinAustralia
·
Apr 26"," MOS 
@HinaRKhar
 met  Cd’A, Ms. Pang Chunxue. During the meeting, MOS stated that #Pakistan:

Was committed to deepening its All-Weather Strategic Cooperative Partnership with #China. 
Appreciated s longstanding support for s core issues & development. 
Spokesperson MoFA
@ForeignOfficePk
 · Apr 25
 MOS @HinaRKhar met  Cd’A, Ms. Pang Chunxue. During the meeting, MOS stated that #Pakistan:

Was committed to deepening its All-Weather Strategic Cooperative Partnership with #China. 
Appreciated s longstanding support for s core issues & development. 



(1/2)
Show this thread",➖ ➖ 🤝 ➖ ➖ 🤝,,,,"['https://pbs.twimg.com/profile_images/1292386898351202304/fuLDwoGm_mini.jpg', 'https://pbs.twimg.com/media/FRMS9pXXsAA8ym8?format=jpg&name=small']",https://twitter.com/PakinAustralia/status/1518818626333450240
