UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T13:51:48.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","Web 3 Doesn’t Solve All World Problems. The Internet Won’t Be Decentralized As Long As Internet Providers Are Under Government Control. There Is Still A Chance Of Shutting Down The Internet With A Click Of A Button. 
@elonmusk
 #Web3
1
1",,1,,1,"['https://pbs.twimg.com/media/FRCJEv0XsAEmn9T?format=jpg&name=small', 'https://pbs.twimg.com/media/FRCJFd-XEAIkMDE?format=jpg&name=small']",https://twitter.com/RoyCryptoCoins/status/1517863812497612801
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T11:18:03.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","Okay 
Ash WSB
@ashwsbreal
 · Apr 23
If #Bitcoin  doesn’t hit $43k by the end of next Saturday I will give $1000 btc to one random follower. just retweet and be following me
1",✌,,,1,['https://pbs.twimg.com/profile_images/1434057161840025601/YN02QQ2k_mini.jpg'],https://twitter.com/RoyCryptoCoins/status/1517825119875481601
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T02:04:28.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","$BRISE 
Bitgert - $BRISE
@bitgertbrise
 · Apr 20
 Bitgert To Launch USDT/USDC on Bitgert Chain!

Now you can directly swap your USDT/USDC from our supported networks on our official bridge

(Development Under Process)

#BRISE #BITGERT",🚀 🚀 🚀 🚀 🌍 🌍 📢,,,,"['https://pbs.twimg.com/profile_images/1478364244471021569/EdoeKEln_mini.jpg', 'https://pbs.twimg.com/media/FQyHdZ2aQA8qGfY?format=jpg&name=small']",https://twitter.com/RoyCryptoCoins/status/1517685806802128899
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T02:36:11.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","Hey 
@Free_Patriot76
 Sir Can I Recieved Some $SHINJA 

#Shibnobi TO THE Moon Soon 
@Shib_nobi
 

0x8af19D41bfc5A5f17a04b48Fc15781b4766967dF",🙏 🚀,,,,['https://pbs.twimg.com/media/FQ_uc-qX0AAATOO?format=jpg&name=900x900'],https://twitter.com/RoyCryptoCoins/status/1517693790559129600
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T01:55:31.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","#SAFEMOON #BabyDoge
BSCDaily
@bsc_daily
 · Apr 22
TOP #BNBCHAIN PROJECTS CAPTURING SOCIAL ENGAGEMENT THE MOST

 $SAFEMOON @safemoon 
 $CAKE @PancakeSwap 
 $BABYDOGE @BabyDogeCoin 
$RISE @EverRise 
$FLOKI @RealFlokiInu 
$LEOS @swapleonicorn 
$MARVIN @Marvin_Inu 
$KIBA @KibaInuWorld 
$FEG @FEGtoken 

#BNB #WEB3 #BSC 
1",🚀 🥇 🥈 🥉 🎉 🔥,,,1,"['https://pbs.twimg.com/profile_images/1493443033399906311/p-9ltwdB_mini.jpg', 'https://pbs.twimg.com/media/FQ8mLaUaUAED7Ow?format=jpg&name=small']",https://twitter.com/RoyCryptoCoins/status/1517683553496096769
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T10:10:46.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","D. 550K+
#stufflistingsarmy #iQOOZ6Pro #stufflistingsxZ6Pro
Mukul Sharma
@stufflistings
 · Apr 23
Q7. What is the AnTuTu score pulled off by the #iQOOZ6Pro?
A. 440K+
B. 480K+
C. 500+
D. 550K+
#stufflistingsarmy #iQOOZ6Pro #stufflistingsxZ6Pro",,,,,['https://pbs.twimg.com/profile_images/1224699036525088768/wzpSiUGK_mini.jpg'],https://twitter.com/RoyCryptoCoins/status/1517808189823148032
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T10:12:46.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","B. 64MP
#stufflistingsarmy #iQOOZ6Pro #stufflistingsxZ6Pro
Mukul Sharma
@stufflistings
 · Apr 23
Q10. What is the resolution of the #iQOOZ6Pro main camera?
A. 50MP
B. 64MP
C. 69MP
D. 44MP
#stufflistingsarmy #iQOOZ6Pro #stufflistingsxZ6Pro",,,,,['https://pbs.twimg.com/profile_images/1224699036525088768/wzpSiUGK_mini.jpg'],https://twitter.com/RoyCryptoCoins/status/1517808694444052480
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T02:27:39.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","#DYOR
CoinMarketCap
@CoinMarketCap
 · Apr 22
Your bag, your decision.
Always #DYOR!",💰,,,,['https://pbs.twimg.com/profile_images/1504868150403338269/MEQ_lC8P_mini.jpg'],https://twitter.com/RoyCryptoCoins/status/1517691642333081601
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T06:25:18.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","IQOO Z6 Pro 
#FullyLoadediQOOZ6Pro
iQOO India
@IqooInd
 · Apr 22
#BlockYourDate for 27th of April and get a chance to win a brand new #FullyLoaded #iQOOZ6Pro! How?

1) Tell us ""Which is the Fastest Smartphone in the 25k segment*"" using #FullyLoadediQOOZ6Pro 
3) Follow @iqooind
4) Watch #iQOOZ6Pro launch live 

T&C- https://bit.ly/3Ipw4Xv",,,,,"['https://pbs.twimg.com/profile_images/1227510168373477376/0fyIuerl_mini.jpg', 'https://pbs.twimg.com/media/FQ9DsHIakAADwWB?format=jpg&name=small']",https://twitter.com/RoyCryptoCoins/status/1517751447802232832
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T10:11:35.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","C. 1300 nits
#stufflistingsarmy #iQOOZ6Pro #stufflistingsxZ6Pro
Mukul Sharma
@stufflistings
 · Apr 23
Q8. What is the peak brightness that the #iQOOZ6Pro offers?
A. 1100 nits
B. 1200 nits
C. 1300 nits
D. 1400 nits
#stufflistingsarmy #iQOOZ6Pro #stufflistingsxZ6Pro",,,,,['https://pbs.twimg.com/profile_images/1224699036525088768/wzpSiUGK_mini.jpg'],https://twitter.com/RoyCryptoCoins/status/1517808396124270593
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T06:33:41.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","Ticker by Finology
@finologyticker
 · Apr 23
How much wheat do countries export from their produce?

 Australia     78.7%
 Canada       78.7%
 Ukraine       72.7%
 Argentina    63.6%
 Russia         50.0%
European Union  27.5%
India                        7.1%

India is perfectly placed to grow its exports
Show this thread",👌 🌾 💪,,,,['https://pbs.twimg.com/profile_images/1505771540708999170/ChjTMWwX_mini.jpg'],https://twitter.com/RoyCryptoCoins/status/1517753559806365696
Prasanjit Roy,@RoyCryptoCoins,2022-04-23T02:54:50.000Z,"Prasanjit Roy
@RoyCryptoCoins
·
Apr 23","Sadhguru
@SadhguruJV
 · Apr 23
Pain is a good thing as a physical self-preservation mechanism. But suffering is something that you do in your mind. #SadhguruQuotes",🙏,,,,"['https://pbs.twimg.com/profile_images/1132191777195085824/KbxIQUxJ_mini.png', 'https://pbs.twimg.com/media/FQx8hMGaUAY1W0s?format=jpg&name=small']",https://twitter.com/RoyCryptoCoins/status/1517698484325044227
