UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Saif,@Saif7219,2022-05-15T09:55:55.000Z,"Saif
@Saif7219
·
May 15","Emotional Video

Bohat zyada emotional video

Phir aati he Aamir Liaquat ki apologize wali video
5",🔥 😭 😂 😭,,,5,[],https://twitter.com/Saif7219/status/1525776985556930561
Saif,@Saif7219,2022-05-16T14:31:04.000Z,"Saif
@Saif7219
·
May 16","""Aur bhalai or burai barabar nahi hoskti, to (sakhti kalami ka) aese tareeqay se jawab do, jo bohat acha ho(aisa karne se tum dekho gay) ky jisme or tum mein dushmani thi goya wo tumahar garam josh dost hai"".

(Surah Fussilat Ayat 34)
3",🔥 ❤,,,3,[],https://twitter.com/Saif7219/status/1526208615861956611
Saif,@Saif7219,2022-05-16T16:15:44.000Z,"Saif
@Saif7219
·
May 16","أَسْتَغْفِرُ اللّٰهَ 

“I ask forgiveness from Allah”.
3",🔥 ❤,,,3,[],https://twitter.com/Saif7219/status/1526234958255243266
Saif,@Saif7219,2022-05-18T18:43:28.000Z,"Saif
@Saif7219
·
May 18","Screenshots don't scare me. I know what I said and Ima still lie
1
7",🔥,1,,7,[],https://twitter.com/Saif7219/status/1526996911668051968
Saif,@Saif7219,2022-05-18T18:42:43.000Z,"Saif
@Saif7219
·
May 18","It the end of the day, it's only you and your pending assignments
6",🔥,,,6,[],https://twitter.com/Saif7219/status/1526996724203528192
Saif,@Saif7219,2022-05-18T18:42:36.000Z,"Saif
@Saif7219
·
May 18","I can't wait to get married and not invite people who thought they were coming lmao
2",🔥,,,2,[],https://twitter.com/Saif7219/status/1526996693526495233
Saif,@Saif7219,2022-05-20T10:51:14.000Z,"Saif
@Saif7219
·
May 20","Imran Khan to Imported Government right now: #SupremeCourt
2
15",🔥,,2,15,['https://pbs.twimg.com/media/FTMisMHWUAAm1NP?format=jpg&name=small'],https://twitter.com/Saif7219/status/1527602843779317766
Saif,@Saif7219,2022-05-20T10:41:14.000Z,"Saif
@Saif7219
·
May 20","Lotayyyyyyyyyy!
6",🔥,,,6,[],https://twitter.com/Saif7219/status/1527600330271252480
Saif,@Saif7219,2022-05-20T19:21:48.000Z,"Saif
@Saif7219
·
May 21","Qabool he!
Qabool he!
Qabool he!

Nahi parhna tha... Ab to ban gyi ho tum meri beghum
7",🔥 🤡,,,7,[],https://twitter.com/Saif7219/status/1527731334415716352
Saif,@Saif7219,2022-05-21T07:14:23.000Z,"Saif
@Saif7219
·
May 21","In which city you were born? (2)

Mine: Paget, Bermuda
1
2
2",🔥,1,2,2,[],https://twitter.com/Saif7219/status/1527910661577232389
Saif,@Saif7219,2022-05-21T16:37:15.000Z,"Saif
@Saif7219
·
21h","Alhumdulillah I'm engaged now

K-Electric walo ne apni behan ka rishta de diya he mujhy
1
3",🔥 ❤ 🙂 ❤,1,,3,[],https://twitter.com/Saif7219/status/1528052310001143809
Saif,@Saif7219,2022-05-21T06:03:48.000Z,"Saif
@Saif7219
·
May 21","Education system be like:

Pese bhi mein dun, class bhi mein lun, zaleel bhi mein hun, mehnat bhi mein karun aur akhir mein fail bhi mein hun... 

Yeh kiya baat hui bosss?
1
1
5",🔥 🤡,1,1,5,[],https://twitter.com/Saif7219/status/1527892896539717633
Saif,@Saif7219,2022-05-21T07:05:53.000Z,"Saif
@Saif7219
·
May 21","Mujhey chahiye attention 
4
15",🔥 😔,4,,15,[],https://twitter.com/Saif7219/status/1527908523480432640
