UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Shaik Arif Ali,@ShaikArifAli1,2022-04-23T17:08:10.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 23"," Saudi Arabia is considering implementing #blockchain technology throughout its government.
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1517913230714150912
Shaik Arif Ali,@ShaikArifAli1,2022-04-23T17:40:27.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 23","Things these companies used to sell:

Sony: electric rice cookers
Nokia: toilet paper
Samsung: dried fish
LG: face cream
Nintendo: playing cards
Hasbro: textiles
Lego: wooden toy ducks
Tiffany & Co: stationary
Colgate: candles
Toyota: looms
Avon: books
IKEA: pens
Wrigley: soap
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1517921355399766016
Shaik Arif Ali,@ShaikArifAli1,2022-04-25T08:46:34.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 25","Cool ‘90s: I work in a bank

Cool ‘2010s: I work in a web startup

Cool ‘2020s: I work in Web3 

‘Cool’ is determined by what most consumers are migrating towards

Don’t be left behind. You have an idea for Crypto? BUIDL it!
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1518511773443235840
Shaik Arif Ali,@ShaikArifAli1,2022-04-25T10:46:38.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 25","Capital: 

In 2021 there was $300B in venture capital invested into startups. 

That's up from $29B in 2006.

With email, LinkedIn, and Twitter it's easier than ever to get in front of capital allocators. 

Money can EASILY find great ideas and worthy founders.
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1518541990790533120
Shaik Arif Ali,@ShaikArifAli1,2022-04-26T19:07:41.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 27","Fort Worth, Texas becomes the first city in the USA to begin mining #Bitcoin.
2",,,,2,[],https://twitter.com/ShaikArifAli1/status/1519030470603796480
Shaik Arif Ali,@ShaikArifAli1,2022-04-26T15:11:25.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 26","Jeff Bezos bought the Washington Post 

Elon Musk is buying Twitter

I am buying biryani

We are not the same",,,,,[],https://twitter.com/ShaikArifAli1/status/1518971014419738624
Shaik Arif Ali,@ShaikArifAli1,2022-04-27T22:25:33.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 28","Decline in valuations this year:

Facebook:     $453 billion
Apple:            $334 billion
Amazon:        $257 billion
Netflix:           $179 billion
Google:         $399 billion

Total decline: $1.6 trillion
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1519442654022361088
Shaik Arif Ali,@ShaikArifAli1,2022-04-27T16:19:36.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 27","India needs 25,000 startups,creating more than 50 million $ in revenue, to become a 5 trillion dollar economy. 
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1519350559551025152
Shaik Arif Ali,@ShaikArifAli1,2022-04-27T13:54:56.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 27","Let’s be honest here.

If we’re all gonna celebrate Elon taking Twitter then no one really gave a f about Decentralization or distributed control.

Back to trusting rich people yay.
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1519314153202413568
Shaik Arif Ali,@ShaikArifAli1,2022-04-28T12:44:40.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
Apr 28","Amazon's ad revenue of $31Bn is more than YouTube's $28Bn 

Unlike e-commerce fulfilment with razor-thin margins, this is almost pure profit

 Ad models in e-commerce are underrated
1",,,,1,[],https://twitter.com/ShaikArifAli1/status/1519658857017999360
Shaik Arif Ali,@ShaikArifAli1,2022-04-29T17:14:21.000Z,"Shaik Arif Ali
@ShaikArifAli1
·
2h","Total stablecoin market cap stood at $180 billion in Feb 2022. A year ago it was valued at $38 billion indicating a 373% rise in the market

Users prefer to #HODL over converting their #Crypto assets to fiat

It’s a less cumbersome process and doesn’t cost any transaction fee
1",,1,,,[],https://twitter.com/ShaikArifAli1/status/1520089114443276288
