UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sanee SiddiQui,@Siddiquitalks,2022-05-15T19:47:48.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 16",One of the fastest growing freelancing industry which payment streams are ignoring ! We want PayPal in Pakistan ! #PayPal,,,,,[],https://twitter.com/Siddiquitalks/status/1525925936021094402
Sanee SiddiQui,@Siddiquitalks,2022-05-15T19:45:09.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 16",Urooj se zawaal tak !#amirliaquat,,,,,[],https://twitter.com/Siddiquitalks/status/1525925271005798402
Sanee SiddiQui,@Siddiquitalks,2022-05-16T21:34:27.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 17",Woh poochna yeh tha agar zameen mein garay aslahay se Fursat mil gai ho toh dhamaka karne walo'on ko bhi dhoond Liya jai ? #KarachiBlast,,,,,[],https://twitter.com/Siddiquitalks/status/1526315166132051969
Sanee SiddiQui,@Siddiquitalks,2022-05-17T21:50:22.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 18","When nothing to say ! MQM takes the centre stage ! economic crisis bhi daal do ! Kaam mat Karna dhang se ... #StopBlamingMQM
1
17
23",,1,17,23,[],https://twitter.com/Siddiquitalks/status/1526681559557980166
Sanee SiddiQui,@Siddiquitalks,2022-05-17T21:48:05.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 18",Qismat ki Hawa kabhi naram kabhi garam !! #HamzaShahbaz,😅 😂,,,,[],https://twitter.com/Siddiquitalks/status/1526680981993836546
Sanee SiddiQui,@Siddiquitalks,2022-05-18T07:51:56.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 18",This country and it's people will never respect judiciary bcoz the same people were criticizing the courts few back and now they are singing songs on their decisions !! Everybody wants to hear according to their will otherwise it is not justice ! #SupremeCourt,,,,,[],https://twitter.com/Siddiquitalks/status/1526832946224963584
Sanee SiddiQui,@Siddiquitalks,2022-05-18T07:56:46.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 18","Considering the devaluation of rupee and inflation, bicycle wouldn't be bad option as karachi doesn't offer any public transport !! #Rupee",,,,,[],https://twitter.com/Siddiquitalks/status/1526834162975780864
Sanee SiddiQui,@Siddiquitalks,2022-05-18T07:57:44.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 18",Is double century scored against dollars?? #Rupee,,,,,[],https://twitter.com/Siddiquitalks/status/1526834405666615296
Sanee SiddiQui,@Siddiquitalks,2022-05-18T08:00:46.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 18",Jis ne buzdar ko sataya us ne raksha chalaya !  #UsmanBuzdar,🤣,,,,['https://pbs.twimg.com/media/FTBofoLWQAEN2fT?format=jpg&name=small'],https://twitter.com/Siddiquitalks/status/1526835168681816064
Sanee SiddiQui,@Siddiquitalks,2022-05-18T23:39:46.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 19","Government be like: jeenay nhi denge tumhain, chahay jitna generator Laga ley ..#Loadshedding
2",,,,2,[],https://twitter.com/Siddiquitalks/status/1527071478793277440
Sanee SiddiQui,@Siddiquitalks,2022-05-19T07:15:04.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 19","Political parties only accept court decisions when they are in favor otherwise it is all scam, bribery,conspiracies,self interest, playing for establishment or what not and then we want empower institutions in this country !!  #فیصلہ_وہ_جو_میرے_حق_میں
7
1",,,7,1,[],https://twitter.com/Siddiquitalks/status/1527186059343589376
Sanee SiddiQui,@Siddiquitalks,2022-05-19T07:51:13.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 19","Wholesome, fulfilling, the actual depiction of rural areas where people drive on emotions, love and peacefullness in their lives with limited resources ! Not everyone is holding guns, grenades or grudges !!#PanchayatSeason2",,,,,['https://pbs.twimg.com/media/FTGv5jXWIAAMNn7?format=jpg&name=small'],https://twitter.com/Siddiquitalks/status/1527195154838343681
Sanee SiddiQui,@Siddiquitalks,2022-05-20T19:45:42.000Z,"Sanee SiddiQui
@Siddiquitalks
·
May 21",Khan Saab hitting on Maryam? #ImranKhanLIVE,,,,,[],https://twitter.com/Siddiquitalks/status/1527737350457294848
