UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Akikalmd,@akika_lmd,2022-04-24T23:03:20.000Z,"Akikalmd
@akika_lmd
·
Apr 25","Everything wey you get nah gift
17",,,,17,[],https://twitter.com/akika_lmd/status/1518364998522785792
Akikalmd,@akika_lmd,2022-04-24T14:11:00.000Z,"Akikalmd
@akika_lmd
·
Apr 24","Where God dey stay before e created heaven and earth ?
4
3
14",,4,3,14,[],https://twitter.com/akika_lmd/status/1518231033757507585
Akikalmd,@akika_lmd,2022-04-25T23:13:21.000Z,"Akikalmd
@akika_lmd
·
Apr 26","Wiz Khalifa stature don do me
8",,,,8,[],https://twitter.com/akika_lmd/status/1518729907727122432
Akikalmd,@akika_lmd,2022-04-25T23:28:46.000Z,"Akikalmd
@akika_lmd
·
Apr 26","Y’all been expecting too much from me lately, i have life to live out of social media bruuuh 
1
11",🙄 🙄,,1,11,[],https://twitter.com/akika_lmd/status/1518733790000123904
Akikalmd,@akika_lmd,2022-04-27T09:59:33.000Z,"Akikalmd
@akika_lmd
·
Apr 27","Kaluba is the pride of a man, make everybody rest
3
2
8",,3,2,8,[],https://twitter.com/akika_lmd/status/1519254918351228929
Akikalmd,@akika_lmd,2022-04-28T16:01:42.000Z,"Akikalmd
@akika_lmd
·
Apr 28","Nobody dey send me aza if them dey do Baiday, everyvody don know say I no get money 
1
3
9",😂 😂 😂 😂 😂,1,3,9,[],https://twitter.com/akika_lmd/status/1519708443292098562
Akikalmd,@akika_lmd,2022-04-28T22:11:53.000Z,"Akikalmd
@akika_lmd
·
Apr 29","I’m not your type but you dey fuck dog… Wonderful
5
6
21",,5,6,21,[],https://twitter.com/akika_lmd/status/1519801605239054343
Akikalmd,@akika_lmd,2022-04-28T11:00:03.000Z,"Akikalmd
@akika_lmd
·
Apr 28","Nah who get freedom dey find peace of mind
4
19",,,4,19,[],https://twitter.com/akika_lmd/status/1519632532500795393
Akikalmd,@akika_lmd,2022-04-28T23:49:34.000Z,"Akikalmd
@akika_lmd
·
Apr 29","I no go sleep with anybody on this island again
1
9",,,1,9,[],https://twitter.com/akika_lmd/status/1519826184871284736
Akikalmd,@akika_lmd,2022-04-28T00:10:43.000Z,"Akikalmd
@akika_lmd
·
Apr 28","Only God can set my puzzle
2
13",,,2,13,[],https://twitter.com/akika_lmd/status/1519469121280299011
Akikalmd,@akika_lmd,2022-04-28T21:56:13.000Z,"Akikalmd
@akika_lmd
·
Apr 29","I know say nah all dis Snapchat girls dey sleep with dog
1
3
8",,1,3,8,[],https://twitter.com/akika_lmd/status/1519797662631014401
Akikalmd,@akika_lmd,2022-04-28T23:56:40.000Z,"Akikalmd
@akika_lmd
·
Apr 29","Oloriburuku ni Gbogbo yin
3",,,,3,[],https://twitter.com/akika_lmd/status/1519827973754470400
Akikalmd,@akika_lmd,2022-04-29T19:26:07.000Z,"Akikalmd
@akika_lmd
·
Apr 30","Nah man wey no get other man for mind God dey fight hin fight
2
9",,,2,9,[],https://twitter.com/akika_lmd/status/1520122275814641668
Akikalmd,@akika_lmd,2022-04-29T20:31:06.000Z,"Akikalmd
@akika_lmd
·
Apr 30","Life no hard, nah you wan make am
2
17",,,2,17,[],https://twitter.com/akika_lmd/status/1520138627963052032
Akikalmd,@akika_lmd,2022-04-30T20:20:41.000Z,"Akikalmd
@akika_lmd
·
18h","You gon live with some guilty for the rest of your life, infact you going into grave with them
2
6",,,2,6,[],https://twitter.com/akika_lmd/status/1520498393860255753
Akikalmd,@akika_lmd,2022-04-30T22:43:43.000Z,"Akikalmd
@akika_lmd
·
16h","If the story dey get happy ending everytime, nah lie full the stories
2
9",,,2,9,[],https://twitter.com/akika_lmd/status/1520534392447381506
Akikalmd,@akika_lmd,2022-04-30T12:53:51.000Z,"Akikalmd
@akika_lmd
·
Apr 30","O Tu Tu Zeh Ooooo
2
1
11",,2,1,11,[],https://twitter.com/akika_lmd/status/1520385944414732288
