UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Amina Zubair,@amnakhani123,2022-04-20T17:08:03.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","It’s not just a space… it’s “TWITTER JALSA” dude !
#ImranKhanInSpace 
#امپورٹڈ_حکومت_نامنظور
0:17
75 views
4
7",🌐,,4,7,['https://pbs.twimg.com/ext_tw_video_thumb/1516825804973527047/pu/img/gdIz7W9i7moo1ML5.jpg'],https://twitter.com/amnakhani123/status/1516826036486426630
Amina Zubair,@amnakhani123,2022-04-20T17:32:01.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Picture of the Day! 
2
9
87",🌐 😍,2,9,87,['https://pbs.twimg.com/media/FQzeuYhX0AYKyUH?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1516832070655524870
Amina Zubair,@amnakhani123,2022-04-20T17:04:11.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","48K at my end. WBU?
1
2
6",🌐,1,2,6,['https://pbs.twimg.com/media/FQzYWdaXMAQrPLI?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1516825063626055681
Amina Zubair,@amnakhani123,2022-04-20T17:02:37.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Requested the mic. Agey Allah ko jo manzoor.
8",🌐,,,8,['https://pbs.twimg.com/media/FQzX_UeXIAYXALt?format=jpg&name=900x900'],https://twitter.com/amnakhani123/status/1516824671198625802
Amina Zubair,@amnakhani123,2022-04-20T17:44:40.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Bachey 
2
3
14",🌐 😅,2,3,14,[],https://twitter.com/amnakhani123/status/1516835252228042761
Amina Zubair,@amnakhani123,2022-04-20T15:40:30.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Ma’ today’s dump ft. Aftar Party
8
2
59",🌐,8,2,59,"['https://pbs.twimg.com/media/FQzFJFcXEAEnW7v?format=jpg&name=small', 'https://pbs.twimg.com/media/FQzFJFYXEAEOVTJ?format=jpg&name=small', 'https://pbs.twimg.com/media/FQzFJFXX0AgmJaj?format=jpg&name=small', 'https://pbs.twimg.com/media/FQzFJH2XIAkl7U8?format=jpg&name=small']",https://twitter.com/amnakhani123/status/1516804005611069448
Amina Zubair,@amnakhani123,2022-04-20T17:45:55.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Khan sab airing around the globe.
12
70",🌐,,12,70,['https://pbs.twimg.com/media/FQzh54tWYAcJLs7?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1516835569124495361
Amina Zubair,@amnakhani123,2022-04-20T23:02:09.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","Finally going to sleep after 38 hours..!! 
9
3
45",🌐 🥱,9,3,45,[],https://twitter.com/amnakhani123/status/1516915150816653312
Amina Zubair,@amnakhani123,2022-04-20T17:25:36.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Raise your hand if you are the part of Imran Khan’s space.
#امپورٹڈ_حکومت_نامنظور
16
13
70",🌐,16,13,70,[],https://twitter.com/amnakhani123/status/1516830457035436035
Amina Zubair,@amnakhani123,2022-04-20T17:37:14.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","This space is “ON THE LIGHTER NOTE”
2
12",🌐,,2,12,[],https://twitter.com/amnakhani123/status/1516833384819040257
Amina Zubair,@amnakhani123,2022-04-20T16:59:11.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Imagine Khan sab responding to my AsslamoAlikum.  Just imagine.
2
3
33",🌐 🥺,2,3,33,[],https://twitter.com/amnakhani123/status/1516823808086544384
Amina Zubair,@amnakhani123,2022-04-20T18:39:32.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","2
13
64",🌐,2,13,64,['https://pbs.twimg.com/media/FQzuK3_XEAI7Lyg?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1516849059490938889
Amina Zubair,@amnakhani123,2022-04-20T18:52:09.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Wasim Akram & Wasim AkramPlus
#ImranKhanLIVE 
#امپورٹڈ_حکومت_نامنظور
1
3
10",🌐,1,3,10,['https://pbs.twimg.com/media/FQzxEAeXMAAaOhy?format=jpg&name=900x900'],https://twitter.com/amnakhani123/status/1516852236290297859
Amina Zubair,@amnakhani123,2022-04-20T18:22:14.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Mein Amna  ki behen baat kr rhi hon. Mic na Milne pr us ne surf kha lia hai.
11
8
78",🌐,11,8,78,[],https://twitter.com/amnakhani123/status/1516844705446871043
Amina Zubair,@amnakhani123,2022-04-20T21:06:37.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","پتہ نہیں کیوں جب سے پرانا پاکستان آیا ہے میں نے پڑھنا چھوڑ دیا ہے۔
4
5
59",🌐,4,5,59,[],https://twitter.com/amnakhani123/status/1516886077159661570
Amina Zubair,@amnakhani123,2022-04-20T17:11:44.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Khan sab yeh ap na karein. Bas ap boltey rahein. Sawal jwab ko Goli marein.
1
4
14",🌐,1,4,14,[],https://twitter.com/amnakhani123/status/1516826965642465283
Amina Zubair,@amnakhani123,2022-04-20T17:05:31.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Arslan Bhai it’s 60K and Khan sab is here 
4
4
35",🌐 🥺,4,4,35,[],https://twitter.com/amnakhani123/status/1516825400319655947
Amina Zubair,@amnakhani123,2022-04-20T18:08:51.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Faisal Javed ko hi host baba letey.
1
1
22",🌐,1,1,22,[],https://twitter.com/amnakhani123/status/1516841340629360643
Amina Zubair,@amnakhani123,2022-04-20T16:34:38.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Mujhey nhi pata Mujhey Aj mic cahiye 
@arslankhalid_m
4
1
28",🌐,4,1,28,[],https://twitter.com/amnakhani123/status/1516817627200602112
Amina Zubair,@amnakhani123,2022-04-20T17:27:04.000Z,"Amina Zubair
@amnakhani123
·
Apr 20","Woh puchna yeh tha k Mariyam Nawaz Kis account se Khan sab ko sun rhi?
3
5
24",🌐,3,5,24,[],https://twitter.com/amnakhani123/status/1516830823047176200
Amina Zubair,@amnakhani123,2022-04-21T22:53:58.000Z,"Amina Zubair
@amnakhani123
·
Apr 22","Exactly 
#امپورٹڈ_حکومت_نامنظور
7
31",🌐,,7,31,['https://pbs.twimg.com/media/FQ5x7_qX0AAELku?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1517275480319303681
Amina Zubair,@amnakhani123,2022-04-21T17:04:25.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","Ghareeda Farooqi searching for the empty space in Jalsa Gah. Here it is Ghareeda 
#امپورٹڈ_حکومت_نامنظور
6
26
52",🌐,6,26,52,['https://pbs.twimg.com/media/FQ4h_fWXoAUenVl?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1517187512699080705
Amina Zubair,@amnakhani123,2022-04-21T15:26:55.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","Today you that Lahore will never disappoint you.
#امپورٹڈ_حکومت_نامنظور
1
23
26",🌐,1,23,26,['https://pbs.twimg.com/media/FQ4LrNgVkAUcJZt?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1517162975433428992
Amina Zubair,@amnakhani123,2022-04-21T16:20:24.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","Yes Please…!! Open the courts.
5
27
54",🌐,5,27,54,['https://pbs.twimg.com/media/FQ4X6sDXwAErCp6?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1517176433067573248
Amina Zubair,@amnakhani123,2022-04-21T16:48:03.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","I am watching Jalsa on ARY News from Sheikhupura. What about you?
#امپورٹڈ_حکومت_نامنظور
9
7
34",🌐,9,7,34,['https://pbs.twimg.com/media/FQ4ePMEX0AAHYft?format=jpg&name=small'],https://twitter.com/amnakhani123/status/1517183394593087491
Amina Zubair,@amnakhani123,2022-04-21T16:24:35.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","Thank God in our city ARY streaming is not blocked yet.
#امپورٹڈ_حکومت_نامنظور
2
10
20",🌐,2,10,20,[],https://twitter.com/amnakhani123/status/1517177488673226753
Amina Zubair,@amnakhani123,2022-04-21T16:57:14.000Z,"Amina Zubair
@amnakhani123
·
Apr 21","Moonis Elahi addresses PTI’s rally in Lahore. Calls Imran Khan “prime minister”. 
#امپورٹڈ_حکومت_نامنظور
2
14
22",🌐,2,14,22,[],https://twitter.com/amnakhani123/status/1517185704476000265
