UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
bab nori,@babak_919,2022-04-24T12:01:25.000Z,"bab nori
@babak_919
·
Apr 24","Neda
@neda_ghahramani
 · Apr 23
با یه دکترای مکانیک رفتم دیت،اول  دیت  راجع به معدل مامان و بابام پرسید:))
تا آخرش دیگه من ساکت بودم بستنی میخوردم فقط:)
1",😂 😂 😂 😂 😂,,,1,['https://pbs.twimg.com/profile_images/1517943407536136192/nJyzDJBG_mini.jpg'],https://twitter.com/babak_919/status/1518198422200856579
bab nori,@babak_919,2022-04-24T12:37:52.000Z,"bab nori
@babak_919
·
Apr 24","خبر بد امروز #فیلترشکن یارو یاورم امروز وصل نشد که نشد.
1
2",,1,,2,[],https://twitter.com/babak_919/status/1518207594648768512
bab nori,@babak_919,2022-04-24T12:06:47.000Z,"bab nori
@babak_919
·
Apr 24","تو بازی باید حمایتی کند بگن زنده است .
اتاق خبر منوتو
@ManotoNews
 · Apr 24
آقامیری، عضو شورای شهر تهران: خانواده قالیباف در یک حراج سیسمونی دو قلم کالا خریدند، چرا آن را به اقتصاد مقاومتی و استفاده از کالای ایرانی ربط می‌دهید؟ رئیس مجلس اگر اجازه می‌داد خانواده‌اش از گیت مخصوص عبور می‌کردند و کسی آن‌‌ها را نمی‌دید. این عقده‌ها از کجا می‌آید؟",,,,,['https://pbs.twimg.com/profile_images/1462775861992689672/hrg33h66_mini.jpg'],https://twitter.com/babak_919/status/1518199772808724485
bab nori,@babak_919,2022-04-25T20:01:47.000Z,"bab nori
@babak_919
·
Apr 26",اهالی #مهاجرت تا چه سنی میشود مهاجرت کرد ؟؟ایا بالای چهل سال امکان جا افتادن تشکیل یک زندگی جدید راه میدهد ؟,,,,,[],https://twitter.com/babak_919/status/1518681699223322624
bab nori,@babak_919,2022-04-25T19:10:43.000Z,"bab nori
@babak_919
·
Apr 26","اهم موارد تیتر وار:
اسنپ تپسی دامپینگ اصل گرانفروشی 
دیجی کالا:بی شرف بی صاحب عامل افزایش بی رویه به نفع نهاد خاص
دیوار:عدم امنیت 
فیلمیمو،نما اوا:انحصار دزدی در روز روشن 
همراه بانکها:سگان تازی 
ازکی:استفاده نکردم
Faeze Momeni
@faezeemomenii
 · Apr 25
هر مشکلی که با شرکت‌ها و نرم‌افزارهای خدماتی اینترنتی دارید ( اسنپ،تپسی،ديجي‌کالا،دیوار،فیلیمو،نماوا،از کی بیمه،از کی وام،آپ،همراه بانک) و خلاصه هرچی که استارت‌آپ و شرکت و نرم‌افزار هست رو به من بگید،ما توی #تجارت‌_نیوز روش کار می‌کنیم

ریتوییت بنمایید لطفا،با تشکر",,,,,['https://pbs.twimg.com/profile_images/1371372104210341888/zou88qnU_mini.jpg'],https://twitter.com/babak_919/status/1518668848966389760
bab nori,@babak_919,2022-04-25T19:02:07.000Z,"bab nori
@babak_919
·
Apr 26","میدونید چرا چنین چرتی پنج هزار فیو میخورد .چشم بسته خوشتون میاد بگن باهوش ترینهای دنیا .
چرت محض.
 SoLiTo
@DonSolito
 · Apr 24
۱
دیروز به پیشنهاد دوستِ روس‌م رفتم یوتیوب این کلمه ر‌و سرچ کردم: иран (ایران)
میگفت یک ماهه هرچی کانال تلویزیون و یوتیوبره میرن ایران گذارش تهیه میکنن از استایل زندگی ایرانی‌ها زیر تحریم.
با کروم ترانسلیتر رفتم کلی منشن خوندم، اصلا توقع این همه محتوی با میلیون‌ها ویو رو نداشتم
Show this thread
1",,,,1,['https://pbs.twimg.com/profile_images/1495444522893029376/2JKzO1Jg_mini.jpg'],https://twitter.com/babak_919/status/1518666685523320832
bab nori,@babak_919,2022-04-26T03:01:12.000Z,"bab nori
@babak_919
·
Apr 26","جزیره ثبات ؛بزن بهادر ،ای انکه هر انکس زند در نمیتواند رود ،…..
خاک تو سرت از سرعت اینترنت میترسی ؟؟اینجاست که بگیرید این پایه  ها چقدر سست است .",,,,,[],https://twitter.com/babak_919/status/1518787247537012736
bab nori,@babak_919,2022-04-26T04:36:57.000Z,"bab nori
@babak_919
·
Apr 26","خوب خریده مفت .
Fardad Farahzad | فرداد فرحزاد
@FardadFarahzad
 · Apr 26
ایلان ماسک، توییتر را ۴۴ میلیارد دلار خرید
#ایلان_ماسک #اجتماعی #رسانه
https://farahzad.com/Yt5b",,,,,"['https://pbs.twimg.com/profile_images/1279149709786058753/mRflRIW8_mini.jpg', 'https://pbs.twimg.com/media/FROHS16XoAAyLiB?format=jpg&name=small']",https://twitter.com/babak_919/status/1518811346502103040
bab nori,@babak_919,2022-04-26T10:05:31.000Z,"bab nori
@babak_919
·
Apr 26","دز دهم دز یازدهم نگران نباش
Fardad Farahzad | فرداد فرحزاد
@FardadFarahzad
 · Apr 25
شرق خبر داد: رسوب ده‌ها میلیون دُز واکسن کرونای ایرانی؛ مشتری خارجی هم وجود ندارد
#واکسن #بهداشت #ایرانی
https://farahzad.com/Eq3x",,,,,"['https://pbs.twimg.com/profile_images/1279149709786058753/mRflRIW8_mini.jpg', 'https://pbs.twimg.com/media/FRNXekwWQAA5acW?format=jpg&name=small']",https://twitter.com/babak_919/status/1518894031371227136
bab nori,@babak_919,2022-04-27T07:16:38.000Z,"bab nori
@babak_919
·
Apr 27",خوب بود استاد میاوردند ملت بدبخت میدیند‌ که مالیات و تورم و تعرفه گمرکی ،درامد کمتر از ده دلار در روز ،ارزش افزوده ده بار گرفته شده از هر کالا و خدمات ووووومشاهده میکردند در مورد نظریاتشون یک تجدیدیی میکردند .,,,,,['https://pbs.twimg.com/media/FRVVAJRWYAUfEIv?format=jpg&name=small'],https://twitter.com/babak_919/status/1519213919935598594
