UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bushra Irshad,@birshad99,2022-04-20T12:36:18.000Z,"Bushra Irshad
@birshad99
·
Apr 20","Lahore is ready to welcome khan shab 
 #امپورٹڈ_حکومت_نامنظور
0:18
376 views
2
47
54",❤ ♥,2,47,54,['https://pbs.twimg.com/ext_tw_video_thumb/1516757529233178628/pu/img/z2g5bo-ke6ElPpQW.jpg'],https://twitter.com/birshad99/status/1516757649278349316
Bushra Irshad,@birshad99,2022-04-20T19:03:16.000Z,"Bushra Irshad
@birshad99
·
Apr 21","khan shab ny abhi kal ana hey  
Lahore Right now 
 #امپورٹد_حکومت_نامنظور
2
11
18",❤ ♥ 😍,2,11,18,['https://pbs.twimg.com/ext_tw_video_thumb/1516854803472785432/pu/img/ZZYglH9SMa8-R_kX.jpg'],https://twitter.com/birshad99/status/1516855035161948162
Bushra Irshad,@birshad99,2022-04-20T19:03:17.000Z,"Bushra Irshad
@birshad99
·
Apr 21","At JalsaGah Right Now  
Crowd  #امپورٹڈ_حکومت_نامنطور
3
8
15",❤ 😍 😍 ♥ 😍,3,8,15,[],https://twitter.com/birshad99/status/1516855039976955906
Bushra Irshad,@birshad99,2022-04-20T20:29:24.000Z,"Bushra Irshad
@birshad99
·
Apr 21","I missed IK's space Because i was in JalsaGah  
#ImranKhan #ImranKhanLIVE  
#امپوڑٹڈ_حکومت_نامنظور
1
3
9",❤ 😭 😐,1,3,9,[],https://twitter.com/birshad99/status/1516876708590272517
Bushra Irshad,@birshad99,2022-04-20T20:24:10.000Z,"Bushra Irshad
@birshad99
·
Apr 21","Bhai  
#امپوڑٹڈ_حکومت_نامنظور
4
5
11",❤ ♥,4,5,11,['https://pbs.twimg.com/ext_tw_video_thumb/1516875250075680768/pu/img/QVTA23xZ5iRdHpea.jpg'],https://twitter.com/birshad99/status/1516875393772441601
Bushra Irshad,@birshad99,2022-04-20T23:58:19.000Z,"Bushra Irshad
@birshad99
·
Apr 21","ضرب حیدر ع کو لگانی اتنی آسان نہ تھی
قاتل بھی منتظر تھا وقتِ  نماز ہو
 #شہادتِ_امیرالمومنین_امام_علیؑ
1
3
13",❤,1,3,13,['https://pbs.twimg.com/media/FQ03I_WXoAAI_0J?format=jpg&name=small'],https://twitter.com/birshad99/status/1516929283859619840
Bushra Irshad,@birshad99,2022-04-20T20:38:52.000Z,"Bushra Irshad
@birshad99
·
Apr 21","okay mujy kuch nhi kehna 
 #امپورٹڈ_حکومت_نامنظور
#ImranKhanLIVE
3
3
7",❤ 😂 😂 😁,3,3,7,['https://pbs.twimg.com/media/FQ0JfaUX0AArIiM?format=jpg&name=small'],https://twitter.com/birshad99/status/1516879091655495690
Bushra Irshad,@birshad99,2022-04-20T23:59:55.000Z,"Bushra Irshad
@birshad99
·
Apr 21","قضانےوارکیابھی تو پشتِ سر سے کیا
مجال کس کی تھی آتاجو روبروۓ علی(ع)
 #شہادتِ_امیرالمومنین_امام_علیؑ
1
5
11",❤,1,5,11,[],https://twitter.com/birshad99/status/1516929688354140160
Bushra Irshad,@birshad99,2022-04-20T20:26:11.000Z,"Bushra Irshad
@birshad99
·
Apr 21","لاہور سڑکوں کی لا ئٹیں بند ، کینٹینرز موجود  
ڈر گے کیا ؟ 
#امورٹڈ_حکومت_نامنظور
3
24
21",❤ 😂,3,24,21,[],https://twitter.com/birshad99/status/1516875898854776833
Bushra Irshad,@birshad99,2022-04-20T00:02:35.000Z,"Bushra Irshad
@birshad99
·
Apr 20","تو نے عطا کیا،میں نے بٗھولا دیا،
تو نے پھر سے دیا ،نہ شکر کیا،
تو نے اور دیا ،دیتا ہی گیا،
منہ موڑدئیے دریاؤں کے، 
میں نے ہوا میں اُڑنا سیکھ لیا،
میری اگلی نظر ستاروں پر،
پھر بھی میں تیرے سہاروں پر،
تیرے رنگ رنگ،مولا رنگ رنگ 
2
5
13",❤ 🥺 ♥,2,5,13,[],https://twitter.com/birshad99/status/1516567973196185608
Bushra Irshad,@birshad99,2022-04-21T20:02:44.000Z,"Bushra Irshad
@birshad99
·
Apr 22","Alhumdullilah proud to be supporter of Kaptan  
خان صاحب آپکے سپورٹر بڑے ہو چکے آپ نے اب گھبرانہ نہیں 
@ImranKhanPTI
 
#LahoreJalsa 
 #امپورٹڈ_حکومت_نامنظور
0:15
60 views
1
4
11",❤ ♥,1,4,11,['https://pbs.twimg.com/ext_tw_video_thumb/1517232300731293696/pu/img/FqZ3I8QJA6dFi84M.jpg'],https://twitter.com/birshad99/status/1517232384902631425
Bushra Irshad,@birshad99,2022-04-21T19:48:13.000Z,"Bushra Irshad
@birshad99
·
Apr 22","میں اس قدر ہار جاؤنگا کہ تم جیت کر پچھتاؤ گے #LahoreJalsa 
 #امپورٹڈ_حکومت_نامنظور
1
16
17",❤,1,16,17,['https://pbs.twimg.com/media/FQ5He0HXsAAA9Mp?format=jpg&name=small'],https://twitter.com/birshad99/status/1517228732876038146
Bushra Irshad,@birshad99,2022-04-21T19:27:24.000Z,"Bushra Irshad
@birshad99
·
Apr 22","کسی سے بدکلامی نہ کی، نہ کریں گے
چڑھتے سورج کی سلامی نہ کی، نہ کریں گے

یہ دھرتی اپنی ماں ہے، اس سےکیا حساب؟
کسی غیر کی غلامی نہ کی، نہ کریں گے
#ImranKhanPrimeMinister  #LahoreJalsa 
#امپوڑٹڈ_حکومت_نامنظور
4
12
26",❤,4,12,26,['https://pbs.twimg.com/media/FQ5Ct2jXMAEHuqV?format=jpg&name=900x900'],https://twitter.com/birshad99/status/1517223495196889095
Bushra Irshad,@birshad99,2022-04-21T19:29:49.000Z,"Bushra Irshad
@birshad99
·
Apr 22","رکاوٹیں لگا کر ، انٹرنیٹ بند کر کے کیا ملا؟ 
روک لیا لاہور یوں کو؟ ہاہاہاہاہاہا 
لاہور کپتان کا 
 #امپورٹڈ_حکومت_نامنظور
3
13
14",❤ ♥,3,13,14,[],https://twitter.com/birshad99/status/1517224102012100608
Bushra Irshad,@birshad99,2022-04-21T19:27:19.000Z,"Bushra Irshad
@birshad99
·
Apr 22","راضی ہیں کپتان  
لاہور آپ پہ قربان 
 #امپوڑٹڈ_حکومت_نامنظور
#LahoreJalsa
0:33
93 views
2
11
17",❤ ♥ 😍 🥰,2,11,17,['https://pbs.twimg.com/ext_tw_video_thumb/1517223276682039297/pu/img/PYyD67yjh00QUMPb.jpg'],https://twitter.com/birshad99/status/1517223474242240514
Bushra Irshad,@birshad99,2022-04-21T19:38:35.000Z,"Bushra Irshad
@birshad99
·
Apr 22","ہم نے ایسے ہی نہیں تیری طرف داری کی
تو علامت ہے میرے دیس کی خودداری کی
#BehindYouSkipperAlways 
#LahoreJalsa #ImranKhan
 #اموپورٹڈ_حکومت_نامنظور
1
7
11",❤,1,7,11,['https://pbs.twimg.com/ext_tw_video_thumb/1517225741058027521/pu/img/2k979yKbdcwjv9lv.jpg'],https://twitter.com/birshad99/status/1517226309017120769
Bushra Irshad,@birshad99,2022-04-21T19:38:35.000Z,"Bushra Irshad
@birshad99
·
Apr 22","ہم نے ایسے ہی نہیں تیری طرف داری کی
تو علامت ہے میرے دیس کی خودداری کی
#BehindYouSkipperAlways 
#LahoreJalsa #ImranKhan
 #اموپورٹڈ_حکومت_نامنظور
0:31
51 views
1
7
11",❤,1,7,11,['https://pbs.twimg.com/ext_tw_video_thumb/1517225741058027521/pu/img/2k979yKbdcwjv9lv.jpg'],https://twitter.com/birshad99/status/1517226309017120769
Bushra Irshad,@birshad99,2022-04-22T23:17:08.000Z,"Bushra Irshad
@birshad99
·
Apr 23","#NewProfilePic
1
5
13",❤,1,5,13,['https://pbs.twimg.com/media/FQ_A5UAXwAApe9P?format=jpg&name=small'],https://twitter.com/birshad99/status/1517643696212254721
Bushra Irshad,@birshad99,2022-04-22T23:02:14.000Z,"Bushra Irshad
@birshad99
·
Apr 23","#شہادتِ_امیرالمومنین_امام_علیؑ
3
4
25",❤,3,4,25,['https://pbs.twimg.com/media/FQ-9fB5XIAEDY_Y?format=jpg&name=small'],https://twitter.com/birshad99/status/1517639946160508928
Bushra Irshad,@birshad99,2022-04-22T23:29:16.000Z,"Bushra Irshad
@birshad99
·
Apr 23","کم از کم اس کو فرقوں میں نہ بانٹو !
علیؑ حق ہے ، سو حق پر سب کا حق ہے

افکار علوی
 #شہادتِ_امیرالمومنین_امام_علیؑ
1
5",❤,,1,5,[],https://twitter.com/birshad99/status/1517646751020290049
Bushra Irshad,@birshad99,2022-04-22T11:56:15.000Z,"Bushra Irshad
@birshad99
·
Apr 22","hellow baji 
@GFarooqi
 
 #امپورٹڈ_حکومت_نامنظور
1
2",❤,1,,2,['https://pbs.twimg.com/media/FQ8lDS0WQAAgrYR?format=jpg&name=small'],https://twitter.com/birshad99/status/1517472348307431425
Bushra Irshad,@birshad99,2022-04-22T23:27:18.000Z,"Bushra Irshad
@birshad99
·
Apr 23","____ﻟَﺎ ﺗَﺤْﺰَﻥْ ﺍِﻥَّ ﺍﻟﻠّـٰﻪَ ﻣَﻌَﻨَﺎ○ 
ﻏﻢ ﻧﮧ ﮐﮭﺎﺋﻮ ﺑﮯ ﺷﮏ ﺍﻟﻠﮧ ﮨﻤﺎﺭﮮ ﺳﺎﺗﮫ ﮨﮯ.
#
1
3
14",❤ ⭐ ❤ 🥀,1,3,14,[],https://twitter.com/birshad99/status/1517646257233313794
Bushra Irshad,@birshad99,2022-04-22T00:22:20.000Z,"Bushra Irshad
@birshad99
·
Apr 22","جمعہ مبارک 
2
12",❤ ♥,2,,12,[],https://twitter.com/birshad99/status/1517297718741409793
Bushra Irshad,@birshad99,2022-04-23T23:58:50.000Z,"Bushra Irshad
@birshad99
·
Apr 24","No one besides Allah can rescue a soul from hardship  Quran
2
2
26",❤ ♥,2,2,26,['https://pbs.twimg.com/media/FREUBwIXMAABtDW?format=jpg&name=900x900'],https://twitter.com/birshad99/status/1518016577752510465
Bushra Irshad,@birshad99,2022-04-24T23:40:41.000Z,"Bushra Irshad
@birshad99
·
Apr 25","کتنی مصروف زندگی ہوتے ہوے بھی۔۔، ہم کسی نہ کسی کے لیے بالکل فارغ دستیاب ہوتے ۔ 
1
11",❤ 💜,1,,11,[],https://twitter.com/birshad99/status/1518374400084660225
Bushra Irshad,@birshad99,2022-04-24T23:43:35.000Z,"Bushra Irshad
@birshad99
·
Apr 25","رَبِّ اشْرَحْ لِي صَدْرِي وَيَسِّرْ لِي أَمْرِي
1
11",❤,,1,11,[],https://twitter.com/birshad99/status/1518375127402037248
