UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Erin Symons,@cosmoksmom,2022-04-24T19:29:44.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Hopefully it tastes better than it looks 
7
3",🍀 😫 😫,7,,3,['https://pbs.twimg.com/media/FRIgB6kX0AE0jT9?format=jpg&name=small'],https://twitter.com/cosmoksmom/status/1518311247137198081
Erin Symons,@cosmoksmom,2022-04-24T23:50:03.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Begging my friends not to leave Twitter if Musk gets control.
As long as we have the BLOCK button, we gotta give it a try.
5
7",🍀,5,,7,[],https://twitter.com/cosmoksmom/status/1518376754490056704
Erin Symons,@cosmoksmom,2022-04-24T22:41:28.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","I just had to watch the news since they’ve been pushing that the French election was neck in neck. At least they ARE admitting it’s a blowout.
Didn’t know #Macron was first French Pres re-elected in 20 yrs.
1
4",🍀,1,,4,[],https://twitter.com/cosmoksmom/status/1518359495910506498
Erin Symons,@cosmoksmom,2022-04-24T18:16:01.000Z,"Erin Symons
@cosmoksmom
·
Apr 24","Hubbys making fun of me b/c I asked if there’s enough firewood for me to have a fire tonight.
H:it’s hot as hell
Me it’s my Sunday tradition, #90DayFiance, wine & fire!
GIF
ALT
1",🍀,,,1,['https://pbs.twimg.com/tweet_video_thumb/FRIPKBDX0AUW2Pc.jpg'],https://twitter.com/cosmoksmom/status/1518292696040882178
Erin Symons,@cosmoksmom,2022-04-24T22:51:41.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Finally getting to the last 10 minutes of the #KillingEve finale I taped 3 wks ago. Loved this show but I struggled to watch this final season
1
3",🍀,1,,3,[],https://twitter.com/cosmoksmom/status/1518362066691760128
Erin Symons,@cosmoksmom,2022-04-24T19:41:24.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Q on PlasticSurgery show SiriusXM. Wife has a basal cell skin cancer on nose tip, Dermatologist wants to remove it, then send her to PlasticSurgeon.
PlasticSurgeon advised her to go to PS immediately, PS can remove basalCell & reconstruct at
1",🍀,1,,,[],https://twitter.com/cosmoksmom/status/1518314181505789958
Erin Symons,@cosmoksmom,2022-04-24T18:31:40.000Z,"Erin Symons
@cosmoksmom
·
Apr 24","Me:Macron won 
Hubby:By a lot??
Me:Compared to our elections, YES.
H:FakeNews!
GIF
ALT",🍀,,,,['https://pbs.twimg.com/tweet_video_thumb/FRISvHvXoAAyg-S.jpg'],https://twitter.com/cosmoksmom/status/1518296632617541632
Erin Symons,@cosmoksmom,2022-04-24T00:32:53.000Z,"Erin Symons
@cosmoksmom
·
Apr 24","Sounds a whole lot like Theranos

Fake 24-hour Covid-19 testing company fined $22 million in California
dailymail.co.uk
Fake 24-hour Covid-19 testing company fined $22 million in California
Sameday Technologies, which operates the testing centers Sameday Health nationwide, admitted to falsely claiming that their lab could turn around Covid tests in 24 hours.
1
1",🍀,1,,1,['https://pbs.twimg.com/card_img/1517903668984664064/KVkA1YJi?format=jpg&name=small'],https://twitter.com/cosmoksmom/status/1518025147487293441
Erin Symons,@cosmoksmom,2022-04-24T23:34:44.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Watching #TheFirstLady, hate to criticize Viola but the way she does Michelle Obama’s scrunched up mouth all the time is…..ODD.
1
2",🍀,1,,2,[],https://twitter.com/cosmoksmom/status/1518372903842160640
Erin Symons,@cosmoksmom,2022-04-24T02:36:24.000Z,"Erin Symons
@cosmoksmom
·
Apr 24","Still working my way through #OldEnough 
@ProfDuff
. Learning to much about Japan, I really didn’t know much.
1
1",🍀,1,,1,[],https://twitter.com/cosmoksmom/status/1518056234108207104
Erin Symons,@cosmoksmom,2022-04-24T18:16:38.000Z,"Erin Symons
@cosmoksmom
·
Apr 24","#Macron
The Times
@thetimes
 · Apr 24
 JUST IN: President Macron won a clear victory in the French presidential election to give himself a second term of office, according to early estimates https://thetimes.co.uk/article/french-presidential-election-results-2022-latest-kll6qqtqk?utm_medium=Social&utm_source=Twitter#Echobox=1650823783…
2",🍀 🔺,,,2,['https://pbs.twimg.com/profile_images/1273572997614440450/ULkR08Er_mini.png'],https://twitter.com/cosmoksmom/status/1518292850781347841
Erin Symons,@cosmoksmom,2022-04-25T14:58:00.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","So if everyone leaves so that the right gets this?? Because its the best platform & they’re too lazy to make their own?? That’s exactly what they want.Don’t let them win without a fight.
3
1
6",🍀,3,1,6,[],https://twitter.com/cosmoksmom/status/1518605249312960516
Erin Symons,@cosmoksmom,2022-04-25T15:56:24.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","What makes a Trump run “more viable” in 2024 if he’s on Twitter?? He’s literally f**king everywhere all the time. Every news channel cannot quit him.
1",🍀,1,,,[],https://twitter.com/cosmoksmom/status/1518619947471147008
Erin Symons,@cosmoksmom,2022-04-25T14:36:52.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","OK….looks like seaweed
1",🍀,,,1,['https://pbs.twimg.com/media/FRMmlowXoAAxVsA?format=jpg&name=small'],https://twitter.com/cosmoksmom/status/1518599932764168196
Erin Symons,@cosmoksmom,2022-04-25T15:24:30.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Can you imagine if that ABC1,2,3 lady was your sister, daughter, wife, friend?? My heart goes out to people dealing with this Q-anon crazy
1",🍀,,,1,[],https://twitter.com/cosmoksmom/status/1518611920147951618
Erin Symons,@cosmoksmom,2022-04-25T18:29:36.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","It’s adorable how the Right Wingers act as if they’ve all left here(they haven’t) & they’re gonna flock back when the savior takes over
1",🍀,,,1,[],https://twitter.com/cosmoksmom/status/1518658500649492482
Erin Symons,@cosmoksmom,2022-04-25T16:13:53.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","For my Michigan Olga peeps
I can’t find any expiration date, I happen to be going there tomorrow 
@niccjagger
 @jenelaina
 @awesley777
1
1",🍀,1,,1,['https://pbs.twimg.com/media/FRM8yy4WYAQdQUl?format=jpg&name=small'],https://twitter.com/cosmoksmom/status/1518624348399099904
Erin Symons,@cosmoksmom,2022-04-25T03:53:59.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Sorry all for ecars but that Hyundai ionic(?) is fugly
1",🍀,,,1,[],https://twitter.com/cosmoksmom/status/1518438144902848512
Erin Symons,@cosmoksmom,2022-04-25T02:54:46.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Ohhhh Charlotte now you’re being just as stubborn & stupid
#Sanditon
Erin Symons
@cosmoksmom
 · Apr 25
WTF Colbourne?? You fool.
#Sanditon
1",🍀 🍀,,,1,['https://pbs.twimg.com/profile_images/3203807177/26547cedc359217f3495265f19389954_mini.png'],https://twitter.com/cosmoksmom/status/1518423241626431488
Erin Symons,@cosmoksmom,2022-04-25T01:45:46.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Jibre is entertaining, I’ll give him that
#90DayFiance
1",🍀,,,1,[],https://twitter.com/cosmoksmom/status/1518405878856232971
Erin Symons,@cosmoksmom,2022-04-25T14:17:29.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Please don’t let Musk win without doing the battle. C’mon we’re used to having to #Resist
We still have the block button
1",🍀,1,,,[],https://twitter.com/cosmoksmom/status/1518595055098945538
Erin Symons,@cosmoksmom,2022-04-25T02:49:49.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","WTF Colbourne?? You fool.
#Sanditon
1
2",🍀,,1,2,[],https://twitter.com/cosmoksmom/status/1518421995104477184
Erin Symons,@cosmoksmom,2022-04-25T01:27:20.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Oh boy Yve has a crew a la Darcey&Stacey
#90DayFiance
3",🍀,,,3,[],https://twitter.com/cosmoksmom/status/1518401240685764609
Erin Symons,@cosmoksmom,2022-04-25T21:03:00.000Z,"Erin Symons
@cosmoksmom
·
Apr 26","Ahhhhh 
@cnbc
 just said 
@jack
 will walk away w a BILLION

Explains a lot
@cnbc
 reminding it’s Not a done deal
2",🍀,,,2,[],https://twitter.com/cosmoksmom/status/1518697103173853185
Erin Symons,@cosmoksmom,2022-04-25T01:05:34.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Ellie was willing to go live with Victor in a hurricane ravaged dump. Just sayin’. Look at the placesAnnie & Robert lived.
#90DayFiance
1
3",🍀,1,,3,[],https://twitter.com/cosmoksmom/status/1518395761041588225
Erin Symons,@cosmoksmom,2022-04-25T00:18:48.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Guillermo, hope you have big lungs
#90DayFiance
GIF
ALT",🍀,,,,[],https://twitter.com/cosmoksmom/status/1518383993573593089
Erin Symons,@cosmoksmom,2022-04-25T02:47:34.000Z,"Erin Symons
@cosmoksmom
·
Apr 25","Why won’t Arthur marry Georgianna??? Bummer
#Sanditon
1",🍀,1,,,[],https://twitter.com/cosmoksmom/status/1518421429259313155
