UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dee Dee,@deedeececil,2022-04-23T18:39:47.000Z,"Dee Dee
@deedeececil
·
Apr 23","Frankie Huang 黄碧赤
@ourobororoboruo
 · Apr 22
Not me crying over a scene where two rocks converse through text overlay on the screen",👇 🚦,,,,['https://pbs.twimg.com/profile_images/1505280710093029377/io4BtbMs_mini.jpg'],https://twitter.com/deedeececil/status/1517936288124456960
Dee Dee,@deedeececil,2022-04-24T08:08:32.000Z,"Dee Dee
@deedeececil
·
Apr 24","The most brutal, evil people on earth Are rooting for his return, and this alone should kneecap the 
@GOP
 and yet…
The Guardian
@guardian
 · Apr 24
Saudis’ Biden snub suggests crown prince still banking on Trump’s return https://theguardian.com/us-news/2022/apr/24/saudi-arabia-kushner-trump-biden-mohammed-bin-salman?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1650784424…
2",,,,2,['https://pbs.twimg.com/profile_images/1175141826870861825/K2qKoGla_mini.png'],https://twitter.com/deedeececil/status/1518139816486993920
Dee Dee,@deedeececil,2022-04-25T02:17:57.000Z,"Dee Dee
@deedeececil
·
Apr 25","As long as y'all talking about Nicole Kidman, the world is sleeping on DESTROYER. Not only is her performance  but it's a dramatic bit of heart-pounding darkness.
1
2",💯,1,,2,['https://pbs.twimg.com/media/FRJ9biAUYAApS-5?format=jpg&name=small'],https://twitter.com/deedeececil/status/1518413978476507136
Dee Dee,@deedeececil,2022-04-25T21:59:15.000Z,"Dee Dee
@deedeececil
·
Apr 26","I liked it better when the zillionaires just wanted to be space cowboys.
GIF
ALT
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/FROL1rsUcAApWw8.jpg'],https://twitter.com/deedeececil/status/1518711259239120896
Dee Dee,@deedeececil,2022-04-25T01:53:43.000Z,"Dee Dee
@deedeececil
·
Apr 25","I know it's wrong to
call this sweet hell upon myself
youtube.com
PJ Harding, Noah Cyrus - You Belong To Somebody Else (Lyric Video)
Get ""You Belong To Somebody Else"": https://smarturl.it/YBTSESubscribe to Noah's channel here: http://smarturl.it/NoahCyrusYouTube Subscribe to PJ Harding's...",,,,,['https://pbs.twimg.com/card_img/1520302646225211395/KLiEH46_?format=jpg&name=240x240'],https://twitter.com/deedeececil/status/1518407876930273280
Dee Dee,@deedeececil,2022-04-26T19:39:31.000Z,"Dee Dee
@deedeececil
·
Apr 27","Remake the movie Face Off every five years with whomever the most fun casting choices would be. Let's kick it off with Cate Blanchett doing a mean Emily Blunt and vice versa CHANGE MY MIND.
1
2",,1,,2,[],https://twitter.com/deedeececil/status/1519038483880312832
Dee Dee,@deedeececil,2022-04-26T02:11:58.000Z,"Dee Dee
@deedeececil
·
Apr 26","The most important thing about the Elon Musk story is...
Rabbi Danya Ruttenberg
@TheRaDR
 · Apr 26
If Roe v Wade is overturned (decision on Dobbs v Jackson Women’s coming any day now), abortion will be illegal immediately in 26 states. 

Over half the country will mandate forced birth. 

Just so we’re clear. twitter.com/crystal_quade/…
2",,,,2,['https://pbs.twimg.com/profile_images/1418602644512415747/y9jlOJYV_mini.jpg'],https://twitter.com/deedeececil/status/1518774860838674432
Dee Dee,@deedeececil,2022-04-26T16:37:04.000Z,"Dee Dee
@deedeececil
·
Apr 26","""I'm 83 years old..."" Hear me... in 2008, a 36-year-old acquaintance expressed to me their fear of more and more non-white people coming out to vote. (You can guess why that year in particular.)
Ben Pu
@BenPu_nbc
 · Apr 26
the restraint shown here is just 

""I want to know if we can cut out some of these liberal things that are going on in America, just like on the TV now, we have two minorities. And I'm not against you minorities... when I was a little boy, the colo--""
Show this thread
1
1",🤌,1,,1,"['https://pbs.twimg.com/profile_images/1430190064294932482/BggiatEg_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1518764211584872453/pu/img/epbGdSxuQ4yzBzwa.jpg']",https://twitter.com/deedeececil/status/1518992568536616960
Dee Dee,@deedeececil,2022-04-26T20:54:21.000Z,"Dee Dee
@deedeececil
·
Apr 27","Jen Rice
@jen_rice_
 · Apr 26
hearing a lot of ""goodbye twitter"" and not a lot of ""we'll unite and become 100 million+ ungovernable jean ralphios and he will regret the day he ever heard of twitter""
Show this thread",🖐 🖐 🖐,,,,"['https://pbs.twimg.com/profile_images/1359545658772963329/CStYWgO1_mini.jpg', 'https://pbs.twimg.com/media/FRPH7B8WUAo_N_U?format=jpg&name=small']",https://twitter.com/deedeececil/status/1519057313964777472
Dee Dee,@deedeececil,2022-04-27T17:23:12.000Z,"Dee Dee
@deedeececil
·
Apr 27","A series with the most extraordinary season finales BUT even better, the most jaw-dropping, script-flippin' season-premier cold opens.
Josh Spiegel
@mousterpiece
 · Apr 27
Reminded tonight of arguably the best TV cold open, and how it’s never been topped.
Show this thread
2:20
1.6M views",,,,,"['https://pbs.twimg.com/profile_images/1388215432704716801/LgAsJQFm_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/907620771958157312/pu/img/PvV3j7zi_Ic2OXl3.jpg']",https://twitter.com/deedeececil/status/1519366566323757063
