UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-24T21:20:31.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","I’m looking to launch a project supporting Bitcoin educators, creators, advocates, & businesses so we can get to 5 Billion users by 2030

 What are TOP 5 things we need to do as Bitcoiners to achieve the goal of 5 Billion? 

Please repost so we can get input.  #Bitcoin
0:06
25 views
1",💖 🔥 🎯 📣 🙏,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1518339073240297472/pu/img/bJ7dCwYUQkd7yj4Y.jpg'],https://twitter.com/djvalerieblove/status/1518339123324411905
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-24T13:10:00.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 24","You ROCK !
BTC Sessions
@BTCsessions
 · Apr 24
It's official! I'm hosting workshops in Kelowna on July 9th and Vancouver on July 16th. Half day beginner #Bitcoin self custody in the mornings, half day @COLDCARDwallet deep dive in the afternoons. Limited to 20 tickets per workshop to ensure instruction quality. Link on Monday.
Show this thread
1
1
3",💖 😎,1,1,3,"['https://pbs.twimg.com/profile_images/1490462155627401219/J2pYXyUv_mini.jpg', 'https://pbs.twimg.com/media/FRFjsFIUYAAlK3J?format=jpg&name=small', 'https://pbs.twimg.com/media/FRFj-bWVEAAtXIj?format=jpg&name=small']",https://twitter.com/djvalerieblove/status/1518215683972075521
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-24T20:45:32.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","Me with empty coffee cup.
tiktok.com
Kirsty Sandford on TikTok
#fuckingdamnit #toddlersoftiktok",💖,,,,['https://pbs.twimg.com/card_img/1518330162370125824/XZxwmD1m?format=jpg&name=small'],https://twitter.com/djvalerieblove/status/1518330321715884032
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-24T21:20:31.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","I’m looking to launch a project supporting Bitcoin educators, creators, advocates, & businesses so we can get to 5 Billion users by 2030

 What are TOP 5 things we need to do as Bitcoiners to achieve the goal of 5 Billion? 

Please repost so we can get input.  #Bitcoin
1",💖 🔥 🎯 📣 🙏,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1518339073240297472/pu/img/bJ7dCwYUQkd7yj4Y.jpg'],https://twitter.com/djvalerieblove/status/1518339123324411905
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-24T20:00:46.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","GIF
ALT
Samson Mow
@Excellion
 · Apr 25
The Central African Republic adopts #Bitcoin as an official currency. Another domino.
1
1",💖,1,,1,"['https://pbs.twimg.com/profile_images/1517211883211673605/EmsIhE6V_mini.jpg', 'https://pbs.twimg.com/media/FRIl0izUYAAc06t?format=jpg&name=240x240']",https://twitter.com/djvalerieblove/status/1518319056394223616
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-25T12:08:12.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","Name your Best Of Miami experiences #bitcoinmiami2022
0:12
25 views
1",💖 🔥,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1518562478723981312/pu/img/-LvfGKyzWEVhe412.jpg'],https://twitter.com/djvalerieblove/status/1518562516112068608
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-25T13:00:35.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","GM! Enjoy my deep dive with creative entrepreneur/DJ ISS of ISS Radio who surprised his daughter with a virtual world for her birthday because he was away on business. #podcast #DJ #VR   
@issradio
podcasts.apple.com
Bitcoin, Peace, & Music Podcast: Bitcoin and Virtual Worlds for Human Connection with DJ ISS of...
Show Bitcoin, Peace, & Music Podcast, Ep Bitcoin and Virtual Worlds for Human Connection with DJ ISS of ISS Radio - Apr 25, 2022",💖 📣,,,,['https://pbs.twimg.com/card_img/1517696139721535488/i7OvWs67?format=jpg&name=small'],https://twitter.com/djvalerieblove/status/1518575698822148097
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-25T12:06:32.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","Check this out friends! FIRE baby! 
@EuroDale
 @knutsvanholm
  #Bitcoin
Erik Dale
@EuroDale
 · Apr 25
Could Norway  become a beacon for #Bitcoin ?

We are launching @kongerik_et in ENGLISH in May, starting with a pilot-week TODAY.

Join us as we transform one of the most privileged nations on earth into a showcase for the world 

Because why not!

https://youtube.com/c/kongeriket
Show this thread
1
4",💖 🔥 🟠 ⚡ 🔥,,1,4,"['https://pbs.twimg.com/profile_images/1431604612365230082/CcTo2EPS_mini.jpg', 'https://pbs.twimg.com/media/FRLItryXMAACY8P?format=png&name=small']",https://twitter.com/djvalerieblove/status/1518562099030503424
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-25T17:42:52.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","This is awesome ! 
@Elsalameen
 @SeedSigner
 let’s chat and do interview like we discussed and share this
SeedSigner
@SeedSigner
 · Apr 25
More on how we think the SeedSigner model is positioned to help bitcoin savers the world over, and where we would like to take SeedSigner next, at:

https://seedsigner.com/wp-content/uploads/2022/04/SeSi_Max_Impact.pdf…
1",💖,,,1,"['https://pbs.twimg.com/profile_images/1512856568303439873/govS4GGN_mini.jpg', 'https://pbs.twimg.com/media/FRNN6-5WYAIZ2AI?format=png&name=small']",https://twitter.com/djvalerieblove/status/1518646737824403456
"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast",@djvalerieblove,2022-04-25T02:02:05.000Z,"DJ Valerie ₿ LoveBitcoin, Peace & Music Podcast
@djvalerieblove
·
Apr 25","El Salvador Bitcoin Progress  #ElSalvador 
@LakeBitcoin
 @stacyherbert
 @Excellion
 @GlobalBTCFest
Bitcoin Beach
@Bitcoinbeach
 · Apr 25
Join us tonight!     #Bitcoin https://twitter.com/i/spaces/1PlKQaQmmLaKE…
Apr 25·Global Bitcoin Fest·2:19:58
El Salvador  #Bitcoin adoption progress
+18
Play recording
1
2",💖 🧡,1,,2,"['https://pbs.twimg.com/profile_images/1363199721192448000/z1q3Lp4z_mini.jpg', 'https://pbs.twimg.com/profile_images/1434722673016414209/mN-mJUaY_normal.jpg', 'https://pbs.twimg.com/profile_images/1516643958197207041/oZpPZeOB_normal.jpg', 'https://pbs.twimg.com/profile_images/1517211883211673605/EmsIhE6V_mini.jpg']",https://twitter.com/djvalerieblove/status/1518409985427914755
