UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kazim Hussain Channa,@kazimhc19,2022-05-15T07:04:33.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 15","Sad to hear the news of Andrew Symonds  We lost a gem, condolences for his family 
#RIPRoy
3",💔 🥺,,,3,[],https://twitter.com/kazimhc19/status/1525733860469878785
Kazim Hussain Channa,@kazimhc19,2022-05-15T09:33:12.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 15","نُوقِ نِیزہ پر حُسین کہ سَر کو  تلاوت کرتے بھی دیکھا
حُسین کہ مُوجزوں میں سے اِک یہ مُوجزہ بِھی دِیکھا
Kazim Hussain Channa 
1
10",❤,,1,10,[],https://twitter.com/kazimhc19/status/1525771267365867520
Kazim Hussain Channa,@kazimhc19,2022-05-15T16:29:15.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 15","سیاسی قیادتیں منجن بیچنے میں مصروف ہیں، عوام کہ لیے کوئی واضع پالیسی اور رلیف نہیں!
#imrankhanPTI #bilawalBhutto #MaryamNawazSharif #Pakistan
2",,,,2,[],https://twitter.com/kazimhc19/status/1525875970275672066
Kazim Hussain Channa,@kazimhc19,2022-05-15T07:03:37.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 15","عمران خان کے خدشات کو نظر انداز کرنا بیوقوفی میں شمار ہو سکتا ہے۔۔خدا خان صاحب کو لمبی زندگی دیں اور ساتھ ہی ساتھ ان کو یہ توفیق بھی دیں آخر ان کی جان کو کونسی قوتوں سے خطرہ ہے؟ اس سے قبل بہت دیر ہوجائے۔۔
#imrankhanPTI #SialkotJalsa
3",,,,3,[],https://twitter.com/kazimhc19/status/1525733624867332096
Kazim Hussain Channa,@kazimhc19,2022-05-16T19:54:50.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","بم دھماکے میں مرنے والوں کو شہدا کا لقب دے کر حکومتی نا اہلی چھپائی نہیں جاسکتی۔
#Karachiblast
6",,,,6,[],https://twitter.com/kazimhc19/status/1526290093534765062
Kazim Hussain Channa,@kazimhc19,2022-05-16T14:41:24.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 16","وزیراعظم شہباز شریف نے کہا تھا وہ کپڑے بیچ کر آٹا سستہ کرینگے پر ابھی تک آٹا سستہ نہیں ہوا، آخر عوام کس کی طرف دیکھے؟ لوگ ایک وقت کی روٹی کہ لیے بھی پریشان ہیں خدا راہ ان سے یہ ایک وقت کی روٹی نہ چھینی جائے
#ShehbazSharif #Pakistan
1
6",,,1,6,[],https://twitter.com/kazimhc19/status/1526211217706082310
Kazim Hussain Channa,@kazimhc19,2022-05-16T13:44:22.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 16","اس شدید گرمی میں نئی حکومت نے عوام کو لوڈشیڈنگ کہ عذاب میں مبتلا کردیا ہے
#Pakistan
4",🥵,,,4,[],https://twitter.com/kazimhc19/status/1526196865527697409
Kazim Hussain Channa,@kazimhc19,2022-05-16T19:56:55.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","کرسی ہے تمہارا جنازہ تو نہیں،
کچھ کر نہیں سکتے تو اتر کیوں نہیں جاتے!
#Karachiblast
11",,,,11,[],https://twitter.com/kazimhc19/status/1526290618087096321
Kazim Hussain Channa,@kazimhc19,2022-05-17T00:17:03.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","اس تصویر سے اہل دل کا جگر کٹ گیا ہے۔۔حکومتی نااہلی کی وجہ سے اس معصوم بچے کہ لیے ہمیشہ کہ لیے دعا کہ دروازے بند ہوگئے اس معصوم بچے کی ماں نہ رہی 
#KarachiBlast
1
4
16",💔 💔,1,4,16,['https://pbs.twimg.com/media/FS60xSxXEAQVceY?format=jpg&name=small'],https://twitter.com/kazimhc19/status/1526356085459787782
Kazim Hussain Channa,@kazimhc19,2022-05-17T12:28:11.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","آج سندھ حکومت نے اساتذہ کی بھرتی کہ لیے پالیسی میں مزید نرمی کردی، امید ہے نئے اساتذہ تعلیم کی بہتری میں اپنا کردار نبھانے کی پوری کوشش کرینگے۔۔یاد رہے ایک استاد مستقبل کی ایک پوری نسل تیار کرتا ہے، بچوں کا مستقبل آپ کہ ہاتھوں میں ہے
#PST #jest #SindhGovt
1
7",,,1,7,[],https://twitter.com/kazimhc19/status/1526540080868884480
Kazim Hussain Channa,@kazimhc19,2022-05-17T16:07:53.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","گِرنے میں آج بھی ڈالر دوسرے نمبر پر موجود ہے 
#Dollar
2",💵,,,2,[],https://twitter.com/kazimhc19/status/1526595368863076352
Kazim Hussain Channa,@kazimhc19,2022-05-17T14:36:34.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","پاکستان کی سیاست اور سرکس میں اب کوئی واضع فرق نہیں رہا۔
#SupremeCourt #PunjabAssembly
2",,,,2,[],https://twitter.com/kazimhc19/status/1526572387109588992
Kazim Hussain Channa,@kazimhc19,2022-05-17T12:50:43.000Z,"Kazim Hussain Channa
@kazimhc19
·
May 17","ڈالر کی ڈبل سنچری مکمل  
Economy Tabah dyy
#Dollar
1
2",💵 🤖,1,,2,[],https://twitter.com/kazimhc19/status/1526545752503328771
