UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dinos Trigonis,@trigonis30,2022-04-23T15:02:08.000Z,"Dinos Trigonis
@trigonis30
·
Apr 23","Pangos 
@Terrific24FCP
 Notes: an emerging Southwest sleeper is 6-2 2023 Isaiah Kai (Campo Verde/Gilbert AZ). Scoring lead guard with smooth skill set had 20 pts in W this AM over Centex/TX. Terrific student (4.1 GPA) had UC-Irvine watching him last 2 games 
@FCPPangos
 @BallerTV
11
36",,,11,36,['https://pbs.twimg.com/media/FRCZMWAWUAERm_Y?format=jpg&name=small'],https://twitter.com/trigonis30/status/1517881513681068032
Dinos Trigonis,@trigonis30,2022-04-23T17:09:54.000Z,"Dinos Trigonis
@trigonis30
·
Apr 23","Pangos 
@Terrific24FCP
 Notes: one of the more promising long-term prospects here is an 8th grader (2026) 6-9 Timothy Winkler (Aurora IL) playing 17s on the Mac Irvin Fire National 17u squad. Active F with nice scoring skills is a future Windy City star in the making 
@FCPPangos
9
22",,,9,22,['https://pbs.twimg.com/media/FRC2b0gWQAIdR9q?format=jpg&name=small'],https://twitter.com/trigonis30/status/1517913665932038144
Dinos Trigonis,@trigonis30,2022-04-23T16:27:07.000Z,"Dinos Trigonis
@trigonis30
·
Apr 23","Pangos 
@Terrific241
 Notes: Indiana Pacer guard Tyrese Haliburton (Indiana Pacers) reacts to a monster flush by Team Haliburton 17u's 6-8 2023 Simeon Murchison vs Beyond Ball 247 17u 
@FCPPangos
 @INBBallSource
3
12",,,3,12,['https://pbs.twimg.com/media/FRCspHWXsAA86_Y?format=jpg&name=small'],https://twitter.com/trigonis30/status/1517902899375968256
Dinos Trigonis,@trigonis30,2022-04-23T01:29:07.000Z,"Dinos Trigonis
@trigonis30
·
Apr 23","The official ball of the Pangos Terrific 24 
@Terrific24FCP
 is 
@Spalding
 Precision TF 1000
@INBBallSource
 @DeadStock_V
 @ChrisPoPoola
 @BallerTV
 @theballdawgs
6
23",,,6,23,['https://pbs.twimg.com/media/FQ_fG5JXoAEvs5Z?format=jpg&name=small'],https://twitter.com/trigonis30/status/1517676911115255808
Dinos Trigonis,@trigonis30,2022-04-23T21:24:25.000Z,"Dinos Trigonis
@trigonis30
·
Apr 24","Had chance to speak to Indiana Pacer guard & NBA lotto pick Tyrese Haliburton today @ 
@Terrific24FCP
  (he has a sponsored team playing). Revealed to me he came to Pangos All-Midwest Fr/So Camp as Fr but didn't make an all-star game What were we thinking 
@FrankieBur
 & 
@RonMFlores
3
15",,,3,15,[],https://twitter.com/trigonis30/status/1517977719543418880
Dinos Trigonis,@trigonis30,2022-04-23T04:22:48.000Z,"Dinos Trigonis
@trigonis30
·
Apr 23","Pangos 
@Terrific24FCP
 Notes: 6-5 2024 Seven Bahati (Donda Academy/CA) continues to improve & blossom as potential HM prospect: team high 16 pts tonite vs very good Rhode Island Elite squad. Athletic WG with nice perimeter shot had USC among schools watching tonite 
@ChrisPoPoola
1
6
18",,1,6,18,['https://pbs.twimg.com/media/FRAG3EWWQAIh56z?format=jpg&name=small'],https://twitter.com/trigonis30/status/1517720619919581185
Dinos Trigonis,@trigonis30,2022-04-24T04:07:11.000Z,"Dinos Trigonis
@trigonis30
·
Apr 24","Pangos 
@Terrific24FCP
 Notes: 6-3 2024 Karl Windham (Ben Davis/Indianapolis IN) is a lefty sharpshooting WG with deceptive ability to flush it with authority at rim. Big 10 caliber prospect 
@FCPPangos
 @INBBallSource
1
27
71",,1,27,71,['https://pbs.twimg.com/media/FRFM4M6WUAAAdvh?format=jpg&name=small'],https://twitter.com/trigonis30/status/1518079079811108864
Dinos Trigonis,@trigonis30,2022-04-24T01:39:10.000Z,"Dinos Trigonis
@trigonis30
·
Apr 24","Pangos 
@Terrific24FCP
 Notes: 6-2 2024 Styles Phipps (St. Mary's/Phoenix AZ) is emerging as 1 of the top young floor generals in nation. Yo-yo ballhandler with elite crafty ability to stop & pop from mid-range as well as from distance had 23 pts tonite. Auburn among his offers
14
27",,,14,27,['https://pbs.twimg.com/media/FREq_57WQAA_SYD?format=jpg&name=900x900'],https://twitter.com/trigonis30/status/1518041829916221441
Dinos Trigonis,@trigonis30,2022-04-24T04:02:36.000Z,"Dinos Trigonis
@trigonis30
·
Apr 24","Pangos 
@Terrific24FCP
 Notes: up & coming junior sleeper to keep on an eye on come July is 6-6 2023 Deacon Toliver (Los Osos/Rancho Cucamonga CA). Tough as nails glue guy is a versatile F with a knack for ball that competes on every play! Looks to be at Big West/Big Sky recruit
6
14",,,6,14,['https://pbs.twimg.com/media/FRFL09EXoAAh0pz?format=jpg&name=small'],https://twitter.com/trigonis30/status/1518077924620050432
Dinos Trigonis,@trigonis30,2022-04-24T04:17:02.000Z,"Dinos Trigonis
@trigonis30
·
Apr 24","Pangos 
@Terrific24FCP
 Notes: amazing that Beyond Ball's (IA) 6-6 2022 Tyler Andrews is still available. Strong & athletic Dillon Brooks-type F is a tremendous scorer both at rim & from distance. I've been scouting for 30 years. This is mind-boggling! 
@FCPPangos
 @ChrisPoPoola
9
37",,,9,37,['https://pbs.twimg.com/media/FRFPIUDWYAIw0_F?format=jpg&name=small'],https://twitter.com/trigonis30/status/1518081555918475264
Dinos Trigonis,@trigonis30,2022-04-24T02:32:28.000Z,"Dinos Trigonis
@trigonis30
·
Apr 24","Sign of the times but then again with most JC programs not going out to recruit and watch unsigned seniors play, why is anybody surprised that they are considering non-JC options?
Perry Webster
@webster_perry
 · Apr 24
Its been refreshing to see 19u hoops this weekend. It used to be called juco, now it’s 19u
3
1
7",,3,1,7,['https://pbs.twimg.com/profile_images/1468082785269153795/ZbJi7ZqX_mini.jpg'],https://twitter.com/trigonis30/status/1518055242163703813
Dinos Trigonis,@trigonis30,2022-04-24T19:36:39.000Z,"Dinos Trigonis
@trigonis30
·
Apr 25","GIF
ALT
Richard Isaacs
@Hsquad99
 · Apr 24
As the spring winds down Dinos will be handing out Pangos invites ! These invites r  hard to come by as back room deals r  taking place as we speak! Dinos is  when it comes to Pangos!!
1
1
9",👑,1,1,9,['https://pbs.twimg.com/profile_images/1001662542454800384/6ajFKimy_mini.jpg'],https://twitter.com/trigonis30/status/1518312986330415105
Dinos Trigonis,@trigonis30,2022-04-26T04:17:54.000Z,"Dinos Trigonis
@trigonis30
·
Apr 26","Pangos 
@Terrific24FCP
 Notes: 6-5 2023 Carter Gittens (Sunrise Mountain/Peoria AZ) is one of the more undervalued junior wings out West. Well-built frame, athletic off bounce & with legit perimeter shot-making ability, Carter warrants a good look from mids on down this July
8
23",,,8,23,['https://pbs.twimg.com/media/FRPigmpVsAAiupp?format=jpg&name=small'],https://twitter.com/trigonis30/status/1518806551128989696
